,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.236258704411712,3.46944695195361e-18,0,0.0871138144171224,0,0.238977450323728,0,0,0,0,0,0.128005115746012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381527677393711,0,0,0,0.0939289702646255,0,0,0,0,0,0.0225352063412295,0,0,0,0,0,0,0,0.106432627707256,0,0,0,0
X601318.CH.EQUITY,0.166446872780453,0,0,0,0,0,0,0,0.282458611188976,0,0,0,0,0,0,0,0.233092443382422,0,0.0535051027117191,0,0,0,0.105190514924708,0,0,0,0,0,0.0320200629806614,0,-0.0925552913645381,0,0,0,0.102041510629589,0,0,0,0,0,0,0.0651822641449946,0.0194995786880649,0,0.0537047524139653,0,0,0,0.0430163898112266,0,0
X601939.CH.EQUITY,0,0,0,0.282512710139325,0,0.0747263587806094,0,0,0,0,0,0,0,0.416038961556165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558657397240654,0,0,0.0735777748481003,0,0,0.00942256626979276,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.35460491025954,0,0.0265106110831377,0,0,0.487144825531022,0,0,0,0,0,0,0,0,0.0301564552126865,0,0,0,0,0,0,0.0175676620148604,-0.0286023311674518,-3.46944695195361e-18,0,0,0,0,-0.000301549927112253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10490940437837,0,0,0,0.0035002614980783,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0668074910363849,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.612866362741995,0,0,0,0,0,0.403620136701781,0.0847827418357279,0,0,0.155497385634827,0,0,-0.0734637996214227,0,0,0,0,0.00385925535393472,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.375584043474632,0,0.000244646355555543,0,0,0,0,0,0,0,0,0.0950934541843221,0,0,0,-6.93889390390723e-18,0,0,0.0252105726423653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159777945988157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297294067926849,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.281567783900297,0,0,0,0.313525304454716,0.045355158929374,0,0,0,0.143922537222496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141792852368404,0,0,0,-0.047332423545067,0,0,0,0,0,0,0,0,0.0203157843461508,0,0,0,0,0.0816273866436126,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378510210151192,0,0,0.0701665080219665,0.171051957105776,0.0133303990792114,0,0,0,0,0,0,0,0.273549442999008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254269830165259,0,0,0,0,0,0.274624588157556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166218985960677,0,0,0,-0.148740302443223,0,0,0,0,0.746902202771358,0,0,0,0,0,0.251789900341427,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652587512697534,0,0,0,0,0,0,0,0,0,0.0649566083844614,0,0,0,0,0,0,0,0.0269020138731944,0,0,0,0,0,0,0,0,0.221552553833972,0,0,0,0,0,0,0,0,0,0
