,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0.452366022460048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190044473733061,0,0,0,0,0,0,0,0,0,0.395803561620023,0,0,0.154591428327534,0,0,0,0.0867191825935773,-0.149299775673812,0,0,0,0,0,0,0,0,0,0,-0.10561352753282,0.0898509940878532,0,0,0,-6.93889390390723e-18
X601939.CH.EQUITY,0.178920773243472,0,0,0.299626929176873,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.234079021026905,-0.0657260653840255,0,0,0,0,0,-0.0259605978479459,0.12952320869571,0,0,0,0.295680815407988,0,0,-0.0826933656391966,0,-0.142963702524132,0,0,0,0,0,0,0,-0.00112217967108551,0,0,0,-0.0465626126029544,-0.0384484919151266,0.0284981961844877,0,0,0,0.106610380281728,0,0
X601318.CH.EQUITY,0.0160048537769101,0,0,0,0.232707529010337,0,0,0,0,0,0,0,0.110460575396667,0,0,0,0,0,4.33680868994202e-19,0.0864214433461399,0,0,0,0,0.112137434315241,0,0,0,0,0,0,0,0,0,0,0.163787401758874,0,0,0,0.0953302674372722,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.236507671864367,0.0472353555265475,0,0.403052623179273,0,0,0,0,0,0.158424267494769,0,0.0975893832913075,0,0,-0.0195183539253547,0.0829462024427636,0,0,0,0,0.0144551209338854,0,0,0,0,0,0,0,0.0522523474721989,-4.33680868994202e-19,0,-0.0456647573675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381713396231943,-0.0723192292303629,0
X601988.CH.EQUITY,0,0.216958208971476,0,0.336873791173171,0,0,0,0,0,0.247019014279458,0,0,0,0,0,0.319263438445882,0,0,0.0675014836204376,0.0480848554771392,0.048538836373416,0,0,0,0,0,0,0.0458104662577133,0,0,0,0,0,0,0,0,0,0,-0.564150168582309,0,0,0,0.0492303019317737,0,0,0,0,0,0,0.169372036632167,0
X600036.CH.EQUITY,0,0.15790332937398,0.017042775956369,0,0,0,0,0.0278614278625769,0,0,0,0,0.0637799694891651,0,0,0,0,0,0.0990221226771207,0,0,0,0,0,0.235938543827438,0,0,0,0,0,0,0,0,0.377367345228294,0,0,0,0,0,0,0.067677492394268,0,0,0,0,0,0,0.0793469912792479,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0208198604985034,0,0.120935025192079,0,0,0.0765977513879229,0,6.93889390390723e-18,0.293967218406804,0,0,0,0,0,0,0.0257859478273496,0,0,0,0,0,0,0.0325718832675948,0,0,0,0,0,6.93889390390723e-18,0,0,0.340556457120709,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.165000006875843,0,0,0,0,0,-0.159287044371757,0,0,0,0,0.116156966191089,0,0,0,0,0,0.171202759171226,0,0,0,0,0,0.134647587693595,0,0,0,-0.0520499384428966,0.0753274963514191,0,0,0,0,0,0,0.130735262576889,0,0,0,0,0,0,0,0.0525466331533889,0,0.0973912018513541
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132833805445335,0,-0.135325213316055,0,-0.0101557159685864,0,0,0,-0.395458528134153,0.807364362198001,0,0,0.574298230576194,0,0,0.195024037713288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109315882056081,0,0,0,0,0
X601658.CH.Equity,0,0.0263298328143132,0,0.0388880526150254,0.0963572384081977,0,0,0,0,0,0,-0.0345865641793069,0,0.0548613079558718,0,0,0,0,0.140858223096953,0.233542983222295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333193578480618,0,0.134107138448876,-0.159240756615999,0,0,-0.134202409684451,0,0,0,0,0,0,0,0
