,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0.121379476392803,0,0,0,0.208785923620848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236205443989703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295945999379837,-0.0149670690180301,0,0.0511417802774801
X601939.CH.EQUITY,0.145753587334065,0,0,0.396180142249101,0,0,0,0,0,0,0,0,0,0.115949636510994,-0.0407324613577138,0,0,0,0,0,0.00688701665559728,0,0,0,-0.101845808166962,0.314538275731696,0,0,0,0,-0.130255600550449,0,0,0,0,0,0,0,-0.0190743957989711,0,-0.0424345409393619,0,0,0,0,0,0,0.172449014377488,0,0,0
X601318.CH.EQUITY,0.0445829441917785,0,0,0,0.213303189464876,0.0432760466947544,0,0,0,0,0,0,0.170590773144595,0,0,0,0,0,0,0.137551871433497,0,0,0,0.141291061817983,8.67361737988404e-19,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0335939614799432,0,0,0,0,0.0662573128265318,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.261744967124852,0.0777876863896124,0,0.226042158448557,0,0,0,0,0,0.370530875378207,0,0.174861248199219,0.0437946679104148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176275420996579,-3.46944695195361e-18,0,0,0,0,0,-0.0426949567284001,0,0,0,0,-2.16840434497101e-19,0,-0.123717277735394,0,-0.0600229853406028,0
X601988.CH.EQUITY,0,0.122457958570022,0,0.370385877747598,0,0,0.00368860040716198,0,0,0.277418183147912,0,0,0,0,0,0.106249257436552,0,0.102348621323054,0,0,0,0,0,0,0.178327079857253,0,0.0863765297184167,0,0,0,0,0,0,0,0,0,0,0,-0.587596014983649,0,0,0,0,0,0.0748584097673262,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.175150098907091,0,0,0,0,0,0,0.0971611232623229,0,0,0,0.0355429626697415,0,0,0,0,0.175176882419207,-0.0018166587743518,0,0,0,0,0.181220321537722,0,0,0,0,0,0,0,0,0.369985908408176,0,0,0,0,0,0,0,0,0,0.0430033281859084,0.00828610411542714,0,0.0893504614501327,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131097448261174,0,0,0.373020989319932,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0.00749409220919766,0,0,0,0,0,0,0,0.0441561952304549,0,0,0,0,-2.16840434497101e-19,0,0,0,0.291457275168127,0,0,0.0289319712121197,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104584495896772,0,0,-0.0110928829628606,0,0,0,-0.356866284359103,0.563570849260943,0,0,0,0,0.640181357930469,0,0.105666774494631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245346772954286,0.0126136678183734,0,0
X601628.CH.EQUITY,0,0.026029746634999,0,0,0,0.185436587250172,0,0,0,0,0,-0.141814193432497,0,0,0,0,0.104495243773314,0,0,0,0,0.180009437837583,0,0,0,0,0,0,0.137451282385156,0,0,0,0.0747756208358972,-0.14494903700786,0,0,0,0,0,0,0,0.117507348024645,0,-0.00777953866642117,0,0,0,0,0,0.0897423807115549,0.133795626441445
X601658.CH.Equity,0,0.1454978906737,0,0,0.0151745344375326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394245815039103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187780387665072,0,0,0.111771253473197,0,0,0,0,0,0,0.00877428653883811,0,0,0,0,0
