,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.148025823897033,0,0,0.0636574409079773,0,0,0,0,0,0,0,0,0.0327826860435441,0.201394728550711,0,0,0,0.0931291090122875,0,0,0,0,0,0,0,-0.0197783047801055,0,0,0,0,0,0.345463964288868,0,-3.46944695195361e-18,0.107392365427682,0,6.93889390390723e-18,0.00660813936836961,0,0,0,0,0,0,0,0,0,-0.0484389418171824,0,0
X002142.CH.EQUITY,0,0,0,0,0.280474099114195,0,0,0.137461495978945,0,-0.302201334748186,0,0,0,0,0.0185899940132748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136680634695704,0,0,0.327557032432079,0,0,0,0,0.168183002051881,0.0294564637959796,0,0,0,-0.0957746612427743,0,0.072880782977469,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.0942905503411444,0.0283517131860621,0.305876401481958,0.119568759683619,0,0.200713849367698,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0720198075847019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0
X600016.CH.EQUITY,0,0,0.0529459207150794,0,0,0,0.00263590904883504,0,0.357723663584513,0.0687547829334374,0,0,0,0.0939959048758554,0.133064833125515,0,0,0,0.0237343579521558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31549761472585,0,0,0,0,0.0575951820384073
X600036.CH.EQUITY,0,0.425238910321918,0,0,0,0.105531225817226,0,0,0,0,0,0,0.0716592439065442,0,0,0,0,0.0161000255343067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141833909702309,0.0388605443741868,0.0810763938144248,0,0,0,0,0,0.00597508323808956,0,0.00103050097611672,0,0,0,0.0915964002580976,0
X601166.CH.EQUITY,0.0268857470497456,0.0638100676301151,0.296488182176577,0,0,0,0,0,0.13083736693812,0,0,0,0.162577780105679,0,0,0.0334164413274469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141656143366686,0,0,0.0231987379120059,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.130883124285859,0.290457986002379,0.256579392281017,0,0,0,0,0,0,0,0,0.155215094228208,0,0.0598873019540807,0,0,0,0,0,0,0,0,0,0,0,0,0.0487606926384476,0.106652498978742,0,0,0,-0.0147449830344591,0,0,0,0,0,-0.199507238847085,0,0,0,0,-0.022598000492752,0,0,-0.0330831636778488,0,0,0,0
X601229.CH.EQUITY,0,0.153427491176014,0.0152312724286761,0.109200272947998,0,0,0,0,0,0,0,0,0,0,0.0940249982511039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883330412148009,0,0,0.0708059010181521,0,0,0,0.0732011513429629,0,-0.108416737192204,-0.0203609980706748,0,0.055778306548043,0,-0.236524202497884,0,0.307801910795569,0
X601288.CH.EQUITY,0,0,0,0.211739792998076,0,0,0,-0.0537583941300018,0,0.204218286650717,0,0,0.394223722565127,0.226085407130346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00948161071406636,0,-0.091791025493503,0,0,0,0,0,0,0.0561202787073367,0,-0.0553544830208796,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,-0.0252671820261195,0.0591803749234508,0,0,0,0.107936770520306,0.035304355987039,0.264152297547057,0,0.243825858216913,0,0,0,0.126467049938185,0,0,0,0,0,0,0,0,0,0,0,0.134154440980075,0,0,0,0,0,0,0,0,0,0,0,0,0.0883123112875075,0,0.0542973720445798,0,0,0,0,0,-0.00232109029551568,0,0,0.0344434918567969
