,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0.0475154439030706,0,0,0,0,0,0,0,0.0365426384886504,0,0,0,0.0985192622251203,0,0,0.125986572191326,0,0,0,0,0,0,0,0,0.12197745293802,0,0,0,0,0,0,-0.190046465878488,0,0,0,0,0.441586457483913,0,0.204579114655743,0,0.0253678796653181,0.0910186384485224,0.089933234178119,0,0,0,0.0844961544852766,0,0.0899725534084041
X601628.CH.EQUITY,0,0,0,0,0.213974033217963,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.215757676585336,-0.177244447558644,0,0,0,0.0513184330673252,0,0,0,0,0.161544116296545,0,0.0829696063311622,0,0.053934725250311,0,0,0,0.172344943182623,0,0,0,-0.00668792330899653,0,0,0,0,0.13486632244066,-0.0976702253074239
X1299.HK.EQUITY,0,0.0677117803178254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010203665755559,0,0.262785302931639,0.0325127336876664,0,0,0,0,0,0,0,0,0,0,-0.354833427922584,0,0,0,0,0,0,0.28378484598287,0,0,0,-0.0887222432015361,0.0148991738474742,0.0296743180789813,0.0466583279882401,0,0.0127980985058197
X000002.CH.EQUITY,0,0.147546703586529,0,0.00445230217649291,0.0135573252078821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.100159943162354,0.04708449576271,0.0324914850529242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132730869659675,0,0.0183342419674115,0,0.521556518633006,0,0.0129288512936849,0.104573745449267,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0399050516414189,0,0,0,0,0,0,0,-0.0103329293993979,0,0,0,0,0,0,0,0,0,0,0,0.0337838296583242,0,0,0,0,0,0,0,0,0,0,0,0,0.255394697682106,0,0.328693046792412,0,0.0636637650879519,0.27300014355779,-3.46944695195361e-18,0,-0.0408075011082032
X600606.CH.EQUITY,-0.122866634055814,0.485763256738168,0,0,0,0,0,0,0,0.0600289680772977,0,0.203836895551186,0.0524625141449131,0,0,0,0,0,-0.0961085078768271,0,0,0,0,0,0,0,0,0,-0.277355627762154,0,0,0.280621472608101,0,0,0,0,0,0,-0.0343924743752611,0,0,0,-0.100403186374225,0,0,0,0,0,0,-0.234360679251233,-0.106563568856076
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272916318892374,0.094789808320161,0,0.0435981869618623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319422426498118,0.0107140394676167,0,0,0,0.0408102976686622,0.00839517158287699
X2007.HK.EQUITY,0,0,0,-0.124992621881373,0,0,0,0,0.0311413801049748,0,0.0676628781820804,0,0,0,0,0,0,0,0.0422224363953583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0870370781322236,0,0,0,0,0,0,0.0410032732274467,0.0281687941959799,0,0,0.404163334006042,0,0.167109435087956,0.428598314179393,0,0,0
X267.HK.EQUITY,0,0.435246002899748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818325667984273,-0.145787218359176,0,0,0,0.141304856019234,0,0,0,0,0,0,0,0,0,0,0,0.252965383733119,0,0,0,0,0.0227623775694224,0,-0.335588322042109,0,0.158781974072174,0,0,0.0259397312635577,0,0,0.14734173474893,0,0,0
macro_return_add,0.143323839744925,0,0.290949638784939,0,0,0,0,0,0,0,0,-0.262279119267156,0,0,0,0,0,0,0.187182591443573,0,0,0,0,0,1.0842021724855e-19,0,-0.111166166550304,-0.0344267264940611,0.154117370204519,0,0,0,0,-0.0223626052189178,0.0517706873566686,0,0,0,0,2.77555756156289e-17,0.109911008521859,0.0575490599690698,0,0,-0.383303847826832,0,0,0,0,0,0
