,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.293155855811985,-0.209214239806211,0,0.174007654983765,0.392033747487365,-0.164397957985499,0.0703641159393786,0,0,0,0,0.0605120412401374,0,0,0,0,0.0125367665457446,-0.253026722959359,0,0,0,0,0,0,0,0.0577591117090598,0,0,-0.0603013429420479,0,0.32927091317421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166332082295411,0,0,0,0
X002142.CH.EQUITY,0.645635472887941,0,0,0,1.73472347597681e-18,0.133862339205083,0,0,0,-0.0133701434187697,0,0,-0.0525155160297731,0,0.0355044395590703,0,0,0,0,0,0,0,0.0622873871603235,0,0,0,0,0,0,0,0,0,0.043015353035344,0,0,0.0153098163714589,0,0,0,0,0,-0.00973671524656952,0,0,-0.0563010625817203,0,0,0,0,0,-0.0580546621390143
X600000.CH.EQUITY,0,0,0,0,0,0,0.154881977528598,0,0,0.160177763897163,0,0,0.0542299016237772,0.154557684766343,0,0,0.0579241809970742,0,0,0,0,0.0716465040729478,0,0,0,0,0,0,0,0.0460895642626759,0,0,0,0,0.00136750503206873,0,0,0.00525594659673174,0,0,0.0873130004623716,0,0.137253804164122,0,0,0,0,0,0,0,-0.0453988485550634
X600016.CH.EQUITY,0,0,0.0293228123559691,0,0,0.181745800902435,0.441468943591572,0,0,0.238941036764601,0,0,0,0,0,0,0,0.11691092069387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.405516528241907,0,0,0.0296769905149542,0,0,0,0,0.203449710659803,0,0,0.0396070863586156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145529757837232,0,0,0.0605065474784225,0,0.0151722917002801,0,0,0,0,-0.0849059898865255,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.445385738445764,0,0,0,0,0,0,0,0,0,0,0.0492948149239206,0.120625914367145,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167777463252969,0,0,0,0,-0.163946878873869,0,0,0.0117535741379859,0,0,0,0.0539978168599103,0,0,0.165681985071971,0,0,0,-0.0917276816093697,0,0.0935857742374786,0,0,0,0
X601169.CH.EQUITY,0,0,0.0375844246151641,0.667864291275792,0.0624677785929378,0,0,0,0,0,0,0,0.150718037908458,0,0,0,0,0.146200372554228,0.0024816512958802,0,0,0,0,0,0,0,-0.026600228609338,0,0,0,0,0.0913430105251578,0.0315878409256488,0,0,0,0,-0.243556333058547,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.167003481223398,0,0,0,0,0,0,0,0.0975331387393297,0.0754032099858989,0,0,0.121777968814891,0,0,0,0.0836494952246766,0,0,0,0,0,0,0,0,0,0.17564976355351,0,0,0.0495106279007063,0,0.0567782352452984,0,0,0,0,0,0.0905366833494946,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0110201850102448,0.0194741261977441,0.0960797318249859,0,0,0.0782286878261832,0,0,0,0,0,0.0218437900037856,0.0756007864436443,0.393443281661198,0.1801313185781,0,0,0,0,0,0,0,0,0,-0.0140297903605923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176700765380569,0,0
X601328.CH.EQUITY,0,0,0.0505603501216233,0.176736967014137,0,0,0,0.115158179250507,0,0,0.316539226535956,0,0.0350709219181418,0.158736789120106,0,0.0538224896880021,0.0166592500507897,0,0,0,0,0,0,0,0,0,0,0.06014982190827,0,0,0,0,0,0,0.0222777507946919,0.0258459855349427,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.12067253716457,0,0,0,0,0
