,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0.0934013266567068,0.0351505329901521,0,0,0.00804506191155121,0.391791675030706,0,0,0,0,0,0,0,0,0,0,0,0,0.0348205522803801,0,0,0,0,0,0,0,0,0,0.0232022898161725,0,0,0,0.0367725971084943,0,0,0.0281952071196063,0,0.0948328890496427,0,0.00922975810507834,0.0622885597879749,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.193065716838691,0,0.0431307473526403,0,0.346585168371497,0,0,0,0,0,0,0,0.219927318620979,0,-6.93889390390723e-18,0,0.0331127575456742,0,0,0,0,0,0,0,0,0,0,-0.0985471188347652,0,0,0,0,0,0,0,0,0,0,0.219940787947417,0,0.0472223082115015,0.000631203018167489,0,0,0,0.0217611825162984,0.011539322789986
X600000.CH.EQUITY,0,0,0,0.0859984998247381,0,0,0.053134958509643,0,0,0,0,0.287563123325631,1.73472347597681e-18,0.0424984970704825,0.319681115508737,0,0.037436750688214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876014522217836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881308596185736,0,0,0,0,0,0.0877508278734643
X600015.CH.EQUITY,0,0,0,0,0.0512411197720168,0,0,0,0,0,0.129299488629134,0.290423172636599,0,0,0,0,0,0,0.0509254821581926,0,0.0955414146479428,0,0,0,0.433323707953029,0,0.0392930792698227,0,0,0.0611179985624592,0,0,0,0,0,0,0,0,0,0,0,0,0.0488436784130006,0,0,0,0,0,0,-0.136685338022915,-0.0552562657416666,0
X600016.CH.EQUITY,0.0223437322755604,0,0,0.239352716969635,0,0,0,0,0,0,0,0,0,0,0,0.38770939499844,0,0.0401535889416851,0,0,0,0,0,0.229382611202063,0,0,0,0,0,0,0.0237027826769956,0,0.0299580030369402,0,0,0,0,0,0,0,0,0.04995669019936,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.47037247416955,0.105402481012668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218995976313342,0,0,0,0,0,0,0,0,0,0.123286142974727,-0.0810891342651352,0,0,0.122524259086587,0,0,0,0,0,0,0,0,0,-0.0198946906664288,0,0,0,0,0.0365051849898542,0.0321894793634973,0,0,0,0,0.0568088472832068
X600919.CH.EQUITY,0,0.109110283728013,0,0.217168633675787,0,0,0,0.439625392417753,0.0374392112908937,0,0,0,0,0.109871988917055,0.121190050717423,0,0,0,-1.73472347597681e-18,0.02332341726544,0,0,0,0,0,0,0.0469977103467945,-0.0875366505668588,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0101516229054062,0,0.0205148902907594,0,0,-0.189257050509733,0,0,0,0,-0.093188264360258,0.11266993192341,0,-0.0390162742977806,0.0240443847349694
X600926.CH.EQUITY,0,0.0441372191359826,0,0,0,0.133675012791948,0.393638288607659,0,0,0,0,0,0.109438923195146,0.115365749544106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0955080914964647,0,0,0.185469730409326,0.0690746178480524,0,0,0,0,0,0,0,0,0,0,0,0,-0.206534514909846,-0.0137310166738368,0,0,0.0667903989113303
X601009.CH.EQUITY,0,0,0,0,-0.158882584802891,0,0.195509325820018,0.340059290704007,0,0,0,0,0,0,0,0,0,0,0.253037186555742,0,0,0,0,0,0,0,0,0.0140058678709267,0.301631356448271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35042052781155,0,0,0,0,0,0,0,-0.178596585450348,0.0259050758300389
X601166.CH.EQUITY,0.0963074322027646,0.312374023466918,0.169530074375288,0,0,0,0,0,0.0360555709399404,0,0,0,0,0,0,0,0,0.0891916874869176,0,0,0.220617647135008,0,0,0,0,0,0,0,0,0.0147290389389029,0,0,0,0,0,0.160441428853451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
