,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0.195020129605741,0.0140598822398925,0.124909696449619,0,-1.73472347597681e-18,0.161712553668961,0,0,0,0.120877939858514,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.00338587600080864,0,0,0,0,0.0191030343300802,0,0,0,0,0,0,0,0,0.0555815557946529,0,0.0991633812061665,0,0,0.0785085074934546,0.0493598790966788,0,0
X002142.CH.EQUITY,0,0,0,0.196419600234161,0,0,0,0.228202737505944,0,0,0.218814439004752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018530440203532,0.161261315405132,0,0,0,0,0,0,0,0,0,0,0,0.0677511752794277,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0353374596419449,0,0,0,0.139130964233129,0.218774619635729,0,0,0,0,0,0,0.157025380483625,0,0,0,0,0,0,0,0.0216034140434898,0,0,0,0,0.00726294556536447,0,0,0,0,0,0,0,0,0,0,0,0,0.0222438041086467,0,0.0768324658097474,0,0,0.115788977513347,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.607617320791814,0.0660672431537691,0,0,0.100461052995259,0,0,0,0.0507662952135,0.051631888539561,0,0,0,0,0,0,0,0,0.0527767073617426,0,0,0,0.00183798686669882,0,0,0,0,0,0,0.0212876316023739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0990484028822258,0.274422422163492,0,0,0,0,0.343763808045152,0,1.38777878078145e-17,0,0.016036964739097,0,0,0,0.108082034518774,0.0385396238636399,0,0,0,0,0,0.0983518651755234,0,0,0,0,0,-0.0271093159093535,0,0,0,0,0,0,0,0,0,0,0.0286553329840813,0,0,0,0,0,0,0,-0.00563611600603863,0
X600036.CH.EQUITY,0.440069039669325,0.040428769112878,0.273145362678773,0,0,0,0,0,0,0,0,0,0,0,0.0867430995926157,0,0,0,0,-0.0417390427328114,0,0,0,0.0423713997685153,0,0,0,0,0,-0.0352002156648637,0,0,0,0,0,0,0,0,0,0,0.0209980066058432,0.0922762118570072,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.264098868548843,0,0,0,0,0,0,0,0,0,0,0,0,0.274042846100437,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.0875293007709989,0,0.202278037933622,0,0,0.0340678890770532,0,0,0.0515815528510931,0,0,0.0143274185017913,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.230553585943154,0,0.215895024321889,0,0,0,0,0.369413292880922,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619268067243026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335105901939597,0,0.261134422078952,0,0
X601166.CH.EQUITY,0,0.00507200538228691,0,0,0.0920111546977698,0.209633446287482,0,0.0943541211628205,0,0,0,0,0.0802723149926993,0,0,0.0862064322375352,0.069274377274709,0,0,0,0,-0.0391227036166654,0,0,0,0,-0.00639042331947311,0,0,0,0,0,0,0,0,0,0,0,0.107137915910441,0,0,0,0.116863572891226,0,0,0,0.049752591380171,0,0.033123915251119,0
X601169.CH.EQUITY,0,0,0,0.0357072507701301,0,0.0544174386862854,0,0,0,0,0,0,0.0124780604275029,0,0,0,0.200261246582222,0.153438470922741,0,0,0,0,0,0,0,0.0996062388655744,0,0,0.051232507964888,0,0.0976353239196945,0,0,0,0,0,0,0.0746034929095644,0,0,0.0672232853235802,0,-1.73472347597681e-18,0.0674996399214518,0,0,0,0,0,0
