,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.14272437949349,0.24494707952875,0.0211587834759922,0,0,0,0.174884695240355,0,-6.93889390390723e-18,0.168712735535597,0,0,0,0,0,0,0,0,0,0,0,0,0.14168856446612,0,0,0,0,0,0.0417426398664386,0,0,0.0250962224333051,0,0,0.0140435657151681,0,0,0,0,0.0639605795526665,0,0,0,0,0,0,0,0,0,0,0.0404525796470819
X002142.CH.EQUITY,0.305043987626331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527205903447079,0,0.091566953414359,0,0,0,0,0.00607300665793217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213528320487339,0,0,0,0,0.153035879971501,0,0,0,-0.0897942405742364,0
X600000.CH.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0.0763884657233266,0,0,0,0.163149368999549,0,0.396890030593705,0,0,0,0,0.106672312336835,0,0.176499813471512,0,0.0304258636812755,0,0,0,0,0.0547512475936248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,-1.38777878078145e-17,0,-1.38777878078145e-17,0,0,0,0,0,0,0.427956420025565,0,0,0,0,0.328762166363183,0,0,0,0,0,0,0.0856502105207882,-0.181821375950935,0,0,0.168935629253271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157792783048846,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.14424500211131,0,0.0459752515610278,0.462999415282312,0,0,0,0.171267181265146,0.0659225779686809,0,0.0971965319247474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.129795255972809,0,0,0,0,0,0,0.290600397426565,0,0,0,0,0,0,0,0,0,0,0,0.0231042019245627,0,0.0007156466267292,-1.73472347597681e-18,0.215817341302411,0,0,0,0,0.0305503597409906,0,0,0,0.0976432570937148,0,0,0,0.0648073652244736,0,0,0,0.0367094018729372,0,0,0,0,0.0195058415038066,0.0846298120889103,0,0,0,0
X600919.CH.EQUITY,0,0,0.126614210661941,0.0660023343133895,0,0,0,0.247992222661878,0,0.120785561042112,0,0,-6.93889390390723e-18,0,0,0,0.0312281137474054,0.0475382396098438,0,0,0,0,0.0147121229873733,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25940050585496,0,0.0345003292275097,0,0,0,0,0,0
X601009.CH.EQUITY,0.120275358521692,0,0.0357816172871991,0,0.352662357942851,0,0,0,0,0,-3.46944695195361e-18,0.0155993094701982,0.010403384079524,0,0.116876714539546,0,0,0,0,0.174180489116367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324187899321005,0,0,0,0,0,0,0,0,0,0,0.0483701673226875,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,6.93889390390723e-18,0.0748732568114334,0,0.175539759569129,0,0.221451623502197,0,0,0,0,0.132359867170907,0,0.3166689040375,0,0,0,0,0,0,0,0,0,0.0953632987282335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0429277681479473,0.24395915229951,0.282749539142044,0,0,0.0227863136157032,0,0,0,0,0,0,0,0.0185978749774673,0,0.039285695427137,8.67361737988404e-19,0,0.115622624363572,0,0,0,0,0,0,0,0.0744027487073505,0.00393920599626632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446732002318482,0.131640692825407,0,0,0,0,0,0,0,0
