,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0211754920303647,0,0.382552187941908,0,0.0789950907765855,0,0,0.0253944851325775,0,0.0828526909444966,0,0,0,0,0,0.0682169910084907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203601508314262,0,0,0,0,0.118521320057006,0,0,0
X002142.CH.EQUITY,0.0395650516667028,0,0,0,0,0.326323752796315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518560122867749,0,0,0,0,0.0567091037641214,0,0,0,0,0,-0.0749917684492436,-0.0399637095278836,0,6.93889390390723e-18,-0.0445157861996211,0,0,0,0,0,0,0,0,0,0,0,0,0.118135404256471,-0.0320035714770309
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0856043163566748,0,0.15463269664325,0,0,0.0547108883676274,0,0,0,0,0,0,0.111089689082616,0.0227247581354284,0,0,0,0.29479242922196,0,0,0,-0.0608191340162895,0.120561588017187,0,0,0.0726674908798416,0,0,0.255160691999448,0,0,0,0,0,0,0,0,0.0618397507023876,0.0252391745416033,-0.153417637808837,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.236832666604989,0,0.085686824512479,0,0,0,0,0.0146646981816948,0,0.0893842958242294,0,0,0.169699558461058,0,0,0.0633682766304812,0,0.0599953425790145,0,0,0,0,0,0,0,0,0,0,0,0,0.0672612219825528,0.150363339382174,0,0.0431763795811292,0,0,0,0,0,0.0131603935063294,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.135036915747651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294796354272134,0,0.153591033169154,0,0,0,0,0.207852686343948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235312619310533,0,-0.0601229017887508,-0.056913956392083,0,-0.0508052819664371,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.104753484882657,0,0,0.120820505579645,0,0,0,0,0,0,0,0.0778780699044447,0.0970026271576864,0,0,0,0,0,0,0,0,0.221467382869461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217446282515549,0.238192559614372,0,0,0.161807347051529,0.138121377116393,0,0,0,0,0
X600919.CH.EQUITY,0,0.0953156146860297,0,0.377800057058968,0,0,0,0.0133247267945638,0.135753875244961,0,0,0,0,0,0,0,0,0.0113830292812388,0,0,0.0361139705397395,0,0.307687566089839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,1.0842021724855e-19,0,0,0,0,0,0.296023129249566,0,0,0,0.0659323814263275,0,0,0,0,0.120202087651179,0,0,0,0,0.0426120114862408,0,0,0,0,0,0,0,0,0,0,0,0.308687001780958,0,0,0,0,0.0676961862627456,0,0.0221833189935454,0.0576048401565817,0,0,0,4.33680868994202e-19,0,0,0.0237257894026965,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.411533435610374,0,0,0,0,0,0,0,0.17815692723774,0,0.118617905877758,0,0.0328770725468777,0.0975764412446777,0,0,0.200010851365755,-0.232974982022919,0,0,0,-0.0468436498238167,0,0,0,0.0395765033858728,0,0,-0.0297444682989048,0,-0.117890699216813,0,0,0,0,0,0,0,0.323199711220529,0,0,0,0
X601166.CH.EQUITY,0.171557946207539,0,0.0757827547752827,0,0,0,0,0.0866501544269484,0.346046044443832,0,0.0938369703273219,0,0,0,0,0,0.0716301804450279,0,0,0,0,0,0,0,0,-0.205690840160128,0,0,-0.105870265575526,0,0,0,0,0,0,0,0,0,0,0,0,0.0692821026842442,0,0,0,0,0,0,0,0,-0.0376280730697849,0.0549997411314702
