,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.201440944609353,0,0,0,0,0,0,0.102617778309693,8.14818866547634e-05,0.0703017366283946,-0.090596578686742,0,0,0,0.213949067635928,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0308317779923083,0,0,0,0,0,0,0,0,0,-0.290793101974787,0.68461279146714,0,0,-0.0946065887463943,0,0,0,0,0,0.0878374168781371,0,0,0,-0.00253945651075064,0,0.0393633956708072,0
X002142.CH.EQUITY,0.197592122580298,0,-0.0526116886605614,-0.0243358710420545,-0.0776181309824678,0.0957918070955535,0,0.280739068529356,0,0,0,0,0,0,0,0,0,-0.076644041170209,0,0,0.14211838622502,0,0,0,0,0,0,-0.163078268225049,0,0,0,0.0207375658072627,0,0,0,-0.111863505425366,-0.0585866472467559,0,0,0,0.135751608023875,0.197052443727039,0,0.217793360656416,0,0,0,0,0,0,-0.0699745077275104,-0.0815255315511858
X600000.CH.EQUITY,0.0772713856646267,0,0,0,0.0853084447919055,0.145365124806841,0,0,0,0.10194824256862,0,0,0.281862735885898,0,0.2033674627088,0,0,0,0,0,0.0849960555005876,0,0,0,0,0,0.208461620863046,0,0,0,0,0,0,0,0,0.00104860667889226,0,0,0,0,0,0,0,0,-0.0306920959218684,0,-0.090234841309775,0,0,0,0,0.0379925636959778
X600015.CH.EQUITY,4.33680868994202e-19,0,0,0,0.0169227770123854,0,0,0,0,0.107073452548294,0.0306936619149696,0,0,0,0.0501170668996744,0.170090383382056,0,0.00237128721676382,0,0.00948789240494396,0,0,0,0,0,0,0,0,0,0,0,0,0.0152830729892483,0,0,0,0.00468579384751278,0,0,0,0,0,0,0.305428367320421,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0152466648896517,0,0,0,0,0,0,0,0,0.144258419997325,0,0.339658471855044,0,0,0,0.0425152956864208,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.342325245482489,0,0.0944007539820267,0,0,0,0.115953388761131,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.205843371716743,0.137793495959544,0.327818076699069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193091191473825,0.0407624524063424,0.0863778721743089,0,0,0,0,0,-0.077025951258646,0,0,0,0,0,0.0465479696049722,0,0,0,0,0,0.109979424413342,0,0,0,0,0,0,0.220384115089792,0,0.0455498275040577,0,0.026206400921191,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.0728373079849085,0.166788594389345,1.73472347597681e-18,-1.73472347597681e-18,0,0,0,0.253545699790978,0,0,0,0,0,0,0.016338938292824,0,0,0,0,0,0,0.142378663619664,6.93889390390723e-18,0,0,0,0,0,-0.0565598500210391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.230511349937234,0,0,0.227108152434913,0,0,0,0,0,0,0.0242679161065053,0.23256155486089,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0572208179285908,0,0.0298921432169621,0,0,0,0.0572019711321723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114656452707566,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.122600584667471,0,0.348682331667599,0,0.137579462184158,0,0,0,0,0,0.0152287449090581,0,0.0367456081194101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178902945802293,0,0,0,0,0.280172579179724,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.276040453047274,0.457729057493219,0,0,0,0,0,0,0,0,0.238925282985835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0962681612107985,0,0,-0.0115619899734752,0,0,0,0,0,0,0,0,0,0,0.0339161648264502,0,0.0794334935405603,0,0,0,0,0,0,0,0
