,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601601.CH.EQUITY,0.109980416009262,0.0720662683903865,0,0,0.090112421096393,0.0727246931129861,0,0,0.149497395095606,0,0,0.214384316353763,-0.0518364059451765,0,0,0,0,0,0,0,0,-0.195374131053676,0,0,0,0,0,0,0,0,0,0,0,0,0.0719814494020654,0,0.142745768639679,0,0,0.152746977164656,0,0,0,0.177717525229612,0.00198175266245603,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0385648898085846,0,0,0,0,0,0,0,-0.0515285867459618,0,0,0,0,0,0.00316763457552927,0,0.216064728023301,-0.0309892918799874,0,0,0,0,-0.0424867550559002,0,0,0,0,0,-0.0945901267867067,0,0,0,0,0,0,0,0,0.212058476058975,0.143102636867703,0,0.0388359684181317,0.00740124734754748,0.20650145470054,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0.1786771164831,0,0,0,0,0.103779008614227,0,0,0,0,0,0,0,-0.0707541595122201,0,0,-0.0549725412430344,0,-0.0579240485551998,0,0,0,0,0,0,0,0.0308454040475328,0,0,0,0,0,0,0,0,0,0.183403022777048,0,0,0.106813974144239,0,0,0,-0.0185450280362644,0,0,0.400474348867451,0,0.172129661505208,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.0547795368540416,0.123654815303447,0,0,0,0,0,0.173747962465523,0,0,0,0,0,0,0,0,0,0,0,0,0.0228984579746144,0.0745948325168677,0,0,0,0,0,0.0484975495550081,0,0,0,0,0,0,0,0,0,0,0.040858187235159,0,0.579758602513421,0,0.108236848186642,0,0.0522583251751011,0
X2882.TT.EQUITY,0,0,0,-0.0252333248206009,0,0,0,0.0390752195139052,0,0,0,0,0.196872983056584,-0.168074281819673,0,0,0,0.0313367280282423,0,0,0,0,0,0,0.0510963635773717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0843719151431641,-0.0115244556309233,0,0,0.0411029153535682,0.631262546069088,0,0.198119551938692,0,0,0,0.0769127902638149
X2883.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.13291336432324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211968883285764,0,0,0,0.0102278016216422,0.150154050813894,0,0,0,0,0,0.292896824734583,0,0,0,0,0.0328293531024939,0,0.0779935847564285,0.0473626556825995,0,0.249774183627207,0,0.263731950958533,0
X2888.TT.EQUITY,0,-0.239865864641307,0,0,0,0.248752785968991,0,0.318218000132185,0,0,0,0,-0.0445920380230904,0,0,0,0,0,0,-0.015265734750214,0,0,0,-0.210212905560504,0,0.0706018126999066,0,0,0.27863984079772,0,0,0.00917666065663234,0,0,0,0,0,0,0.23894857676049,0,0,0,0,0,0,0.0323567315083054,0,0,0,0,0,-0.170501861402829
X267.HK.EQUITY,0,-0.0505489439308737,0,0,0,0,0,0,0,1.01438890364501,0,-0.0807966951796314,0,0,0,-2.16840434497101e-19,0,0,0,-0.112479955081625,0.0734160426364029,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0746029340152065,0,0,0,0,0,0,0,0,-0.0636941752372096,0,0.150713924253354,0,0,0,0,0,0,0,0,0,-0.0326444269378721,0
MKRturn,0,0,0.0618414248206968,0,0,0,0,0,0,-0.269094977281127,0,0,-0.149702359928714,0.121290549919507,-0.0450798155724535,0,0,0,-0.169189863143165,0,0,0,0,-0.00589799409979364,0,0,0,-0.0420563775671633,0,0,0,-0.243802852515619,0,0,0,0,0,0,0,0,-0.118288019719713,0,0,0,0,0.786060816015824,0,0.0276054959625492,0,0,0,-0.269324235155048
TED,0,-0.336074829611008,0,0,-0.133222166170549,0,0,0,0,0,0,0,0.00755868315303996,0,0,0,0,0.0987922174190186,-0.0934541905942019,0,0,-0.122991875854331,0,-0.0720948101423038,0,-0.138315045395369,0,0.133512092897975,0,0,-0.021335190849234,0,0,0,0,0,0,0,0,-0.109897185594791,0,0,0,0,0.412669509334167,0,0.109446552764872,0,0,-0.0220225086074013,0,0
