,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.148083501011006,0.314816281053916,0,0,0,0.265756171538965,0,0,0,0,0,0,0,0,0,0.041100431638616,0,0,-0.0680782261491816,0,0,0,0,0,0,0,0,0.126753223618334,0,0,0.0783846409909875,0,0,0,0,0,0,0.000687349826428991,0,-0.0452307230629431,0,0,0.0231003688800432,0,0,0.179364899936342,0,0,0,-0.00776155720490455
X002142.CH.EQUITY,0.161580579742499,0,0,0,0,0.256704101303878,0,0,0,0,0,0,0,0,0,0,0.0497989210719216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154633600019345,0,0,0.0645143624760391,0.0331465630050311,0.0676122325393364,-0.128858317595247,0.124542752876207,0,0,0,0,0,0,0,0,-0.017577175316017,0,0.227924886413815
X600000.CH.EQUITY,0,0,0,0,0.47032198749057,0,0,0.152981198104598,0.0810113439110065,0,0,0,0,0,0,0.0574782299445629,0,0,0,0,0,0.0507916321340202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459076976826629,0,0,0,0,0
X600015.CH.EQUITY,0,0.0211291972082589,3.46944695195361e-18,0,0,0,0,0.120961560823469,0,0,0,0.273145993960565,0.398000968922784,0,0,0,0,0,0,-0.111465698656593,0.0767451939027405,0,0,0,-0.0404172049432109,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.278597140148021,0,0,-0.0438375829526362,0,0,0
X600016.CH.EQUITY,1.73472347597681e-18,0,0,0,0,0,0,0.202796263501918,0,0,0.25156955616878,0,0,0.116567262581253,0.288184681505823,0.0937790304376511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464471153011139,0,0,0,0.0137065786987532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.132105835941903,0,0,0,0,0.328477105378634,0,0,0,0,0,0,0,0,0,0,0.0249456208169734,0,0.0498768693934941,0.27174590170564,0,0,0,0.0731716593685296,0,0,0,0.0930781704318483,0,0,0,0.0288535411169438,0,0,0,0,0,0,0,0,0.00154258588938823,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.00113338058739527,0,0.0745511044886761,0,0,0.162779656762272,0,0.251448922082934,9.25556023913408e-05,0.069468556077112,0,0,0.327421333246247,0,0,0,0,0,0,0,0.0939013745840999,0,0,0,0,-0.016413347647228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728788371361678,0
X601169.CH.EQUITY,0,0.0217801281522858,0.2173098678605,0.279510889566738,0,0,0,0,0,0,0,0,0,0.0552919789872686,0,0.110116303339336,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0984909903200024,0,0,0,0,0,0,0.0323357969702611,0.15940171963546,0,0,0,0,0,0.0427720309613606,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.123292730937634,0,0,0,0,1.38777878078145e-17,0,0.0251232963115166,0.150682086392508,0,0.196334991748336,0,0.122632828425073,0.0797468145220761,0.111866412738502,0,0,0,0,0,0,0,0,0,0,0.017008960444799,0,0.161365559944726,0,0,0,0,0,0,0,0,0,0,0.00863633688435381,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0540890153540183,0.394088632695018,0.0342554404158242,0,0.415652563580041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860450729624316,0,0,0,0,0,0,0,0,0,0,0,-0.0134062268411418,0,0,0,0,0,0,0
