,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,-0.0760586337950332,0.128604014320392,0,0,0,0,0,-0.0176234874290364,0,0,0,0.0196101964925878,0.751618556072666,0,0,0,0,0,0,0,0,0.209874573456916,0.00751264061652389,0,0,0,-0.0297250577581083,0,0,0,0,0,0,0,0,0,0,0,0,0.148212193172866,0,0,0,-0.13144024150134,0,0,0,0,-0.0591250984557746,0
X601577.CH.EQUITY,0,0,0,0,0,0,-1.38777878078145e-17,0.0424034156254398,0,0,0,0,0,0,0,0,0,0,0,0,0.213028023316105,0,0,0.230074812943169,0,0.846230266330245,0,0,0,0,0,0,0,0,0.189229909539755,0,0,0,0,0,0,0,0,0,0.0288135844985712,-0.272696204662127,0,0,0,0,0.0883660346845444
X601818.CH.EQUITY,0,0.0935711284522884,0,0,0,0,0.0438846042523773,0.00824022836011601,0.00344217713050874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340836335356155,0,0.90633731032878,-0.0431159032879601,0,0,0,0,0,0,0.0401894995656936,0,0,0,0,0,0.019419906242177,0,0,0,0,0,0,0,0,0,0,0,-0.0722120690550061
X601838.CH.EQUITY,0,0.221791562659293,0,0.227167316795121,0.0741480394289317,0,0.0422863863599972,0.498368280919833,0,0,0,0,0,0,0,0,0,0,0.0509418374390537,0,0,0.0223863192307395,0,-0.00985790334892428,0.0616818832046897,0,0.0867176896705763,0,0,0,0,-0.293974552800847,0,0,0,0,-0.209472401253314,0,0.270207012229194,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,-0.0124199191502471,0.0029502917710933,0,0,0,0,-4.33680868994202e-19,0,0,0,0.86301841028292,5.42101086242752e-20,0,0.121359293012881,0.0683101884298732,0,0,0,0,0,0,0,0.038511044290065,0,0,0,0,0,0,0,0,0,0.0267252975124505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534123097499627
X601988.CH.EQUITY,0,2.71050543121376e-20,0,0,0,0.0208248979307235,0,0,0.0347103770587531,0,0.787311424570811,0,0.142459294406814,0,0,0,0,0,0,0,0,0.0266591699877064,0,0,0,0,0,-0.0021935828131603,0,0,0,0.00260079686197176,0,0,0,0,0,0,0,0,-0.0450211744100191,0,0,0.0267742458060464,0,0,0,0,0,-0.0160933783030233,0
X601997.CH.EQUITY,0.150358750344296,0,0,0.175156387619261,0,0,0,0,0.0536060923949526,0,0,0,0,0.00488708619282539,0,0.259483302173975,0,0.0995163621474257,0,0,0,0,0,0,0.0151588999495595,0,0,0,-0.00493464977903848,-0.168909452433293,0,0,0,0,0,0,0.281510173788993,0.116839252900492,0,0,0,0.0371492995897935,0,-0.0989125434117321,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0.0238946371919165,0,0,0,0,0,0,0,0,0.0439930089657097,0,1.73472347597681e-18,0,0,0.0426886379247556,0,0,0,0,0,0,0,0,0,0,0,0,0.473856015679862,0,0,0.0218479596918705,0.0523577981166266,0,0,0,0,0,-0.17455841585641,0,0,0,0,0.0135649732537836
X601658.CH.Equity,0.145482195831116,0.144049102322693,0,0,0,0.530702540361011,0,0,0,0,0,0,0,0.331912626030502,0,0,0,0.124265753991354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288241819258139,0,0,0,0,0,-0.0857565928484311,0,0.0350269192101581,-0.0248031729319946,0,0,0,-0.0405419966901222,0,0,0,0,0,-0.0204940766897051
X601916.CH.Equity,0,0,0,0,0.803399531550657,0,0,0,0,0,0,0,0,0,0,0.033120940844975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142905234928684,0,0,0,0,0,0,0.0519036815784472,0,0.330434217437261,0,0.118954602115949,0,0,0,0,0,0.0474614476165992
X601077.CH.Equity,0,-0.13523577527506,0,0,-0.0939517949348111,0,0,0,0.000823764101271169,0,0,0,0,0,-0.114325581845054,0,0.898867708326628,0,0,0,0.0142202157349911,0,0,0,0,0,0,-0.0429452854023905,0,0.0260183421125008,0,0,0,0,0,0,0.0607937176972855,0,0,0,0.0749341880545022,0,0,0,0,0,0,0,0,0,-0.0409317684401576
X11.HK.EQUITY,0,0,0,0.312244903791409,0,0,0,0,0,0,0,0,0,0,0,0.132199648285188,0,0,0,0,0.0121899335826172,0.0155431800450744,0,0,0,0,0.206908696926392,0.0745285541325106,0,0,-0.313939381838442,0.327082043466691,0,0,-0.0684459218362267,0,0,0,0,0,0.273344712875142,0.0299561375747769,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0571882804534494,0,0,0,-0.030518752949495,0,0,0,0,0,0,0,0,0.167046334552988,0.006504614191794,0,0,0.352300182596322,0,0,0.242376149492925,0,0,-0.265846230386031,0,0,0,0,0,0,0.00482906730462728,0.124699933147828,0,0,0,0,0,0.135415645164574,0,0.223601694452652,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0828085869615761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129132183212325,0,0.0906519218260827,0.487129440867948,0,0,-4.33680868994202e-19,0,0,0.0178201880139299,0.132440151230662,0,0,0,0,0,0,0,0,0,0,0.0967878771221421,0,-1.38777878078145e-17,0,0,0,-0.0183961452010734
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0461883590082545,0,0,0,0,0,0,0,-0.00169915199924479,0,-0.0458079400364298,0,0,0,0,0.135446067399777,0,0,0.270111294968519,0,0,0.42366273515129,0,-0.0843109464405913,0,-0.0284892772927907,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.111193846339367,0,0,0.0174902594841422
X2884.TT.EQUITY,0,0,0,0,0,0,0,-0.223042877108226,0,0,0,0,0,0,-0.0355945867800245,0,-0.0558454896112034,-0.0238295511011635,-0.0173012118326825,0,0,0,0,0,0,0,0,0,0,0,0.0824588010366836,0,0,0.566183420998742,0,0.0934233130528156,0,0,0,0,0,0,0.444275426611863,0,0,0.103490188700165,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0.0399378909273738,0,0,0,0.0765037137519913,0,0,0,0,0,0,0,0,-0.213830128951589,0,-0.00665396490077698,0.0246601596093633,0,-0.112903284101966,0,0.320973330483378,0.202599628139068,0,0.123821857157256,0,0,0,0,0,0,0,0,0,0,0,0,-0.196182272277489,0,0,0,0,0,0.139190886813665
X2891.TT.EQUITY,0.0249555716994426,0,0,0,0,0,0,0,0.0523008928572783,0,0,0,0.0583770438802411,0,0,0,0,0,0,0,0,0,0.179228175823109,0,0,0.324056173079332,0,0,0,0,0.00826344898077987,0,0,0,0,0,0,0,0.143496024833371,0,0,0,0,0,0,0,0.222197505032905,0,0,0,-0.0744150350157149
X2892.TT.EQUITY,0,0,0,0,0,0,0.182883126371847,0,-0.236101241936593,0,0,0,-0.068696913117741,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989900363741118,0,0,0.514381897372086,0,0.159987452849802,0.15541397572841,0,0,0,0,0,0,0,0,0,-0.113400158726893,0,0,-0.441142135203082,0,0,0,0.150383594012542,0,0.110515058213356
X5880.TT.EQUITY,0,0,0,-0.0302920926514927,0,0,-0.0434851531594007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395793988792067,0,0.090202460687112,0,0,0,0,0.214248988325643,0.0329960224332934,0.297512109455438,0.121563143825101,0.0517364477474535,0,0,0,0,0,0,0,0,0.411498844506539,0,0,0,0,0,0,0.0430229034295731,0,0
X600030.CH.EQUITY,0,0.0187540861570497,0.017974752955377,0.0420240484220642,0,0,0,-0.261950231477435,0,0,0,0.0434343209319943,0,0,0,0.0148759839518682,0,-0.00973465570171064,0,0,0,0,0,0,0,-0.000875126298465729,0,0,0,0,0,0,-0.0340584036917505,0,0,0.316569400420764,0,0.398994302740561,0,0,0,0.169518114112602,0,0,0,0,0,0,0,-0.127968229498604,0
X600837.CH.EQUITY,-0.0211358738573367,0,0,0,0,0.139855281867335,0,0,0,0.0229557417785823,0,0,0,0,0,0,0,0.0211676065096469,0,0,0,0.145125432762397,0,0,0,-0.00914386752276213,0,0,0,0,0,0,-0.108732563167077,0,0.478721984263164,0,0.102027164892785,0.0768979161493567,0,0,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.0298769330735553,0,0,0,0,0,0,0.282725721601343,0,0,0,0,0,0,0,0,0.215224525549799,0,0,0,0,0,0,0,-0.0861123198492099,0,0,0,0,0,0,0,0.570705765752798,0,0.134798327276068,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0407930636077115,0,0,0,0.0285707029675445,0,0,0.0974470252976673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992614976174912,0,0,0.688283103227707,0,0.263096241931637,0,-0.0820892834349093,0,0,0,0,0,0,0,0,-0.0266006289996975,-0.022271887558365,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,-0.536262586538367,0,0,0,0,0,0,0,0,-0.273034189529679,0.0376285406928114,0.492584476285504,0,0,0,0,-0.0115478023633579,0,0,-0.000938708134812026,0,0,0,0,0,0,0,0,0.16913487528724,0,0,0,0,0,0,0,0,0.29056785438354,0,0,0,0.0960104482828732,0.733039463975787,0,0
X601318.CH.EQUITY,0.255603443419256,0,0.015465827076713,0.0300101319013002,0,0,0,0,0,0.0124175139520142,0,0,0,0,0,0,0,0,0,0.0543170557105178,0,0.00344411650059674,0.162274482750796,0,0,0,0,0,0,0,0,0.201775767500897,0,0,0,0,0,0,0,0,0,0.178022634973725,0,0,0,0,0,0,0,0,-0.052597864303103
X601319.CH.EQUITY,0,0,0,0.441163792209765,0,0,0,0,-0.0537962232918249,0,0,0,0,0.0540394171016769,0,-6.93889390390723e-18,0,0,0,0,0.166536799878155,0,0,0.0745187717614715,0.0968341575482258,0,0,-0.0800191759900998,0,0,0,0,-0.189092278232046,0,0,0,0,0,0,0,0,0,0,0.362930129648896,0,0.0774256810589339,0,0,0,-0.00648608714655937,-0.0621513630171308
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00731947792959417,0,0,0,0,0,0,0,0,0.266864816788611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229761751059233,0,0,0.0722726339906198,0.00851535935038933,0.460586901755919,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.24438523652605,0.0297112077459324,0,0.034505940393285,0,0,0,0,0.178249894936169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289500591608141,0,0,0,0,0,0.392716715906612,0,0,0,0,0,0,0,0,0,0.00324985059713519,0,0,0,0.0498388109360838,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0855175556467147,0,0,0.0281295560299642,0,0,-0.121747427562552,0,0,0,0,0,0,0,0,0,0.161119099339077,0.107950166725908,0,0,0,0,0,0,0,0.0197075727497219,0,0,0,0,0,0,0,0,0,0,0,0.0476499616272546,0,0.14071069682054,0,0.0925801235964235,0,0,0,0,0,0,0.229306805562885,0,-0.0642880523662822
X1299.HK.EQUITY,0,0,0.254745975224738,0.113133093320485,0,0,0.181431378662136,0,0,0,0,0,0,0,0,0,-0.145758199241461,0,0,0,0,0,0,0.2073395140104,0,-0.0460579058962203,0.0573439175740666,0.0223242523319287,0,0.138403947266028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,-0.0798876019352983,0,0,-0.0042868643919062,-0.0960982145773906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00574933125191345,0,0,0,0,0,0,0,0,0,0,0,0.612680420125338,0.00121561511293092,0.270712227201113,0,-0.255163762020113
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.0518299132757505,0,0,0,0,-3.46944695195361e-18,0,0,0.0867903558434261,-0.0329678214351527,0,0,0,0,0,0,0,0,0,0,0,0.113645735477981,0,0.446446200108809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404577289660682,0,0,0
X2883.TT.EQUITY,0.153907444015221,0,0,0,0,0,0,0.0241286236325615,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542696959406094,0,0,0,0.158195308572773,0.0501481714932779,0.100060801844178,0,0,0.371530621633177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361313472443989,0,0,0,0.0782918288027926
X2888.TT.EQUITY,0,-0.0712145774399668,0,0,0,0,-0.436433533748399,0,0,0,0,0,0,0,0,0.100999028412642,-0.0761875227463411,0.315064998305808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270466114590563,0.107593433458877,8.67361737988404e-19,0,0,0,0,0.167110804816048,0,0,0,0,0,0,0.221115444200784,0,0.353420580959462,0,0,0
X267.HK.EQUITY,0.22132101934147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824156310107819,0,0,0,0,0,0,0.361939060492236,0,0,-0.0242391227177084,0.122977360104322,0.337152492195993,-0.105324519690076,0,0,0,0.132201055350568,0,0,0,0,0,-0.123215993329414,-0.180840835027015,0.00316895684779897,0,-0.081272136100479,0,0,0,0,0,0,0
macro_return_add,0.23479482785389,0,0,0.192341457622628,0,0,0,0,0,0,0,0,-0.196576793666261,0,0,0,0,-0.0426059083426385,0,0,0,1.73472347597681e-18,0,0.163165427387092,0,0.108379699549933,0,0,0.339931613265774,0,0,0,0,0,0,-0.42253511778211,0,0,0,0,-0.146755149799721,0,0,-0.0951983952136065,0,-0.102440049082334,0,0,0,0,0
