,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.247875916147594,0,0,0,0,0,0,0,0.323378385859827,-0.23697559214184,-0.0967922086930987,0,0,0,0,0,-0.24025726020197,0,0,0,0,0,-0.0209537899611247,0,0,0.908392201976518,0,0,0,0,-0.136244005573862,0,0,0.0644278287810004,0,0,-0.0237161041207731,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.126041142596493,0,0,0,0,0,0,0.0949766825538956,0.0802694665035256,0,0,0,0.0766545863740647,0,0,0,0.0117852580000492,0,0,0,0,0,4.33680868994202e-19,-0.0105104445761625,0,0,0.0419544369893876,0,0.391558135907683,0,0.213205543325279,0,0,0,0,0,0.00253520784406523,0,0,0,0,0,0,-0.0936521973185978,0
X601939.CH.EQUITY,0.0983891952083672,0,0,0,0,0,0,0,0,0.210719356725725,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.13913693764234,-0.0105660517826105,-0.287923362200013,0,0,0.203029750766198,0,0,0.513433416203299,0,0,0,-0.0531637032482924,0,0.169198967827116,0,0,0,0.00637754723463956,-0.0978656623262339
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.396950074832557,3.46944695195361e-18,0.0551781255061659,0.419669418176911,0,0,0,0.457614802622155,-0.235832270085795,0.19641632227859,0,0,-0.305017300248887,0,0,0,0,0,0,0,0,0,0,0,-0.438351457347028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424898380278336,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.102963797439347,0,0.206248593540893,0,0,0,0,0,0,0.165952403377989,0,0,0.118308901217834,0,0,0,0,0,0,0.0528355472656059,0,0,0,0,0,0,0,0,0,0,0,0.148589534771006,0,0,0,0,0,0,0,0,0,0,0.131294744787093,0,0,0
X601988.CH.EQUITY,-0.109891963450057,0,0,0,0.597237865378619,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.137357729214695,0,0,0,0,-0.151697243930235,0,0,-0.167530132954312,0,0.317945110041871,0,0,0,0,-0.30210876702557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156611697285219,0,0,-0.050690852357818,0,0
X600036.CH.EQUITY,0,0.124128800952499,0,0,0,0,0,-0.0286973113080496,0,0.573912922257811,0,0,0.0638144416929893,0,-0.0918537983951817,0.060655379452329,0,0,0,0.182245974517898,0,0,0,0,0,0,0,0.0690764709484894,0,0,0,0,0,-0.189084467911641,0,0,0,0,0,0,0,0,0,0.00536808331105324,0,0,0,0,0,0,-0.139798347196597
X1299.HK.EQUITY,0,0,0,0,0.194980073478416,0,0,0,0,0,0,0,0,0,0,0,0,0.0356741942970253,0,0,0,0,0,0,0,0.252499268150439,0,0,0.0249022722607773,0.0805703374827289,0.000577838027189905,0,0,0.057484557026824,0,0,0,0,0,0,0,0,0,-0.0996551781623038,0,0,0,0,0.0584984290530575,0,0.105689809559438
X601628.CH.EQUITY,0,0.168086443594578,0,0.0433527769290338,0,0,0,0,0,0,0,0,0,0.0506049860853793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00226152667359257,0,0.246247433040846,0.098577441010972,0,0,0,0,0,0.170048540022457,0,0.218126105341681,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0181505351282688,0,0,0,0.450074846079456,0,0,0,0,0,0,0,0,0,0,0,0,0.269842195674098,0,0.0518063145725476,0.0818419150086503,0,0,0.155285925300407,0,0,0,0,0,0,0,0,0,-0.0630438625904236,0,0,0,0,0,0,0.1448088979383,0,0,0,-0.196245393374077,0,0,-0.482678587517688,0
