,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.287907026762936,0.0220220651400338,0.0336797890281292,0,0,0.435616541625169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101672487123617,0,0.042628262529613,0,0,0,0,0,0,0,0,0,0,0.0794911891580995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.224412189596974,0,0,0,0,0,0.188812932278379,0,0,0,0,0,0.104776296450747,0,0,0.090301760014024,0,0,0.122914272380767,0,0,0,0,0,0,0,0,0,0.0123751640704533,0,0,0,0,0,0,0.0626233549581291,0,0,0,0,0,0,0,0,0,0,0,0,0.00141024283620556,-0.154446113901567
X601939.CH.EQUITY,0.428436472238423,0.285012966806801,0,0,0,0,0,0.291651150375298,0,0,0,0,0,0,0,0,0.00495937562879388,0,0,0,0,-0.212306989538394,0,0,0,0,0,0,0,0,0,0,0.115052609949183,0,0,0,0,0,0,0,-0.102932685385861,0,0,0,0,0,0,0,0,0.143125928744203,0.0506920501057512,0
X600036.CH.EQUITY,0,0,0,0,0,0.204580606869861,0,0.172913665722033,0,0,0,-0.0637775946434948,0.155363274343113,0,0,0,0,0,0,0,0,0,0,0,0.0806363896278921,0,0,0,0.135026524207733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37099262056372,0,0
X601288.CH.EQUITY,0,0,0.009925584114055,0,0,0,0.061640187070007,0.471701588619303,0,0,-0.0769057473757059,0.128407878189575,0,0,0.0557572339426167,0,0,0,0,0,0,0,0,0,0.0241862049953659,0,0,0,0.0553857260268558,0,0,0,0.0285764621484482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576244857939002,0.0878926139732491,0,0,0.0281286735467014
X1299.HK.EQUITY,0,0,-0.209009517293768,0,0,0,0,0,0,0,0.107280682196036,0,0,0,0,0,0,0,0,0.0198880060892578,0,0,0.112484243745955,0,0,0,0,0,0,0,0,0,0.172866854787021,0,0,0,0,0,0.0955043545010715,0,0.162367708554066,0.0669361364275919,0.296630968706063,0,0,0,0.29577419583366,0,0,0,0,0
X601628.CH.EQUITY,0.0860765284450233,0,0,0,0,0,0,0,0,0,0,0.0897044752648771,-0.0791749812624417,0,0,-0.258472156762644,0,0,0,0,0,0,0,0,0,0.00783153871491133,-0.0206054516354605,0,0,0,0,0,0,0.0789676381550747,0.64907946845494,0,0,0,0,0,0.00802748021604956,0,0,0,0,-0.0150256644711238,0,0,0.0488447897801447,0,0.193885656226738,0
X601988.CH.EQUITY,0.0496195338514881,0,0.0907011566376345,0,0.358050381645377,0,0,0,0,0,0,0,0.213253860791637,0,0,0,0.141672200637043,0,0.0198490903655486,0,0,0,0.0116989454370264,0,0.0251551200132403,0,0,0,0,0,0.122689521036776,0,0,0,0,0,0,0,0,0,0,0,0.00841928518516165,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123352698659013,0,0,0,0,0,0,0,0,0,0,0.00283078996536204,-0.094490573833313,0,0,0,0,0,0,0.233922948842455,0,0.190211249531283,0.140197545269248,0,0,0,0,0,0,8.67361737988404e-19,0,0.0600273321501345,0,0,0,0,0,0.197795892870172,-0.0632128555262533,0.0620846846855308,0,0.257933074132042,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0243244105575252,0.0229439774482847,0,0,0.0736145255400355,0,0,0,0,0.0686946295131113,0.131917343429172,0,0,0.106268392399166,0,0,0,0,0,0,0,0,0,0,0.140178031083215,0,0.424095337107854,0,0,0,0,0,0,0,0,0,0,0,0.00845487286910911,0,0,0,1.73472347597681e-18,0,0,0,-0.0442004095933042,0,-0.0730311903759357,0.00166316203457051
