,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0871729696777207,0,0.394104409726388,0,0,0.101754865291957,0,0.109199777488412,0,0,0,0,-2.77555756156289e-17,0,0.189402289603872,0,0,0,-0.071834450262768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872580652530255,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0663140136652065,0,0,0
X601939.CH.EQUITY,0.223609252371706,0,0,0.0349672266885874,0.0743504074208229,0,0,0,0,0,0,0.0695291797485657,0,0.334366713073809,0,0.206696851999901,0,0,0,0,0,0,0,-0.0514760489099632,0,-0.0868104589135734,0,0,0,0,0,0.0636773967327192,0,0.0262595980238291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.356430200465405,0.0304165871721364,0,0,0.354614480148398,0,0,0,0,0,0.114621931952216,0,0,0,0,0.0485164370349536,0,0.0511682302661903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121903228212716,0,-0.0345155040176817
X601988.CH.EQUITY,0,0,0,0.271868052157237,0,0,0,0,0,0,0,0,0,0.0883536742961587,0,0.100826004440097,0,0,0,0,0.268016572986405,0,0,0,0.00324828673320976,0,0,0,0,0,0.0383628350488009,0.0509631832103665,0,0,0.122845765518979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0553867653345004,0,0,0,0,0.0409490340860302,0,0.232449853651893,0,0,0,0,0.409259469166183,0,0,-0.281763972262467,0,0,0,0.0868435463570909,0,0,0,0.0508759627567214,0,0,0,0,0,0.381914883458557,0,0,0,0,0,0,0,0,-0.0726650298862889,0
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.184957235766461,0,0,0,0,0,0,0,0,0,0,0,0.207068239565283,0,0.130960743020548,0,0,0,0.0961340099114802,0,0,0,0.0762392487996689,0,0,0,0,0.147012959135471,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194766802913303,0,0,0,0,0,0,0.00462063076241864,0,0,0,0,0.0550824848274064,0,0,0,0,0,0,-0.492852860419376,0,0,0,0.286788680789236,0,-0.187598730138836,0,1.33987885824725,0,0,0,0,0,0,-0.0523335084315469,-0.0610428894296685
