,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.194793364550122,0,0,0,0,0,0,0,0,0,0,-0.132123260585993,0,0.489823112244481,0.685875255081333,0.0593198778706608,0,0,-0.124276890563969,0,0,-0.0556240957943668,0,0.066836461621189,0,0,0,0,-0.159328186552284,0,0,-0.337841785059986,0,0,0,0,0,0,0,0,0,0,-0.0247004051189881
X601318.CH.EQUITY,0,0,0,0,0,0.165165646413426,0,0,0,0,0,0,0,0,0.0831053502635067,0,0,0,0.31275372742137,0,0,0,0,0,0,0,0,0,0.115613342646988,0,0,0,0,0,0,0,0.111175473573299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143111799940846,0
X601939.CH.EQUITY,0,0,0,0.819845193544953,0.0238798225916085,0.0159181941177888,0,0,0,0,0,0,0,0,0,0.000658535315936286,0,0,0,0.0593556549760343,0,0,0,0,0,0,0,0,0,0,0,0.0164183896608422,0.0456735914423737,0,0,0,0.00528289401372308,0,0,0,0,0,0,0,0.0671276879886704,0,0,0,0.0229533873047395,0,0,0
X601288.CH.EQUITY,0,0,0.879770813256477,0,0.0504129076613689,0,-0.0896539757444065,0,0,0,0,0,0.0147874557003957,0,0,0,0.0507633214658331,0.126556631277259,0,0,0,0,0,0,-0.0843928715378186,0,0.0173395876238242,0,0,0,0.0109836234797754,0,0,0,0,0,0,-0.147135128181572,0,0,0,0,0,0,0,0,0,0,0,-0.00210641001852616,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.106328331211147,0,0,0,0,0,0,1.19747399454123,0,0,0,0,-0.13002899727584,0,0,0,0,0.0490065725005244,0,0,0.0802824155822716,0,8.67361737988404e-19,0,0,0,-0.234989880916431,0,0,-0.268029048657516,0,0,0,0,0,0.0363026746488807,0,0.0875340160610848,0,0,0,0,0,0,0.183235598018767,0
X600036.CH.EQUITY,0,0.0499855646899031,0.356240854585953,0,0,0,0,0,0,-0.000860180532007677,0,0,0,0,0,0.154414500497665,0,0,0,0,0,0,0,0,0,0,0.201594619874061,0,0,0.000766262966751669,0,0,0.218150442784441,0,0,0,0,0,0,0,0,0,0,0.0514292379204421,0,0,0,0,0,0,0,0.0554554716947237
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0271484425415151,0,-0.0120479972136892,0.817430290777709,0,0,0,0,0,0,0,0,0,0.145992329201094,-0.0207957564343881,0,0,0,0,0,0,0,-0.060752380071292,0,0,0,0,0,0.0411964759128266,-0.0367640284490968,0,0,-0.0541917569586773,0,0,0,0.108718984863772,0.0769341257528997,0,0,0.0333001068087256,0,0.135377096346175,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0815874532492344,-0.0466039604159942,0.131203732514316,0,0,0,0,0,0,0,0,0.139965074244218,0,0,-0.208790353488489,0,0,0,0,0,0.137080838336143,0.338618232073137,0,0,0,0,0,0,0,0,0,0,0,0.074419655160686,0,0,0.447081960057725,0,0,0,0.108575230036296,0.136560331927181,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.203299399687496,0,0,0,0,0,0,0,0,0,0.222012170665528,0,0,0,0,0,0.129394055023308,0,0,0.335540697960987,0.107938451154386,0.0097904542053529,0.0271965134586938,0.111967010264015,0,0,0,0,0,0,0,0,0,0,0,0.11762476058275,0,0,-0.033351126877876,0,0,0,0,0,-0.0692224395107328,0.221884563313085
X388.HK.EQUITY,0,0,0,0,0,0,0.215728401246341,0,0,0,0,0,0,0,0,0,0,0,0,-0.21456280874023,0,0,0,0,0.35453882950901,0,0,0.0659869626034957,0.123653553411534,0,0.0238003380310483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165370128267796,0.0420150950060565,0,0,0.0612787701224668,-0.263992876584739,0,0
X601658.CH.Equity,0,0,0,0.220327118258004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290509559161428,0.00715543186520228,0,-0.0681292200608392,0,0,0,-0.0428930550209167,0,0,0,0,0,0.0532939499335835,0,0,0,0,0,0,0,0,0,0,0,0.290013796554818,0,0,0,0,0,0,0,0,-0.00619137662288463
X600030.CH.EQUITY,0,0,0,0,0,0,0.159316481259853,0,0,0.0141689209927348,0,0,0.0296259021178745,0,0.0764988766707217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107867329157878,0,0,0,0.661854026810713,0,0,0,0,0,0,-0.0298849912196827,0,0,0.0128913806868809,0.0118409326832088,-0.0210921026037619,0.00471865045590002,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.212816606327312,0.0105531746522226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327665948052727,0,0,0,0,0.00468391765905614,0,0,0,0,0,0,0,0,0,0,0.0260258075889655,0,0,0,0,0,0.248320822907923,0,0,0.0473782985603933,0,0,0,0,0
X601166.CH.EQUITY,0,0.0616648162422594,0,0,0.540149961821469,0,0,0,0,0.0134614503758214,0.0628892682342783,0,0,0,0,0.0736348801636615,0.0456292903896957,0,0,0.0605374890097039,0,0.0592562256246873,0,0.0610698642231784,0.0713116923392128,0,0,0,0,0,0,-6.93889390390723e-18,0.00799996909856552,0,0,0,0,0,0,0,0.0183705745331793,0,0,0,-0.0376101734875566,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.327510406719995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335615371657105,0.169868738119962,0,0,0,0,0,0.0465132250623544,0,0,0,-0.0253886426065119,0.0853636671497311,0.288148325832874,0,0.0779949410967053,0,0,0.0324828363327308,0,0,0.0527067336695439,0,0,0.0131012347876658,0
X600000.CH.EQUITY,0,0,0.124343693868347,0.221901233536536,0,0,0,0,0,-0.0319388046627734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633854513746472,0,0,0,0,0,0,0.119940553843215,0,0,0,0,0,0.665191061398332,0,0,0.237355122218175,0,0,0,0,0,0,0,0,0.141908832926472,0.0168418181603178,0
X000002.CH.EQUITY,0,0,0.0769021695017448,0.119009099043572,0,0,0.028624149059026,0,0,0,0,0,0,0.0137204567916593,0,0,0,0.140428880240255,0,0,0,0,0.0489885554182963,0,0,-0.0175613007010248,0,0,0,0,0.0215792787914284,0,0,0,0.038204881900166,0,0,0,0,0,0,0,0,0,0,0,0.124395211294976,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.182386552361021,0,0,0,0,0,0,0,0,0,0,0,0.00519559507964975,0.0878114240934849,0,0.140763491348965,0,0,0,0,0.0713370830814457,-0.0224871025693761,-0.00699111772696831,0,0,0,0,0,0,0,0.106368419716922,0,0,0,0,0.247602580771744,0,0,0,0,0,0,0,0,0.0993162408850515,0,0,-0.0284156110400419,-0.156897898088284
