,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.294930087251453,1.38777878078145e-17,0.0288355507668566,0,0,0.431681127140758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107783130099253,0,0.0237437858317651,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0889303513771166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.233347853687324,0,0,0,0,0,0.0714281877434204,0,0,0,0.0495903067305315,0,0,0.221869434507463,0.00498407829524233,0.0421007363187943,0,0,0.095464533505495,0,0,0,0,0,0,0,0,0,0.0812266280985781,0,0,0,0,0,0,0,0,0.0364527893908803,0,0.0829462570485616,0,0,0,0,0.00520422454131863,0,0,0,0,-0.0864278886340058
X601939.CH.EQUITY,0.416866828895862,0.0703126542034171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152725355195489,0,0,0,0,-0.128675030232041,0,0,0,0,0,0,0,0,0.161976463367675,0,0.266802236787919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259816933237242,0.0543906134814451,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.555644085151537,0,-0.0825666973151994,0,0.0559695030649677,0,0,0,0,0,0,0,0,0,0,0.0595387543904034,0,0.117729603076645,0,0,0,0,0,0.116102728724246,0,0.0445734988314375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378042379217381,0,-3.46944695195361e-18,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.18303287102873,0,0.135154135846139,0,0,0,-0.0697838020958733,0.186744304988236,0,0.0668330718677066,0,0,0,0,0,0,0,7.63319949912186e-05,0,0.0718908851556339,0,0.0307275768744811,0,0,0,0.0687819628541271,0,0,0,0,0,0,0,0,0,0.0508239997651679,0,0,0,0,0,0,0,0,0.363623132278842,0.0294840500407968,-0.0142589129160415
X1299.HK.EQUITY,0,0,-0.164204362326812,0,0,0,0,0,0,0.195017719636166,0,0,0,0,0,0,0,0,0,0,0,0,0.0340482756918748,0,0,0,0,0,0,0,0,0,0.214833750078234,0,0,0,0,0.0429692564950323,0,0.224016704154479,0,0.0313042314890025,0,0.361661126582978,0,0,0,0.201122704025945,0,0,0,0
X601628.CH.EQUITY,0.211481323016472,0,0,0,0,0,0,0,0,0,0,0,-0.021851192221465,0,-0.255723706650166,0,0,0,0,0,-0.0453753979597121,0.117172454740926,0,0,0,0,-0.0927046087322068,0,0,0,0,0,0,0.166006824240178,0.56284801274019,-0.0301380280851717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123308689464306,0
X601988.CH.EQUITY,0.0914052588934107,0,0.094155017363337,0.33696592074279,0,0,0,0,0,0.0264812057212191,0,0,0.208349906015547,0,0,0,0.134601829745357,0,0,0,0,0,0.0133604437311887,0,0.0416230478369518,0,-8.67361737988404e-19,0,0,0.119923779101344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.197894324383605,0.111568319700048,0,0,0,0,0,0,-0.0375409474626243,0,0,0,0,0,0,0,0,0,0,0,-0.26084256991046,0.0735740884649704,0,0,0.17062584093558,0,0,0,0,0,0,0.06026725457418,0,0,0,0,0,0,-0.0114974004048265,0.237045958479292,0.0483714174190167,0,0,0,0,0,0,0,-0.0633009245552208,-0.163427461231701,0
X388.HK.EQUITY,0,0,0,0,-0.364882636366188,0.250507719840112,0,0,0,0,0,0,0.121110623277354,0,0.137473004349947,-0.0288298547327759,0,0,0.0294947851845683,-0.0179358482352566,0,0.518268955550013,0,0,0,0,0,0.0333752557961828,0,0,0,0,-0.127215031218076,0,0,0,0,0,0.178097870449009,0.0700555311747196,0,0,0,0,0,-0.210018443975742,0,0.0582785212036869,0,0,0,0
