,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.133823649658003,0,0.11076879158277,0,0.0698836535895807,0,0,0.333917316734688,0.0505178066476587,0,0,0,0,0,0,0,0,0.123658707786053,0,0,-0.0722494163003585,0,0,0,0,0,0,0,0,0.196133293636604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.395941422452229,0,0,0.0517870053411218,-1.38777878078145e-17,0,-0.0805528739965565,0,0,0,0,0,0.489430691015236,0,0,0,0,0,0,0,0,0,0,0,0,-0.068499229878373,0,-0.0304826648280167,0,0,0,0.0848988372275523,0,0,0,0,0,0,0,0,0.00763228077372538,0,0,0,0,0,0,0,0,0.0315177964900655,0,-0.103504778538645
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0421753457074601,0,0.0228730781609813,0.303971564326777,-2.16840434497101e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978477074194681,0,0,0.112967162482402,0,0,0.0819791146277936,0.207968159977971,0,0,0,0,0
X601288.CH.EQUITY,0.385410095346425,0.00415682878821627,0,0,0.345557175694679,0,0,0,0,0,0.10006154909967,0,0,0,0,0.0613587787518603,0,0,0.0616394491339015,0,0,0,0,0,0,0,0,0,0,0,0.0135289206762274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375784973934709
X601988.CH.EQUITY,0,0,0,0.361321589435378,0,0,0,0,0,0,0.251218042111033,0.0950843774307774,5.55111512312578e-17,0.0855196390221148,0,0,0,0,0.149977973623519,0,0,0,0,0,0,0,-0.0117560633759504,0.0440065467127359,0,0.0149252164382455,0,0,0,0,0,-0.031534768618997,0,0,0,0,0.0541929045695256,0,0,0,0,0,0,0,0,0.0154957241615922,0.0145105603062166,0
X600036.CH.EQUITY,0,0,0.0208627643024733,0,0,0,0,0,0,0,0,0.41351204566421,0,0,0,0,0,0,0,0,0,0.0528916386922198,0,0,0,0,0,0.131903969517757,0,0,0,0,0,0,0,0,0.0824452417401594,0,0,0,0.0590567091599964,0,0,0,0,0,0,0,0,0.259886581107176,0,0
X1299.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0.0130440270484253,0,0,0,0,0,0,0,0,0.00867761200395142,0.324611963667649,0,0.0702324351474991,0,0,0,0.0641189870717434,0,6.93889390390723e-18,0,0.1966282021498,0,0,0,0,0,0,0,0,0.168142866236482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320553896302433,0,0
X5.HK.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.406098049830316,0,0,-0.536027530719628,0,0,0.810581094005274,0,-0.833263801856227,0,0,0.635739777718592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154790069854163,0,0,0,0,0.255044529733419,0.0306722787264871,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.407166951247691,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0502374859510875,0,0.284474156264618,0,0,0,0,0,0,0,0,0,0,0.0128780670104705,0,0,-0.0480026424175456,0,0,0,0,0.129798152686574,0,0,6.93889390390723e-18,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.231699622492251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757001933778635,0,0.322768203090794,0.533401295968492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255117013323371,0,-0.578935640415863,0,0,0
