,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.332846510036419,0,0.339503392892205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241070555253437,0,0,-0.0518188091395034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676151423775336,0,0.0102704221756567,0,0,0
X601939.CH.EQUITY,0.35911536251966,0,0,0.288300242005694,0,0,-0.097204112090995,0,0,0,0.00284113617767554,0,0.141250090671028,-0.0661308066142289,0,0,0,0,0,0,0,0,0,0,0,0.0320009789101152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20013911925715,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110835766354276,0,0,0,0,0,0,0,0,0,0,0.041335109919485,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.268114977626925,0,0,0,0,0,0.109811938408356,0,0,0.0705031702994072,0,0.132735805116417,0,0,0,0,0
X601288.CH.EQUITY,0.454237241876048,0,0,0,0.200303158255238,0,0,0,0,0,0,0,0.0262567868074787,0,0,0,0,0,0,0,0,0.168819682985787,0,0,0,0,0,0.0184291747036334,0,0,0,0,0.0292468212806823,0,0,0,0,0,0,0.00678208353944044,0,0.0636698494630619,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0970792512466427,0,0.379696708857458,0,0,0,0,0,0.272387705257016,0,0,0,0,0,0,0,0.198320706847549,0,0,0,0,0,0,0,0,0,0,0,0.0158022463275305,0,0,0,0,0,0,0,0,0,0,0.0477515563381529,0,0,0,0,0,0,0,0,0,0.0285646781056829,-0.0725329059277237
X600036.CH.EQUITY,0,0,0.0286657928545545,0,0,0,0,0,0,0,0,0.411316232660938,0,0,0,0,0,0,0,0,0,0,0.0629175247436606,0,0.118717812861113,0,0,0,0,0,0,0,0,0.0958197730827132,0,0,0,0.00699731607898528,0,0,0.0555058177195802,0,0,0,0,0,0,0,0.261992921022678,0,0,0.0101385323554562
X1299.HK.EQUITY,0,0,0,-1.73472347597681e-18,0,0.117173462939294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047700258037652,0.205031021640718,0,0,0.0594965567289671,0,0,0.193975163636711,0,0,0,0,0,0,0,0,0,0,0,0,0.191298007799258,-6.93889390390723e-18,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440917292470873,0.25601690200831,0,0,0,-0.251783757941854,0,0,0,0.957136675720393,-0.802813351434734,0,0,0.59660636870982,0,0,0,0,0,0,0,0,0,0,0,0,0.248290254288008,0,0,0,0,0,0,-0.17149875439861,0,0.042586772371985,0,-0.17168044310176,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.381369710387691,0,0,0,0,0,0,0.173354916313028,0,0,0.15571037576527,-0.049452011419971,0,0,0.0211906620779993,0,0,0.078741162754063,0,0,0,0,0,0,0,0.0425911355821729,0,0,0.0297048826266293,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.514521310935744,0,0,0,0,0,0,0,0,0,0,-0.259571094441798,0,0,0,0,0,0,0,0.107743167583663,0,0.143440556935924,0,0,0,0.733251661760081,-0.0671636599627631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837362893424366,0,0,0
