,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.374151720661878,0,0.164221064694955,0,0.136743160583811,0,0,0.194860380487225,-0.0547088535593068,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092338264287571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554244989212488,0,0,0,0,0,0,0,0,0,0,0.0604375072792889,0,0,0
X601939.CH.EQUITY,0.402478520187527,0,0,0.315875184311063,0,0,-0.120313268157714,0,0,0,0.0279899213666256,0,0.136435191566476,0,-0.0912972519688891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00757565384489427,-0.0249454636741651,0,0,0,0,0,0,0,0.176360432753088,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0,0
X601288.CH.EQUITY,0.500258195712319,0,0,0,0.198589350708479,0,0,0,0,0,0,0,0.0747690232293874,0,0,0,0,0,0,0.0129344264735743,0.118438957692497,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0507849668129471,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381101948188689,0,0,0,0,0,0.264977361233312,0,0,0,0,0,0.356552204803942,0.0873583734528468,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.368433149678089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848609205316167,0,0,0.058845008118603,0.12270832480875,0,0,0,0,0,0,0,0,0,0.0246769399597614,0,0,0,0.147116757591891,0,0,0,0,0,0,0,0,0.219904072707201,0,0,0,0,0,0,0.0922903188268329,0,0,0,0,0.117246466306844,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664270961567337,0,-0.123158745252463,0,0,0,0,0,-0.287527875460904,0.645370680492796,0,0,-1.38777878078145e-17,0,0.777605707219484,0,0,0,0,0,0,0,0,0,0.408959438704312,0,0,0,0,-0.303668035616793,0,0,0,0,0,0,0,0.155110786632068
X601628.CH.EQUITY,0.00511962057732115,0,0.0722076906137997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684381981106048,0,0,0,0.0512883533958289,0.0316916334945199,0,0,0.118819225051502,0,0.229605598440207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786961998887349,0,0,0,0.246236947520724,0,0.0912882874854492,0,0,0
X601658.CH.Equity,0,0,0,0.0418619241512081,0.197322482191254,0,0,0,0,0,0,0,0.262608476982268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087640197733323,0.173444934380784,0,0,0,0,0,0,0,0,0,0,0.044730646584683,0,0,0,0,0,0,0,0.352158788324093,0,0,0,0,0
