,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.376858789751138,0.103723892051493,-2.16840434497101e-19,0,0.259748871476624,0,0,0,-0.0496969008216351,0.111638722194379,0,0,-0.0342250136069638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691130934731072,0,0.0194462153579198,0,0,0
X601939.CH.EQUITY,0.221822916647345,0,0,0.202104603960449,0,0,0,0,-0.097173589294789,0,0.163369869097593,0,0,0.076811056065042,0,0,0,0,0,0,0,0,0,0.197254150441236,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658193997328377,0,0,0,0,0,0,0,0,0,0,0,0.158537286335489,0,3.46944695195361e-18,0
X601318.CH.EQUITY,0,0,0,0,0.17110577096997,0,0,0,0,0,0,0.186622005149537,0,0,0.0186001549692317,0,0,0,0,0,0,0.0971290727746647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0568037312064756,0,0,0.203178511848886,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.412102846576523,0,0,0,0.217411200204686,0,0,0,0,0,0,0,0,0.112939980191357,0,0,0,0,0,0.08540678305707,0.0582318016146638,0,0,0,0,0,0,0,0,0,0,0,0.0201668664538555,0,0.024882982272418,0,0,0,0,0,0,0,0.0200503512112473,0,0,0,0,0,-3.46944695195361e-18,0.0152902600755424,0,0
X601988.CH.EQUITY,0,0,0,0.375137315022673,0,0,0,0,0,0.243606866394969,0,0,0,0,0,0.0921438504186747,0.136254431155344,0,0,0,0.0452752071072273,0,0,0,0,0,0.0951816803705658,0,0,0,0,0,0,0,0,0,-0.523942345421002,0,0,0,0,0,0,0.0761381089567736,0,0,0,0,0,0,0.29266440963508,0
X600036.CH.EQUITY,0,0.0282154485754069,0.0707475800384461,0,0,0,0,0,0,0,0,0.148299310331215,-0.0574276100785064,0,0,0,0.0910427642629466,0,0,0.0586821960316749,0,0.231718390604078,0,0,0,0,0,0,0,0,0,0.195312737566167,0,0,0,0,0,0,0,0,0.13681234850255,0,0,0,0,0,0,0.111809471819255,0.0169319503775601,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239082294930949,0,0,0,0.482015571656459,0,0,0,0,0,0,0,0.108281578044794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112299059329955,0,0,0.046513946884243,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.229585898815142,0,-0.36421545067533,0,0,0,0,0,0,0.100718086646283,-0.344839916818422,0.600056638854003,0,0.669301479533986,0,0,0.0945040091137992,0,0,0,0,0,0,0.415823512722703,0,0,0,0,0,0,-0.108636576414587,0,0,0.0315686109156331,0,0,0,0.123590637545925
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.195987891125746,0,0,0,0,0,0,0,0,0.307196868562949,0,0.0765950627549422,0,1.73472347597681e-18,0,0,0,0,0,0.0116575037153421,0,0,0,0,0,0,0,0,0.272055442617606,0,0,0,0,0,0,0.177935197984918,0.0789016779972055,0,0,0
X601658.CH.Equity,0,0,0,0.158196464497907,0.181348715741105,0,0,0,0,0,0,0,0,0.118308992946117,0,0,0,0,0,0,6.93889390390723e-18,-0.0818643010358054,0,0,0,0,0.0366124271181752,0,0.0938250439655661,0,0,0,0,0,0,0,0,0.275997234394797,0,0,0,0,0,0,0,0,0,0,0.434760990351126,0,0,0
