,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.147021643690661,0,0,0,0,0,-0.107355592276875,0,0,0,0,0,0,0,0,0,0,-0.0834270536903087,0,0,0.426266217275673,-0.125305371644863,0,0,0,0,0.472174086516207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296326241461599,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0364312012965048,-0.0214195631918058,0,0,0,0,0,0.247803844413357,0,0,-1.73472347597681e-18,0.503822632089989,0,0.0184843467384115,-0.0110176066680326,0,0,0,0.01593779358562,0,0,0,0.0528098192676109,0,0,0,0.118293725923094,0,0.054590686396615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152146399901285,0
X601939.CH.EQUITY,0,0,0,0.771458981299189,0,0,0,0,0,0,0.101226748849269,0,0,0,0,0.110978391469536,0,0,0,0,0,0,0,0,0.0100961149708309,0,0,0.0664934270753678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583026645182847
X601288.CH.EQUITY,0,0,0.926953937584094,0,0,0,0,-0.0258220856209979,0,0,0,0,0,0,0,0,0.00792861075715016,0,0,0,0.092390401840263,0,0,0,0,0.0380965135016262,0,0,0,0,0,0.0547687208080539,0,0,0,0,0,0,-0.0651610468589679,0,0,-0.109445793976678,0,0,0,0,0,0,0,0,-0.0414064982645403,0
X601628.CH.EQUITY,0,0.00721732970674877,0,0,0,0,0,0,-0.1012751718353,0.268481445254067,0,0.27615205032773,0,0,0,0,0,0,0.302658696812376,0,0,0,0,0,0,0,0,-0.0839192875649089,0,0,0.0206785404160129,0,0,0,0.263942493059868,0,0,0,0,0,0,0,0,0,0,0.109213358905952,0,0,0,0,0.0405559241560387,0
X600036.CH.EQUITY,0,0,0,0.343425275076324,0,0,0,0,0,0,0.0124451013619793,0,0,0,0,0,0,0.177825558708415,0,0,0,0,0,0,0,0.195031252443595,0,0.0264240230478569,0,0,0,0,0,0,0,0,0.0675920524259843,0,0,0,0,0,0,0,0.0741381119122368,0,0,0,0,0.00383135083537333,-0.0115534341291426,0
X601988.CH.EQUITY,0,0,0,0.0691158296160554,0,0,0,0,-0.0269860253260101,-0.0730431494623,0,0,0,0,0,0,0,0,0,0,0.00120470878363375,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131657763042514,-0.0627211963408957,0,0.989877974730733,0,0,0
X1299.HK.EQUITY,0,0.0640712824734378,0,0,0.0801202316568365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337358257284024,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.055967453400709,0.084954187237468,0,0,0,0,0.19377171398198,0,0,0,0,0.0939187142235605,0,-3.46944695195361e-18,0,-0.0627561068515201
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467465947270313,0,0,0,0,0,0,0,0,0.0624859660655654,0.562883410744494,0,-0.0393717098377819,0,0,0,0,-0.0110046021442391,0,0,0,0,0.0338327574141415,0,0,0.213446419821727,0.270321827556528,0.327337669339014,0,0,0,0.235047593595651,0,0
X388.HK.EQUITY,-0.0330458019329105,0,0,0,0.156946956457307,0,0,0,0,0,0,0,0,0,0,0,0.120950923406296,0,0,0,0.246750170846244,0,0.246443873596244,0,0.215872192970822,0,0,-0.0973458600720089,0,0,0,-0.0603636336283164,0,0,0,0,0.185284407504035,0,0,0,0,-0.0691579459889188,0.0405171050807919,-0.190399971428496,-0.062531312454475,0,0,0,0,-0.00148878639492355,0.314663982659698,0
