,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.126291059276682,0,0,0,0,0,-0.0744819375948768,0,0,0,0,0,0,0,0,0,0,-0.0590891826244114,0,0.00409095730771278,0.233576671503492,0.503728235969614,-0.110266129111842,0,0,0,0.205979381965178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510898974633214,0
X601318.CH.EQUITY,0,0,0,0.00470266419637649,0,0,0,0,0,-0.0260640557376407,0,0,0.0271502875807491,0,0.0555482392654132,0,0.0160529333055313,0,0.498080314907203,0.0193270911039083,0,0,0,0,0,0,0,0,0.118181992972968,0,0,0,0,0,0,0.0652381735292902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.107521349073632,0,0.755443254878064,0,0,0,0,0,0.0246929735719866,0.0874607855097252,0,0,0,0.0270302446583028,0,0.0181544810012908,0,0,0,0,0,0,0,0,0,0,0.0580020332309047,0,0.00743822643422831,0,0,0,-8.67361737988404e-19,0,0,0.0159194161097706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.89276185305101,0,0,0,-0.00689778788396261,0,0,0,0,0,0,0,0,0.0123601767336477,0,0,0,0.0363120034076831,0.0978650275909656,0,0,0,0,0,0,0,0,0.0349826604982346,0,0,0,0,0,0,0,0,0,0,-0.168584095343698,0,0,0,0,0.0178483733482681,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.027559209746788,0.301708131479555,0,0.268563944959841,0,0,0,0,0,0,0.437181291532872,0,0,0,0,0,0,0,0,-0.0751052243301664,0,0,0,0,0,0,0,0,0.0358070540077014,0,0,0,0,0,0,0,0,0.129207109486633,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.333933809883509,0,0,0,0,0.0775057553631868,0,0,0,0,0,0.0209518389591173,0,0.0309647336049982,0.13808325466661,0,0,0,0,0,0,0,0,0,0,0.1167601122776,0.159357256764483,0.0399704806426824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345814331546578,0,0,0.0551784862757992,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0379989390291698,0.31325976556299,0,0,0,0,0,0,0,0,0,0,0,0,0.284773218609941,-0.0339693785446917,0,0,0.0907994547113058,0,0,0,0.0419650370775496,0,0,0.0995185347851605,0,0,0,0,0.0453999675822883,0,0,0.0409375317408244,0,0.0766442604058611,0,-0.0118698138446564,0,0,0,0.2048138373647,0,-0.0250128375895856
X601988.CH.EQUITY,0,0,0,0.064414915558637,0,0.00939934524759465,0,0,-0.0552895386677969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728448671838703,0,0,0,0,0,0,-0.0241075992371595,0,0,0,0,0,0,0,0,0,0,0.000208527751662532,-0.134338889651256,0,0.999517300632671,1.73472347597681e-18,0.000798848755101037,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214568439077366,0,0.339200465779358,0.0245161267944568,-0.0654254148281452,0,0,0,0,0,0,0,0,0,0.0140700212430337,0,0,0,0,0.31857129406025,0.0465705598222822,0,0,0.11670240932289,0,-0.349479176649101,0,0.104065054446095
X388.HK.EQUITY,0,0,0,0,0.222971709110398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127150208397542,0,0.256025057441633,0,0,0.115459459911773,-0.00877186509732061,0,0,0,0,0,0,0.111286760819373,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177402528851643,0,0,0.281790362108546,0
X601658.CH.Equity,0,0.0262057833643634,0.303310645676872,0,0.0491802241124422,0.0135188975584617,0,0,0,0,0,0,0,0,0,0,0.025494541441655,0.0249776939568802,0.172779363290539,0,0,0,0,0,0,0,0,0,0.0878057110059242,0,0,0,0,0,0.0222383869506021,0,0.0204619415282211,0,-0.0614359269360408,0,0,0,0.0554306360933582,0,0.072461647378076,0,0.0205325548332903,0.0524049211523041,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0817369828182475,0,0,0,-0.0193067451749357,0.0555811685925389,0,0,0.348423125562369,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00447393867434676,0,0,0,0,0,0,0.0249700436010948,0,0,0.0691633577390307,0,0,0,0.200130047006903,0,-0.0245760748626219,0,0.13210684747989,0,0,0,0,0,0.188284997387878,0,0.0770377556901402
