,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.394474022744904,0.0859403665424242,0.00661204032054301,0,0,0,0,0,0,0.218281726949715,0,0,0,0,0,0,0,0,0,0,0.0315102002540504,0,0,0,0,0,0,0,0.077111561620432,0.0128322766529209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298438096456347,0,0,0,-0.12833198724695,0,0
X601939.CH.EQUITY,0.257900263160673,0,0,0.138060546624685,0,0,0,0,-0.073560373498864,0,0.157346713903134,0,0,0.0844161252177198,0,0,0,0,0,0,0,0,0,0.22493426883191,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622762717931521,0,0,0,0,0,0,0,0,0,0,0,0.158177018247913,0,0.019693280863114,0,0
X601318.CH.EQUITY,0,0,0,0,0.17110577096997,0,0,0,0,0,0,0.186622005149537,0,0,0.0186001549692317,0,0,0,0,0,0,0.0971290727746647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0568037312064756,0,0,0.203178511848886,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.412103612982414,0,0,0,0.217390265269621,0,0,0,0,0,0,0,0,0.112959145513471,0,0,0,0,0,0.0853973929998449,0.0582247285221486,0,0,0,0,0,0,0,0,0,0,0,0.0201500184252161,0,0.0248858522971161,0,0,0,0,0,0,0,0.0200435077802407,0,0,-3.46944695195361e-18,0,0,0,0.015319518198352,0,0,0
X601988.CH.EQUITY,0,0,0,0.375153813621069,0,0,0,0,0,0.243589930806603,0,0,0,0,0,0.0921123885253103,0.13627610882121,0,0,0,0.0452457113146264,0,0,0,0,0,0.0951993951316502,0,0,0,0,0,0,0,0,0,-0.523956805048125,0,0,0,0,0,0,0.0761636885736967,0,0,0,0,0,0,0,0.292663197277272,0
X600036.CH.EQUITY,0,0.0281775484603978,0.0707800885034636,0,0,0,0,0,-1.73472347597681e-18,0,0,0.148277339898357,-0.0574530555896241,0,0,0,0.0910611872527928,0,0,0.0587410721425009,0,0.231716086754405,0,0,0,0,0,0,0,0,0,0.195272908342163,0,0,0,0,0,0,0,0,0.136794430423065,0,0,0,0,0,0,0.111817570609777,0.016955879107177,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239082294930949,0,0,0,0.482015571656459,0,0,0,0,0,0,0,0.108281578044794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112299059329955,0,0,0.046513946884243,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.229585898815142,0,-0.36421545067533,0,0,0,0,0,0,0.100718086646283,-0.344839916818422,0.600056638854003,0,0.669301479533986,0,0,0.0945040091137992,0,0,0,0,0,0,0.415823512722703,0,0,0,0,0,0,-0.108636576414587,0,0,0.0315686109156331,0,0,0,0,0.123590637545925
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.17638103464628,0,0,0,-3.46944695195361e-18,0.117308600608381,0,0,0,0.308813311322546,0,0,0,0.000167359644469937,0,0,0,0,0,0,0,0,0.0524798063972101,0,0,0,0,0,0.252821600417375,0,0,0,0,0,0,0.130709313093684,0,0,-0.144674268517416,0.0360744887217337,0
X601658.CH.Equity,0,0.118644788817452,0,0,0.201718476213489,0,0,0,0,0,0,0,0,0.108068761991091,0,0,0,0,0,0,0,-0.0986980513088298,0,0,0,0,0.0862585515795726,-0.0597624956019283,0.0744509496369332,0,0,0,0,0,0,0,0,0.26256134234366,0,0,0,0,-0.0179562112169292,0,0,0,0,0,0.51767143945085,0,0.0561236697306313,0,0
