,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,6.93889390390723e-18,0,0.05671345315713,0,0.138740461898216,0.176384531741787,0,0.351767531650953,0,0,1.38777878078145e-17,0,0.000602054176139429,0.131827762497424,0,0,0,0,0,0,0,0,0,0.0118793389216517,0,0,0,0,0.104028417277762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.207656778853757,0,0,0,0,0,0,0,0.224197616914051,0,0,0,-3.46944695195361e-18,0,0.0719896410669298,0.144752224530838,0,0,0,0.210530612360493,0,0,0,0,0,0,0,0,0,0.0753590016767718,-0.059894900085817,0,0,0,0,0,0.0658300800793861,0,0,0,0,0,0,0,0,0,0,0.0749612635006317,0,0,0,-0.0072478902733775,0
X601939.CH.EQUITY,0.26370377565263,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.425690916461427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191838718526419,0,0.106013935567999,0,0.00655728341134698,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.342769886298404,0,0.0423436715557537,0,0,0.46721519932102,0,0,0,0,0,0,0,0,0.0359528985898645,0,0,0,0,-0.0109427668463624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112853085434653,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.227979016143772,0,0,0,0,5.55111512312578e-17,0.31244677034844,0,0,0,0,0,0,0,0,0.644909623350899,-6.93889390390723e-18,0,0,0.0679629968155342,0,0,0,3.46944695195361e-18,0,0,0,0.141053087200187,0,0,0,0,0,0,-0.254054509413429,0,0,0,0,0,0,-0.0270434464512229,0,0,0,-0.0228531958399106
X601988.CH.EQUITY,0.136901024494597,0,0,0.0492346448741068,0,0,0,0,0.200926036797993,0,0,0,0.143727537797793,0,0,0,0,0,0.0210231023890531,0,0.168435238320663,0,0,0,0.0277449040177777,0,0,0,0,0.0495341189916354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186343375628952,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.164146801586555,0,0,0,0,0,0,0,0.325235223038317,0.0252082207940113,0,0,0,0,0.193608849063952,0.291249497009093,0,0,0,0,0,0,0.247976214036406,0,0,0,0,0,0,0,0.027510343835198,0,0,0,0,0,0,0,0,0,0,0,0.0906777133284038,0,0,0.0104860014926368,0
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101579798711902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152900070159263,0,-0.194918298823068,0,0,0,0,0,0,-0.273971858087104,0.715201204340599,0,0,0,0,0,0.378062542165874,0,-0.452725134476675,0,0,0.0207531167124564,-0.25882805279634
X601166.CH.EQUITY,0,0,0,0,0,0,0.280026095717084,0,0,0,0,-2.77555756156289e-17,0,0,0.0288625816233633,0,0,0,0,0,0.0230565948237831,0,0,0,0,0,0,0,0,0.483358116058678,0,0,0,0,0,0,0,0.0751865227513488,0,0,0,0,0,0,0,0,0.123488586236845,0,-0.0298925538194372,0,0,0.0753641525856021,0.130896976194096
