,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.243982904951635,0,0.393844530548977,0,0,0,0,0.0942399883795551,0,0,0.124924903814562,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-0.0801617328467556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540498302618641,0,0.0200190945822911,0,-0.114899781747168,0,0
X601939.CH.EQUITY,0.35379894154345,0,0,0.286601865057636,0,0,-0.0959477302044539,0,0,0,0.00278846722080775,0,0.140035090085761,0,-0.0647229054922458,0,0,0,0,0,0,0,0,0,0,0.0316011748485167,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201201363293379,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0,0,0,0
X601288.CH.EQUITY,0.471884034913206,0,0,0,0.258425551856401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872344291080683,0,0,0,0,0,0,0,0,0,0,0.0273829829775424,0,0.0348713989324753,0,0,0,0,0,0,0,0.07089180039369,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.118144208604904,0,0.416153234009407,0,0,0,0,0,0.273875479240257,0,0,0,0,0,0.122840828881534,0,0,0,0,0,0,0,0,0,0,0,0.0252606186888957,0,0,0,0,0,0,0,0,0,0,0,0.0873170467296032,0,0,0,0,0,0,0,0,0,0,0,0.0757794115710503,-0.0556586580165908
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0848823487393506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557380883247083,0.244773077799757,0,0,0.13017787326662,0,0,0,0.134189099288577,0,0,0,0,0,0,0,0,0,0,0,0.14669399891853,0.0443616114200639,0,0,0,0
X5.HK.EQUITY,0,-0.186366754529783,0,-0.0883498032383362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18774726112234,-0.770209367233429,0,0,0.493172841957858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43725526548338,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0833302159674313,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.130035062254154,0,0,0,0,0,0.15144290824808,0,0.204307058444381,0,0.136260355006342,0,0,0,0.115968006873821,0,0,0.0712809612543647,0,0,0,0,0,0,0,0.0355023437708839,-0.0259827260313646,0,0,0,0,0,0,0,0,0,0,0.00187093389209956,0,-0.0511085227159562,0,0
X601658.CH.Equity,0,0,0,0.0982049622139352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323482414048024,0,0,0,0,0,0,0.36265586425403,0,0,0,0.131775981882269,0.0591321000384847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
