,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.129858400721145,0,0.0559308726433893,0,0,0,0,0,0,0,0.364285175896891,0,0,0,-0.0343360133562353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465584333239686,0,0,0,0,0,0,0.2496561831429,0,0,0,0,0,0.0726034801561746,0,-4.33680868994202e-19,0,0.0128423668015985,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.112384657048505,0,0,0,0.00140128761979491,-0.176399245516877,0,0.0931261730853916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230403605174746,0,0,0,0,0,0,-0.254203247682005,0,0.448081286209129,0.0493989003328802,0.130399206241509,0,0,0,0,0.187094491479391,0,0,0,0
X601939.CH.EQUITY,0.221135555665681,0,0,0.255973744038615,0,0.148197604864641,0,-0.048985790713307,-0.0289602028842374,0,0,0,0,0,0.0320274853140175,0,0,0,0,0,-0.00975767568165303,0.0635237421281769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487390267728443,-0.095622228241115,0,0,0.0178342893172067,0,-0.0385445813448262,0,0,0.0344980656080566,0,0,0,0
X601288.CH.EQUITY,0.511438356502764,0,0.254604938856361,0,0,0.17141398576983,0,0,8.67361737988404e-19,0,0,0,0,0,-0.124044155936829,0,0.0393101610353255,0,0,0,0,0,-0.069066790967659,0,0,0,0,0,0,0,0,0,-0.0581944035061634,0,0,0.0952536156766697,0,0,0.0360166413029519,0.0282531601510705,0,0,0,0,0,0,0,0,0,0.123237377085439,0,-0.0583892265334127,0.102545944355566
X5.HK.EQUITY,0,-0.0446461197079946,0.0403387988814109,0.241457565249037,0,0.045914481726123,0,-0.13907527624256,0,0,0,0,0.131983029538363,0,0,0,0,0,0,0.690365515701414,0,0,0,0,0.117896534009474,0,0,-0.0900756316999365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184982538826838,0,0,-0.100437803380205,0,0,-0.0255670896873535
X601988.CH.EQUITY,0.140620390539345,0,0.12569346167595,0.149427009362366,0,0,0,0,0.100402105257391,0,0.102030985820978,0,0,-0.241929528285168,0,0,0,0,0,0,0,0,0.0697372760373058,0.250615449446298,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.113194940143643,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0247992391690347,0,0,0.00734017861684684,0,0,0.107200160964253,0,0,0,0,0.0504306192811081,0,0.296963618248581,0.232141833369289,0,0,0,0.110645040849037,0,0,0,0,0,0,0,0,0,0,0.0586418394935599,0,0,0,0,0,0,0,0,0,0,0,0.0406547265077416,0,0,0,0,0.0859252300466476,0,0,0,-0.0446896732820427,0
X1299.HK.EQUITY,0,0,0,0,0,-0.00308330021308059,0.0103247516633745,0,0,0,0.209825611534295,0,0,0,-0.141524672715935,0,0,0,0.33558893814671,0.239010372425546,0,0,0.0201927257800908,0,0,0,0,0.153078179616836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607782226210928,0,0.121169360271808,0,0,0,0,0,0
X601628.CH.EQUITY,0.0202314736988842,0.392739022847624,0,0,0.00897831553120454,0,0,0,0,0,0,0,0,0,0,0,0,0.095664122566692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10356435803589,-0.200008895493632,0,0,0,0,0,0.237947131939313,0,0,0,0.140696071968586,0,0,0,0,0.0803871354930739,0.195535573948347
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0335349872215881,0,0,0,0.46257681920532,0,0,0,0,0,0,0,0,0.241861617503244,0,0,0,0,0,0,0,0,0,0,0,0,0.0312536678488156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190209053558848,0,0.0126175224772705,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0349412246961007,0,0,0.0463049098148753,0,0,0,0,0,0,0.274162944627347,0,0,0,0,0,0,0,0,0.170254261454466,-0.113569837655235,0.129217093913157,0.169157313341861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424471784822243,0,0.156742005981328,0,0,0,0,0,0,-0.0405264879169714,0,0
X600000.CH.EQUITY,0,0.0716793022399809,0,0,0,0.085214181973839,0.20238041040642,-0.0660272433810717,0,0,0,0.290186588320112,0,0,0.083225285141486,-0.06702716865586,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.216807031490478,0.00452344453798645,0,0,0,0.0233270232804034,0,0,0,0,0,0,0,0,0,0,0,0,0.007550020774608,0.051134550828367,0.182114417659233,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,-0.115560809607692,0,0,0,0,0,0,0,0,0,0.02700820999985,0,0,0.318535424061425,0,0.0647429182655073,0,0,0,0,0.00556451306553604,0.0283254490981448,0,0,0.38329964050876,0,0,0,0,0,0.171501319981104,0,0,0,0,0,0.0082320904367697,0,0,0,0.106229947875611,0,0,0.0676915631794741,0,0,0,0
X000001.CH.EQUITY,0,0,0.0860937386845708,0,0,0,0.0258256170198535,0,0,0,0.0581491288090015,0,0,0,0,0.189212002272751,0,-3.46944695195361e-18,0,0.215040331824129,0,0.0255872319481732,0,0,0,0,0.201456263187344,0,0,0,0,-0.0530983300539667,0.0677102007066775,0.0957534177139606,0,0,-0.302393693391962,0,0,0,0,0,0,0,0,0,0,0.122779546840083,0,0,0,0,0.177189857867776
X601601.CH.EQUITY,-0.0649603436573108,0,0,0,-0.0373561611884139,0,0,0,0.494304894191663,0,0.0999266181963315,0,0,0,0.241918380819416,0,0,0,0,0,0,0,0.0656939927617908,0,0,0,0,0.279624660286021,0,0,0,0,0,0.0375668072369175,0.0168106650498507,0.162305723823515,0,0,0,0.108566113423026,0,0,0,0,0,0,0,0,-0.0398883537341364,0,0,0,0
X16.HK.EQUITY,0,0,0,0.242107304439637,0,0,0,0.160832985876933,0,0,0,0,0,0,0,0,0,0,0.103255791928772,0,0,0,0,0,0.375056812404286,0,0,0.0789760491472378,0,0.0319474124742674,0.151432812742256,0,-0.091168550610974,0,0,0,0.172491791656105,0,0,0,0,0,0.0941214235151685,0,0,0,0,0,0.0161295238193163,0,0,0,0.080184164677494
X688.HK.EQUITY,0,0,0,0.206603220431769,0,-0.307209732139571,0,0,0.0663326330760541,0.187930126881257,0,0,0,0.100424569107649,0,0,0,0,0.157198439636198,0,0,0,0,0,0.285531725180076,0,0,0.389294284619217,0,0,0,0,0,0,0,0,-0.266239946398404,0,0,0,0.370640884600335,0.027053711755803,0,0,0,0.0518869274182888,-0.211149578500967,0,-0.120470545007803,0,0,0,0
