,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0798379091802975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158046443847352,0,0.558015243319903,0.579735162926956,0.0297942609601281,-0.237885238273658,0.162401636010558,0,0,0,-0.150768863641289,0,0,0,0,0,0,0,0,0,-0.0165791672411818,0,0,0,0,0,0,0,0,0,0.0662992556908082,0,0
X601318.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0.231381928039624,0,0,0,-0.0644247895664281,0,0,0,0.0268002077314156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188308570304188,0.0402065363025815,0,0,0,0,0.196848857168656,0.192972329695216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0245441724094481,0,0.827908538499767,0,0,0,0,0,0,0,0,-0.0433857480434974,0,0,0,0.06991238406826,1.73472347597681e-18,0.104289271988898,0,0,0,0,0,0,0,0.00665066774803564,0.0308505311430275,0,0.00997313600054081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381486683841937,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0774641125516647,0,0.931843865029086,0,-0.0453644210701441,0,0,0,0,0.0135616472995389,0,0,0,0,0,0.0605116480510544,0,0,0,0,0,0,0,0,0,0,0,0.0229525723109013,0,0,0,0,0,0,0,0,0,0,-0.0173193756051471,0.019145200719835,-0.0881925804704029,0,0,0,0,-0.000232945615769634,0,0,0,0,-0.118972464050643,-0.0533993244229061,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.13350943551667,0,0.056201312883764,0,0,0,0,0,0,0,0,0,0.00197672302456249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378411136749171,0.334346115065171,0,0,0,0,0,0,0,0,0.306564110107153,0,0,0,0,0,0,0.0336291615995678
X600036.CH.EQUITY,0,0,0.321011929654474,0.0165422804029708,0,0,0,0,0.021748742096786,-0.0183402934208062,0,0,0,0,0,0,0.136637901561201,0,0,0.0234644119198736,0,0,0,0,0,0,0.211159132728091,0.108414113191651,0,0.110998304961823,0,0,0,0,0,0,0.0544322981283079,0,0,0,0,0,0,0,0.00913819132062788,0,0,0,0,0,0.0976427512527058,0,0
X601988.CH.EQUITY,0,0,0,0.00455058077534234,-0.138468273709367,0.076688309265781,0,0.0494665922902927,0,0,0,-0.0201582053792144,0,0,0,0,0,0,0,0,-0.043903483134096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107912316874494,0,0,0,0,0,0,0,1.05002448186729,0,0,0.00190215623775972,0
X1299.HK.EQUITY,0,0,0,0,0.0964901635948157,0,0,0,0,0,0,0,0.106008875201152,0,0,0,0,0,0,0,0,0,0,-0.0366180268691916,0.12748833533552,0,0,0,0.00376818431826961,0,0.200934941899704,0.32910862859769,0,0,0,0,0,0,0,0,0,0,0.189597365447374,0,-0.0853720373894202,0.0916530252005492,0,0,0,0,0.0751328152385232,0,0.11446569958809
X5.HK.EQUITY,0,0,0,0,-0.00428430503541102,0,0,0,0,0,0,0,0,0,0,0,0,-0.150526219211742,0,0,0,0,0,0,0,-0.0737434441816832,0,0.237742555253121,0.484466624106095,0,0,0,0,0,0,0,0,0,0,0.0473061002475998,0,0,0,0.069216511502042,0.034665729806983,-0.0728142152797579,0,0,0,-0.0668813348630983,0.108513368688262,0,0
X388.HK.EQUITY,0,0,0,0,0.339638882054534,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0524131352087251,0,0,-0.0754484320653768,0,0,0,0,0,0.336729021466302,0.0321566270546203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175821967258864,-0.205033331839519,0.166249767283448,0.130689451816603,0,0,0,-0.0997773213075852,0,0.0779996336681317
