,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.332687974726443,0.0169728812031119,0.337603220942034,0,0.028160050970958,0,0,0,0,0.0410239973622826,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639415966911526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303501750560144,0.110840789372733,0,0.0301907845654458,-0.0933373861916937,0
X601939.CH.EQUITY,0.41753362721745,0,0,0.21721193483588,0,0,-0.145673047712509,0,0,0,0.00973302182984962,0,0.146247606407096,0,-0.0768787915505339,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.00728811494975574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254298274543849,0,0,0,-0.0637284213301069,0,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473,0,0,0
X601288.CH.EQUITY,0.500261718184047,0,0,0,0.198585964898994,0,0,0,0,0,0,0,0.0747771094894875,0,0,0,0,0,0,0.0129343448241673,0.11843706913916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050770756156178,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381094104543211,0,0,0,0,0,0.264989991772289,0,0,0,0,0,0.356560100806362,0.0873532314896154,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.368430908331881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278494604681567,0,0,0,0,0.0920710277727375,0,0,0,0,0,0,0.010191827754605,0,0,0,0,0,0.043362424825382,0.185151313125279,0,0,0.0916187640837307,0,0,0,0.0159817134354425,0,0,0,0.172707131539466,0,0,0,0,0,0.105441957379379,0.0157016292457397,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848620658663196,0,0,0.0588446877565413,0.122708322608147,0,0,0,0,0,0,0,0,0,0.0246766319427166,0,0,0,0.147117584748281,0,0,0,0,0,0,0,0,0.219903405375948,0,0,0,0,0,0,0.0922896709141358,0,0,0,0,0.11724634340492,0,0,0,0,0
X5.HK.EQUITY,0,-0.0538843648415677,0,-0.123543150834691,0,0,0,0,0,0,0,0,0,0,-0.00818443352783922,0,0,0,0,0,0,0,-0.591090538917846,1.04022866861013,0,0,-1.38777878078145e-17,0,0.499379015624052,0,0,0,0,0,0,0,0,0,0.420883463172096,0,0,0,0,-0.103916910965511,0,0,0,0,0,0,0,-0.0724744630866249,0
X601628.CH.EQUITY,0,0,0.00559693968825836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157356661809707,0,0,0,0.0183948084059111,0.193414241155137,0,0,0,0,0.123166334258806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538437387685621,0.0742278548757868,0.0403044183076226,0,0,0.0875434829674336,0,0.0126583830598032,0,0.0942074814366206,0,0.0149310475314837
X601658.CH.Equity,0,0,0,0.0418632271554501,0.197320195884337,0,0,0,0,0,0,0,0.262609805134324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876438488717271,0.173445153836265,0,0,0,0,0,0,0,0,0,0,0.0447264765809049,0,0,0,0,0,0,0,0.352156394060747,0,0,0,0,0,0
