,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0343397951474572,0,0,0,0,0,0,0,0,0,0,-0.00192416744028105,0,0.539322669089393,0.787896006952434,-0.106976415491323,0.0109545587202004,0,0,0,0.201068169776192,0,-0.230936043160006,0,0,-0.324042709755187,0,0,0,0,-0.0446873566647469,-0.0800220108020506,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.201006586833245,0,0,0,-0.0163698862727341,0,0,0,-3.46944695195361e-18,0,0,0,0.0882671697752339,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0288391181376397,0,0.0766310586220725,0.00236403325158436,0,0,0,0,0,0.241550310945755,0,0,0,0,0,0,0,0.0898049886527086,0,0,0,0.225770600051213,0,0,0.0866691768821988
X601939.CH.EQUITY,0,0,0,0.848225572566393,0,0,0,0,0,0.0139943930392356,0,0,-0.115432493492819,0,0,0.0249838179248612,0,0.0654605591617984,0,0,0,0,0,0,0,0,0.0477571201351415,0,0,0.0584706204363017,0,0,0,0,0.0158427175624962,0,0,0,0,0,0,0,0,0.0696678348417185,0,0.0168787677501785,0,0,0.00887547810229733,0.0417084136426213,0,0,0
X601288.CH.EQUITY,0.0243135047001145,0,0.897732029703161,0,-0.0653761581608758,0,0,0,0,0,0,0,0,0,0,0,0.0103321929510467,0.136209076478652,0,0,0,0,0,0,0,0,0.0507557072411074,0,0,0,0,0,0.00194517694927732,0,0,0,0,0,0,-0.0956515683986343,0,0,0,0,0,-0.031324482980672,0,0,0,0,-0.0526883104586553,-3.46944695195361e-18,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.118254079141234,0,0.246165201889182,0.153278088189409,0,0,0,0,0,0,0,0,0.0331277819490342,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901833721647978,0.217662477463233,0,0.234423142133499,0,0,0,0,0,0.164571422802949,0,0,0,0,0,0,0.171577664595491,0.0744682392599574,0.111139283719259
X600036.CH.EQUITY,0,0,0.394227724812543,0,0,0,0,0,0.0216195137323371,-0.0110854640580736,0,0,0,0,2.16840434497101e-19,0.116489695009791,0,0,0,0.0092906497734872,0,0,0,0,0,0,0.184100939964646,0,0.0278496538099124,0.141503587961941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186809364014659,0,0
X601988.CH.EQUITY,0,0,0,0.00348113294702087,-0.144361633267302,0.0829674520476418,0,0.0302971551151701,0,0,0,0,0,0.0232250969568938,0,0,0,0,0,0,-0.0806677293849725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104132869466821,0,0,0.00980012221993191,0,0,0,0,0,0,1.02524006118156,0,0.0275506619038256,0
X1299.HK.EQUITY,0,0.10661745531657,0,0,0.158074506065565,0,0,0,0,0.24662979807582,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216040166665371,0,0,0.351651953167283,0,0.225545153903585,0,0.124870502335367,0.12041515716875,0,0,0,0,0,0,0,0,0,0.115533795908601,0,0,-0.104039774196298,0,0,0,0,0,0.11049955286807,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986833129875118,0,-0.0853341386067778,0,0,0,0.0483093567178054,0,0,0.00895132826635196,0.323334203044642,0.392468974497853,0,0,0,0,0,0,0,-0.0839762618208527,0,0,0,0,0,0,0.0584374762536033,-0.138091442382483,0,0,0,0,0,0,0.204868784787021,0,-0.0750825351791665
X388.HK.EQUITY,0,0,0,0,0.304076097883155,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152042973579048,0,0,0,0,0,0,0.412553631495361,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.115103393318518,0.224492026863376,-0.155991762037779,0,0.0796666663671965,0,0,0,-0.137749529547865,3.46944695195361e-18,0.058495016944332
