,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0.144703029168199,0,0,0,0,0.0981879639208038,0,0,0,-0.0611446279733584,0,0,0,0,0,0,0,0,0.240818810955451,0,0.0130162478417689,0,0,0,0,0,0,0,0,0,0.0434554391989316,0,0,0.118613640692848,0,0,0,0,0,0,-0.0579869187872332,0,0,-0.116948765505376,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149201393800919,0,0.0784597617579727,0,0.281408629414127,0,0,-0.0293579205081663,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0808754003217,0,0,0,0,0,0,-0.260868073881236,0.32611798467477,0,0.181050424739425,0,0,0,0,0,0,-0.0442069091572472,0,-0.0245661734845217,0
X601939.CH.EQUITY,0.31932173876546,0,0,0,0.0817401885780773,0,0,0,0,0,0,0,0,0.153165242270141,0,0,0,0,0,0,0.0737194023498835,0,0,0,0,0.150945827681725,0,0,-0.00513370168702769,0,0,0,0,0.108213803504289,0,0,0,0,0.0414096252160584,0,0,0,0,0.112545291345582,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.211466389840332,0.0654727758133748,0.0928150973269179,0,0.0284050532792711,0,0,0,0.0274945521345251,0,0,0,0,0,0,0,0,0,0,0,0.0836396300535077,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279658594382292,0,0,0,0.188400643882073,0,0,0.271624829082548,0,-1.73472347597681e-18,0,0,1.73472347597681e-18,0.147440134201403,0,0,0,0
X5.HK.EQUITY,0,-0.154546645652781,0,0.383851095020694,0,0,0,-0.258651744164027,0,0,0.0218494986378212,0,0,0,0,0,0,0,0,0.113207711986618,0,0,0.514910574588225,0,0,0,0,-0.0525345839242884,0,0,0,-0.117595466427056,0,0,-0.103359580887199,0,0,0,0.021815237294591,0,0,0,0.174835269565194,0,0,0,0,-0.157425774305085,0,0,-0.119186668749862,0
X601988.CH.EQUITY,0,0,0.0920430267303227,0.208290759897353,0,0,0,0,0.0554688309190602,0.155022063654115,0.389000753898535,0,0,0,0,0,-0.0389143424640036,0,0,0,0,0,0,0.117192465549647,0,-0.0988716771800804,0.00267828740051568,0,0,0,0,0,-0.113018136361273,0.0318867263071594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286490407253618,0,0.15715079667192
X600036.CH.EQUITY,-0.0473431193912658,0.210675323687424,0,0,0,0,0,0,-0.0157792487811358,0,0,0.105451891053727,0,0.264855405079147,0,0,0,0,0.168517597396998,0,-3.46944695195361e-18,0,0.0476688215964576,0,0,0,-0.0492173005622862,0,0,-0.0193589635002526,0,0.144374698614192,0,0,0,0,0.0686238659499567,0,0,0.0734332549884295,0.214774245959678,0,0,0,0,0,0.0489732672137427,0,0,0.0985064070083892,0,0
X1299.HK.EQUITY,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0241792530312968,0,0,0,0.083393729373219,0.15680852871177,0,0.227191012200751,0.105071411548338,0.0583453437813024,0,0,0,0,0,0.175566737742332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634268207195219,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.00865120949333117,0,0.0343977956109253,0,0,0,0,0,0,0,0,0,0,0.124721478122462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551996762854279,0,0,0,0,0,0.298596950694371,0,0,0,0,0,0,0,0,0,0.156502504855564,0,0
X601166.CH.EQUITY,0,0,0,0.106857905483047,0,0.143374059577882,0,0,0.00397863652278316,0,0,0,0,0,0,0.200558433099756,0,0,0,0,0,0,0,0,0,0,0.1060066576374,0,0,0,0,0.370418166193809,0,0.143741926976203,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.161376221313047
