,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.524369163402857,0,0,0,0.128007741811913,0,0,0.0500756074838701,0.0512232904941276,0,0,0,0.179231692662405,0,0.0367204531298678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256837353442868,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0778945832020151,0.314066492728888,0,0,0,0,0,0,0.0244729117466733,0.252227757148112,0,0,0.0857558264740619,0,0.0655226707871144,0,0,0,0.0999561674579225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445427163437192,0,0.00403836923090381,0,0,0,0,0,0.00280672646124931,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.650778493136517,0,0.0548330827494178,0,0,0,0.260320359161174,0,0,0,0,0,0,0,0,0,0,0,0.0642095352142678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149072238513775,0,0,0,0,0,0,0,0,0,0.00808816207799498
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.0961387188327032,0.131536707480585,0,0.368615365119054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198952173601372,0,0,0,0,0.13403980593445,0,0,0,0,0.0175269626545546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434677637338436
X5.HK.EQUITY,0,0.0015759380600487,0,0,0,0.183112133168441,0,0.183166540777249,0,0,0,0,0,0,0,0,0,0,0,0.0431264987316274,0,0,0,0,0,0.0914966917114524,0,0,-0.0194371043131371,0,0,0,0,0,0,0,0,0.0479622614820843,0,0.221152309476654,0,0,0,0,0,0,0,0,0.142308591467378,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.269549898489108,0,0,0,0.0997571452500905,0,0,0,0,0,0,0.0351400799599311,0,0.0750661757772935,0,0,0,0,0,0,0.0911020536805879,0,0,0,0,0,0,-0.189406158127689,0.0511799665830925,0,0,0,0,0,0,0,0,0.113463101870586,0,0,0,0,0,0,0,0.143777921238697,0,0
X600036.CH.EQUITY,0,0,0.0363528013025285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754686165459017,0,-0.123573341998345,0,0,0,0,0.615843072847146,-0.034163918249931,0,0,0,0,0.199935012941238,0.000644871235958023,0,0,0,0,0,0,0,0,0,0.0856956489579716,0,0.180367599472185,0,0,0,0,0.122090285666347,0,0,0.0210277764587771
X1299.HK.EQUITY,0,0,0,0,0.168528407381811,0,0,0,0,0,0,0,0,0,0,0,0,0.0859818256380666,0,0,0,0,0,0,0,3.46944695195361e-18,0.256587732434325,0,-3.46944695195361e-18,0,0.115787864383627,0,0.156252247592083,0,0,0,0,0.204580315469278,0,0,0,0,0,-0.218612462779517,-0.0237046979922181,0,0,0,0,0,0,-0.0159362248337344
X601628.CH.EQUITY,0,0,0,8.19306602161882e-05,-0.0313282946814565,0,0.004931764798353,0,0,0,0,0.13785126802107,0,0,-0.0401017576957102,0,0.32608089656845,0,0,0,0,0,0,0,0,0,0,0,0,0.00705870212848504,0,0,0,0,0,0.0495600709196506,0.199527798086764,0,0,0,0.241006865222609,0,0,0.0876579335750546,0.0751819005676714,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.245314086301106,0,0.277287488489641,0,0,0,0.00317009609494957,0,0,0,0,0,0.420018170313189,0,0,0,0,0,0,0,0.138077103966359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137543897445424,0,0,0,0,0,0,0,0
