,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.146444268348134,0,0.0778645564307713,0,0,0,0,0,0,0.346158595225457,0.12963671759919,0,0,0,-0.137887170487932,0,0,0,0,0,0,0,0,0,0,0,0.00100171971499158,0,0,0,0,0.172258575429808,0,0,0,0,0,0,0,0,0.127794170190158,0,0,0,0.064115278834012,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0464250723471723,0,0,0.237854477878438,0,1.38777878078145e-17,0.152159530322644,0,0,0,0.0547401657083687,0,0,0,0,0,-0.122710828278225,0,0,0,0,0,0,0,0,0,0.181874781656105,0,0,0,0,0,0,-0.311227130187621,0,0.339869505164818,0.0396079839417066,0.198256483257087,0,0,0,0,0.0901379255049669,0,0,0,0
X601939.CH.EQUITY,0.484108921776298,0,0,0,0,0.178931443680814,0,0,0,0,0,0,0,0.0590605856792763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375066399226946,-0.120866068051474,0,0,0.0496584144553565,0,0,-0.0474851711354158,0,0,0,0,0,0
X601288.CH.EQUITY,0.577987465760926,0.0534257754076523,0.173308100938577,0,0.00358135667146393,0.0401266485452639,0,0,0.0451607195701754,0,0,0,0,0,0.0219118333855197,0,0,0,0,0,0,0,0,0,0,0,0.00833730391584893,0,0,0,0,0,0,0.12786027792011,0.0525991158155107,0,0,0,0.103659755595666,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.103064278388735,0,0,0
X5.HK.EQUITY,0,-0.0566239258318289,0.104097881270332,0.092087095287141,0,0.16558206991359,0,-0.0566531257406038,0,0,0,0.273938738385193,0,0,0,0,0,0.691023244811363,0,0,0,0,0,0,0,0,-0.194719074902491,0,0,0,0,0,0,0,0.0240628644328022,0,0,0,0,0,0,0,0,0,0,0.086559157521757,0,0,-0.059765036702899,0,0,0
X601988.CH.EQUITY,0.204876757822407,0,0.108238876978839,0.0940040253760098,0,0,0,0,0.0740213975795523,0.0782320268473604,0,0,-0.260241294166254,0,0,0,0,0,0,0,0.300973820029711,0,0.0738778059144014,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0473350304107872,0,0.141623451070027,0,0,0,0,0,0,0,0,0.0611253315124066
X600036.CH.EQUITY,0,0.153989420729369,0,0,0,0,0,0.0800981021650988,0,0,0,0,0,0.248794814944862,0,0.0482662648679635,0,0,0,0,0,0,0,0,0.0624223797792581,0,0,0,0,0,0,0.238893862361043,0,0,0,0,0.143226510961021,0,0,0,0.0465925337316637,0.104594107534121,0,0,0,0,0,0,0,0.00358764513291524,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0137011073451148,0.0357620108656741,0,0,0.21617271799628,0,0,0,-0.159159066580143,0,0,0.288189260687579,0.24077754928653,0,0,0,0,0.0503525266681707,0,0,0,0.150367651084648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766777073857124,0,0.157134433438109,0,0,0,0,0,0
X601628.CH.EQUITY,0.287387364475984,0.289245656146668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473230567722312,0,0,0,0,0,0,0,0.0540769260375246,0,0,0,0,0,-0.0803736520818121,0.118181230125951,0,0,0,0,0,0,0,0,0,0,0,0.0824754771031079,0,-0.193669451768721,0,0,0,0.218308137337178
X601166.CH.EQUITY,0.0537571011468086,0,0,0,0,0,0.493993261232313,0,0,0,0,0,0,0.0199235867614724,0,0.202237613956106,0,0,0,0.0520798123283284,0,0,0,0,0,0,0,0.0355422086892104,0,0,0,0,0,0,0,0,0,0.00902857243047566,0,0,0,0,0,0.179325848940785,0,0,0,0,0,0,0,0
