,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0139019706302141,0.0837045863577375,0,0,0,0,0,0,0.277094621613972,0.123287953466277,0,0,0,-0.16739864379424,0,0,0,0.0843591343801787,0,0,0,0,0,0,0,0.0487120762704118,0,0,0,0.036730116222482,0,0.0545368022750339,0,0,0,0,0,0,0,0.257392100602381,0,0,0,0.0425659258771792,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0279237301526408,-1.38777878078145e-17,0,0.244946144401253,0,0,0.275509583066559,0,0,0,0.0752866637784762,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.115238812290099,0,0,0,0,-0.251835466882998,0.107855040900875,0,0,0.179111431259873,0,0,0,0,0,0.088974736885086,0,0,0
X601939.CH.EQUITY,0.468771493251879,0,0,0,0,0.189657077250703,0,0,0,0,0,0,0,0.0493356756342472,0,0,0,0,0.00907435820767145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372481103553647,0,-0.12552531012311,0,0.0512393562304172,0,0,-0.0393968493057049,0,0,0,0,0,0
X601288.CH.EQUITY,0.558523746868547,0.0315247041862262,0.106412299136441,0,0.0657288210285253,0.0110208905799921,0,0,0.0485971718888152,0,0,0,0,0,-3.46944695195361e-18,-0.0356391889100968,0,0,0,0,0,0,0,0,0,0.0815391642699214,0,0,0,0,0,0,0.0509532060338709,0,0,0,0,0.158512611237909,0.179996093455589,0,0,0,0,0,0,0.0396615793038541,0,0,0,0,0,-0.0610107283001787
X5.HK.EQUITY,0,-0.0397258498326202,0.19968942411769,0.0808736684419659,0,0,0,-0.160032251336203,0,0,0,0.228837285849274,0,0,0,0,0,0.594547456299576,0,-0.0270021189965069,-0.149913372880101,0,0,0.118396027786399,0,-0.11892241526368,0,0,0,0,0,0,0,0,0,0.0440297950706067,0,0,0,0,0,0,0,0.0985940647014624,0,0.157980647578772,0,0,-0.0672423393292864,0,0,0
X601988.CH.EQUITY,0.0959376093687417,0.0587046167394176,0.205339372408689,0.213112561660467,0,0,0,-0.0205854291461954,0.112125709315523,0.0905675624038314,0.166032048997423,0,-0.341432753986586,0,0,0,0,0,0,0,0,0,0.0294439043381636,0,0,0.0887166260106353,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0596862037994759,0,0,0,0,0.0710590974256235,0,0.0433146296836806
X600036.CH.EQUITY,0,0.35977079165202,0,0,0,0,0,0,0,0,0,0.183991379948337,0,0.16157560758931,0,0.050785618648973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933593015712584,0,0,0.0138902648802177,0,0,0,0.0934151491327252,0,0,0,0,0,0.0389517992326893,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0682133754149627,0,0,0,0,0,0,0,0,0,0.223359398115792,0.296971621989318,0,0.215874486310849,0,0,0,0,0,0.0417416915214992,0,0,0.0358151918202296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.207890840087157,0.148675674933627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,4.33680868994202e-19,0,0.195293684492021,0,0,0,0,0.0377339860380458,0,0,0,0,0,0,0,0,0,0,0,0,0.0431708186029445,0,0,-0.016211734405772,0.323810443555935,0,0.050546935505957
X601166.CH.EQUITY,0.232958592038375,0,0,0,0,0.106727387901133,0.432564877292668,0,0,0,0,0,0,0.0113573402370732,0,0.391120962937568,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0483800662526288,-0.131881569648949,0.0363465752655399,0,0,0,0,0.0375239647828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
