,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.13236835083105,0,0.089006110869559,0,0.0552492664258821,0,-0.0523386017700567,0,0,0,0.3463144967477,0,0,0,-0.109533966532884,0,0,0,0,0,0,0.0175985398109358,0,0,0,0,0,0.219304746445631,0,0,0,3.46944695195361e-18,0,-0.028030844156103,0,0,0,0.225906760886571,0,0,0,0,0.0448544050243257,0,0,0.0673756378908916,0,0,0,0,0.058719363021141,0.107279304046416
X601318.CH.EQUITY,0,0,0,-0.0557838319545886,0,0,0,0,0.127449984370228,0,0.219039128080271,0,0.0385326566875126,-0.0903582919428672,0.0867080451890203,0,0,0,0,0,0,-0.0879102047336352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190719320262728,0,0,0,-0.222356640807157,0.394174772522579,0,0.156874904089142,0.154521904309608,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.187557224903522,-0.00739951329501961,0,0.314995353908657,0,0.0778665909930456,0,-0.0727594203656785,0,0,0,0,0,0,0.106983620684143,0,0,-0.0234726180706648,0,0,0,0.0680006812779815,0,0,0,-0.0682276905663565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468657439232338,0,0,0.0163962868701588,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.438765458318359,0,0.144144425885812,0,0,0.147760912532806,0,0,0.0289000773498847,-0.0045071376463653,0,0,0,0,-0.00474220120060951,-0.118412805293638,0.0490500600319473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389537105773991,0,0,0,0,0,0,0,0,0.178452526354227,0,0,0,0,0,0,0,0,0.188893758366937,0,0,0,0
X5.HK.EQUITY,0,-0.119855815402191,0.0376046368906049,0.280295808128662,0,0,0,-0.233606561680013,0,0,0,0,0.152758229596106,0,0,0,0,0,0,0,0.545921279891188,0,0,0,0,0.278040694150209,0,-0.0225867086381364,0,0,0,0,0,0.0227231503636366,0,0,0,0,0,0,0,0,0,0,0,0,0.19589066053298,0,-0.0730261505019791,0,0,0,0
X601988.CH.EQUITY,0.207253252700301,0,0.236144930052351,0.0302060789718494,0,0,0,0,0.0775687476564882,0,0.0776444808567366,0,0,-0.275118191255507,0,0,0,0,0,0,0,0,0.0544349904178502,0,0.211811503420065,0,0,0.14292072255406,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.132083902076015,0,0,0,0,0,0,0,0,0,0.0751365661844086
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.128524487686367,0,0,0.207711850863784,0,0.127450544676067,0,0.243290388369806,0,0,0,0,0,0.00523008002154347,0,0,0,0,0,0,0,0,0,-0.0613636262933804,0.11020792422819,0,0.0290686272607054,0,0,0.0271760980307305,0,0,0,0,0,0,0,0,0,0,0.204540628927324,0,0,0.0296460520096957,0,-0.137293369082862
X1299.HK.EQUITY,0,0,0,0,0,-0.0539470784345926,0.110532268450371,0,0,0,0.118699845472317,0,0,0,-0.14145198509407,6.93889390390723e-18,0,0,0.335452752103498,0,0.259697646565207,0,0.0852611529295051,0,0,0,0,0.102459370938054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163291886114975,0,0,0
X601628.CH.EQUITY,0.0247171487165135,0.315593552635138,0,0,0,0,0,0,0,0.0120362279240894,1.38777878078145e-17,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.149181293076095,0.0664241248880724,0,0.0255350220954489,0,0,0,0,0,0,0,-0.339699815922723,0,0,0.0993053276510503,0,0.212102779629924,-0.00776498507437025,0,0.172157015839151,0,0,0,0,0,0.0793009136954494
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0455021267422671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
