,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.076274535899503,0,0.40817049043113,0.10766255694432,0.0926494951098163,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.233444822595403,0,0,0,0.0369318591548149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613520875331853,0,0,0.0574546210398157,0,0.0540983703962832,0,0,0.072552365952436,-0.104130921052434,-3.46944695195361e-18,0.0220356900840604
X601318.CH.EQUITY,0,0,0,0.0649710638535578,0,0,0,0.00438863174622475,0.128718876185468,0,0,0.0797505602615276,0.109981010040849,0,0,0,6.93889390390723e-18,0,0.118536398104056,0,0.215836478258121,0.0651689692313292,0,0,0,0,0,0,0,0.0478792268481593,0.101173200892261,0,0,0,0,0,0.015700232617468,0,0,0,0,0,0,0,0,0.0850409874678577,0,0,0,0,0,0,0.112292438506254
X601939.CH.EQUITY,0,0,0,0,0.354336783820465,0,0,0,0,0,1.73472347597681e-18,0.225173437058674,0,0,0.0109182315773306,0,0,0.142075558751113,0,0.0689167037952109,0,-0.107014139117395,0,0,0.250952980941571,0.233500440219025,-0.0613423520301223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840953862328498,0,0,0,0,2.16840434497101e-19,0.0382647675939438
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0750951325665011,0,0.0792200643264549,0,0,0.0903886221835915,0,0.392574804742959,0,0,0,0,0,0,-0.0339651538469931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171745374110457,0,0,0,0,0,0,0,0,0,0,0,0,0.0780919438323993,0,0,0,0.124918455065299,0,0,0,0,0,-0.0610878907887176,-0.0650197451360973
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0959381609522739,0.074140858746778,0,0,0,0,0,0.169198487665153,0,0,0,0,0.139195779574038,-0.136326618267697,0,0,0,0,0,0,0.00510304409464424,-0.0235730237529369,0.202621339515511,0,0,0,0.569194327883183,0,0,0,0,-0.0301557527235438,0.153375404167704,0,0,0,0,0,0,0,0,0,0,0.122169533689634
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136052598628837,0,0,0,0,0,0,0,0,0.0307652932253709,0,0,0,0,0,0,0.106956258805328,0,-0.23913299451877,0,0,0,0,0,0,0,0.00928966390742371,0,0.0889099764943114,0,0.261791829543827,0.137958104644965,0.0666374412107903,0.0524511138345184,0.0822318915505585,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0927958409478728,0.106133820132284,0.166159657079764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230441513039102,0,0,0,0.211041065791159,0,0.0441046840817526,0,0.331414610033521,-0.0298409395228394,0,0,0.142496724288298,-0.0742731314942476,0,0,0,0,0,0,0,0.0902315711962238,0,0,0,0,0,0.0286937490335013,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0826149167380771,0,0,0,0,0,0.241492526992104,0,-0.078776639323605,0.0642145435512929,0,0,0,0,0,0,0,0,0,0.107633614998567,0,0,0.142371064649675,0,0,0.216622278160707,0,0,0.0608550633016506,0,0,0,0,0,0,0,0,0.234925837329084,-0.101574511540497,0,0.107797390546648,0,0,0.0606762114845468,0,4.33680868994202e-19,0.108560051861025,0,0,0,0.0433289468597871,0
X601166.CH.EQUITY,0,0,0.0336032590071904,0.101199139891583,0,0,0,0,0,0,0,0.0325846193497061,0.0871297690037829,0,0.0510115132118078,0,0,0,0,0,0,0,0.165957365217344,0,0,0,0,0,0.362185710027032,0,0,0,0,0,0,0.0254680730578072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.163830010130789,0,-0.174474202904819,0.172105402930244,-0.0209246501811317,0,0,0,0,0,0.485928086067407,0,0,0,0,0,-0.0802005737739537,0,0.230227930387393,0,0,0,0,0.145129549124332,0,0,0,0,0.117371488840748,-0.0193119512175001,0,0,0,0,0,0,0.0133648125919391,0,-3.46944695195361e-18,0,0.0114922552977885,0,0,-0.0427335470693638,-0.0343660198006997,0,0,0.16244932073515,0,0
X601658.CH.Equity,0.173680421104452,0,0,0.148754670328068,0.069549375928128,0,0,0,0,0.436141141611187,-0.0712424121215788,0,0,0,0.0874205561027902,0,0,0,0,-0.0175309312288405,0,0,0,0,0,0,0,0,0.103419738796735,0.0880208399784577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116066982171733,0,0.0812866011194709,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0.594669511156207,0,0,0,0.0596802580597806,0,0,0.103081516946695,0,0,0,0,0,0,0.0361905054642669,0,0,0,0,0.150867524332493,0,0,0,0,0,0,0,-0.244578186550129,0,-0.124102121428979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377170637987288,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-6.44057558574042e-05,0,0.0163141311140436,0,0,0,0,0,0,0,0,0.46015752191684,0,0,0.213659340578164,0.0728766667261593,0,0,0,0,0,0,0,0,0,0,0,0.0187674811325259,0,0,0,0,0,0,0,0,0.205494729422299,0.0754519463169798,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,-0.00633093914858866,0,0,0,0,0,0,0,0,0,0,0.0125140493636615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296559705211352,0,0,0.665367414582863,0,0,-0.0468522172974911,0,0,0.0947214929855002,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.089950038365133
X601328.CH.EQUITY,0.038424405545144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489010924365141,0,0,0,0,0,0,0.105028424396015,0,0,0,0.10006930217345,0,0,0,0,0.0229687909833813,0,0.102317640818986,0.0326410622871142,0,0,0,0,0,0,0,0.0883260327905795,0,0,0,0,0,0,0
