,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.418590407233156,0,0,0.0385286824271786,0,0,0,0,0,0,0,0,0.0191165898121857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01564007407599,0,0,0,0,0,0.240011290908606,0,0,0,0,0,0,0,0,0,0.218796042236516,0,0,-0.00934404141302195,0,0
X601318.CH.EQUITY,0,0,0,0,0.0211722138893225,0,0,0.0219066641545227,0.139763044308977,0,0.0515522529042408,0,0,0.0998341243843931,0,0,0,0,0.216400558074979,0,0.220019198376686,0.0276039323671444,0,-0.0163437470527395,0,0,0.0964429138107156,0,0,0,0,0,0,0,0,0,0.0350869753700125,-1.73472347597681e-18,0,0,0,0,0,0.0375817837972842,0,0,0,0,0,0,0,0,0.0844554500745762
X601939.CH.EQUITY,0,0,0,0.290637089504967,0,0,0,0,0,0,0.049922215164122,0,0,0,0,0,0,0,0,0.0114818281289961,0,-0.258482454983158,0.694696274820187,0.00418371532190004,0.0608496890605491,0,0.0631318254519019,-0.129689799476195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131454310739579,0,-0.040253952791785,0,0,0,0,0,0,-0.0842441704121953,-0.00400179430878312
X601288.CH.EQUITY,0.145785422836318,0,0.0396565623776902,0,0,0.0652027795409888,0.397325134320828,-0.0794330765143875,0,0,0,0,0,0,0,0.059902366407161,0,0.0226841493380461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17999544649615,0,0,0,0,0,0,0.0251676539699109,-0.106512896426908,0
X600036.CH.EQUITY,0,0.181594928965696,0,0,0,0.0681336275605437,0.0911303407099898,0,0,0,0,0,0,0.206417678086365,0,0,0,0,0,0,0,0,0,0.0286955484626747,0,0,0,0,0.319142084815389,0,0,0.0873388175999855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178215801394779
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0375045331725551,0,0,0,0,0,0,0,0.160693814412647,0,0,0,0.121714949020989,0,0,0,0,0,0,-0.0620832902174006,0,0,0,0.185547185872684,0,0.0527666088617805,0,0,0.537476689574136,0,-0.0496506746000995,0,0,0.102838470798706,0,0,0,0,0,0.00180223073371361,0,0,0,0.075498522745766
X601988.CH.EQUITY,0.194178789980953,0.2638146947073,0,0.0406797721248391,0.271788872253377,0,0,0,0,0,0,0,0,0,0,0.145569936786929,0,0,0,0.114594813686079,0,0,0,0,0,0,0.123537856346793,0,0,0,0,0.0404211279561888,-0.0590022794155181,0,0,0,0,0,0,0,0,-0.0973710537502945,0,0,0,0,0,0,0,0,0,0.0381354481654022,0
X1299.HK.EQUITY,0,0,0,-0.0452102776964129,0,0,-0.00229425722912826,0,0,0.128677038306436,0,8.67361737988404e-19,0,-0.183856068283159,0,0,0,0,0,0,0,0,0,0,0,0.22698313413926,0,0.0279759029311285,0,0,0,0,0,0,0,0,0,0,0,0.140053104555183,0.114845373349287,0.0573725884342302,-6.93889390390723e-18,0.0671289865413221,0,0.0247514645909927,0.180627584884565,0,0.136628361817922,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229176148816458,0,0.147571149627227,0,0,0,0,0.190387785261493,0,0.151978599638394,0,0,0,0.0699651971042585,-0.0560435054356482,0.453464023961263,0,0.0967812830533706,0,0,0,0,0,0,0,0,0,-0.113356000923374,0,0.203257708499661,0,0,0,0,0.11808142520815,0,0.276453110357325,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.104816184942863,0,0,0,0,0,0.00658852248256584,0,0,-0.0397358859800388,0,0,-0.133587363168764,0,0.475807325425936,0,0.225770828388789,0,0,0,0.197540281921937,0,0,0,0.155970426157169,0.188276370298027,0,0,0,0.136777514237396,0,0,0,0,0,0.0602677473396466,0,-0.342285143764993,0,0,0,0,0,0,0,0
X601658.CH.Equity,0.192424751644543,0,0.112365474913038,0,0,0,0.0221625800717915,0,0,0,0,0.0345271977262426,0,0.0101097443801227,0,0,0,0,0.372841470336537,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0166470066488461,0,0,-0.145547606116903,0,0,0,0,0.000496279560380078,0,0.0989754790935427,0,0,-0.0600468249246837,0
