,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.145834785138421,0,0,0,0,0,-0.107291577676651,0,0,0,0,0,0,0,0,0,0,-0.0825872140342518,0,0,0.42332302540573,-0.125009994587025,0,0,0,0,0.467097897807623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294684645107055,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-6.7762635780344e-21,0,0,0,0.00597216530340463,-0.0167780528926863,0,0,0,0,0,0,0,0,0,0.496430911421274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219187954749166,0,0.0342620803827436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149872080356273
X601939.CH.EQUITY,0,0.0746553753476902,0,0.781004033008191,0,0,0,0,0,0.0387063187427788,0.0582688966884641,0,-0.0434666461635062,0.00708333276698318,0,0.0716482113153862,0,0,0,0,0,0.00277964725931453,0,0,0,0,0,0.0421855137487352,0,0,0,0,0,0,0.0768256864803756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.938523179208648,0,0,0.0691669220212219,0,-0.0622133998375511,0,0.0457038411688598,0,0,-0.0129005277404878,0,0,0,0.0275222771142425,0,0,0,0,0,0,0,0,0,0,0.0160476381635214,0,0,0,0,0,0,0,0,0,0,-0.0338229701078605,0.0117049197679249,0,-0.102103120847189,0,0,0,0.0342216363598946,0,0,0,0,-0.125322154109793,0,-0.0431179664574711
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0893181900185256,0.275428302663904,0,0.271625687740994,0,0,0,0,0,0,0.334930670255716,0,0,0,0,0,0,0,0,-0.0773129837162755,0,0,0.0175293986065358,0,0,0,0.213339957230922,0,0,0,0,0,0,0,0,0,0,0.11185468437963,0,0,0,0,0,0,0.0359327463713721
X600036.CH.EQUITY,0,0,0,0.348743090231223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18093605638473,0,0,0,0,0,0,0,0.197940091985505,0,0.0330409337766741,0,0,0,0,0,0,0,0,0.0691804818132301,0,0,0,0,0,0,0,0.0760077386662863,0,0,0,0,0.00435022198568938,0,0,-0.00821813568636929
X601988.CH.EQUITY,0,0,0,0.035355729779622,2.16840434497101e-19,0.0281551531167255,0,0,-0.0171227140570613,0,0,0,0,0.0537460715870011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159978584405509,0,0,0,0.0437540760623479,-0.115012230381296,0,0.959882640852758,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0685793035241458,0,0,0,0,0.118654545751953,0,0,0,0,0,0,0,0,0,0,0,0,0.30317680944831,0,0,0,0,0,0.0270051419353752,0,0,0,0,0,0,0,0.125923855027592,0.0876089204847834,0,0,0,0,0.117535151205572,0,0,-0.0131353706530721,0,0.118290310985051,0,0,0,-0.0385531614321295,0.0289136373397282
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00763077966943351,0,0,0,0,0,0,-0.153639267751474,0,0,0,0,0,0,0,0,0.0370162914990491,0.501793927732308,0,-0.0716146499708808,0,0,0,0,0,0.124552642133022,0,0,0.104332110956973,0,0,0,0.131860700662727,0.270299736094805,0.219069850545019,0,0,0,0.365505947195318,0,0.060482858716977,0
X388.HK.EQUITY,0,0,0,0,0.234418448175604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123289053057941,0,0.25467207862217,0,0.116165583947913,0,0,0,-0.00871387281610437,0,0,0,0,0,0,0,0.112646423666333,0,0,0,0,0,0,0,0,0,0,0,0,-0.181654601768283,0,0,0.27778931545139
