,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.171129164895429,0,0.18775042878986,0,0,0,0,0.220156334553628,0.0141526200400364,0,0,0,0,0,0,0,-0.0229087143066367,0.300070920684996,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616217504122807,0,0,0,0,0,0
X601939.CH.EQUITY,0.48509082824405,0,0,0,0,0,-0.0489453711879029,0,0,0.0162587830552325,0.192070442163299,0,0.229644147907875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149734343512547,0,0,0
X601318.CH.EQUITY,0,0,0,0.0321213818926957,0,0,0,0,0,0,0,0.200559640592704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129679713648815,0,0.129161941660656,0,0.126923969560266,0.207894405275204,0,0,0,0,0,0
X601288.CH.EQUITY,0.385350533772416,0.108980611023028,0.0844887970982271,0,0.130250576077422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554325062775856,0.029013656708183,0,0,0,0,0,0,0,0,0.0912765603535468,0,0.0219431585139679,0.00619349008540992,0,0,0,0,0,0,0,0.0493819973834297,0.00192069159997152,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.307354959822987,0,0,0,0,0,0,0.295784886038713,0.239084936788213,0,0.0481824173281473,0.0668040241475335,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208243976368298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281407151074922,0,0
X600036.CH.EQUITY,0,0,0.0211413813980339,0,0,0,3.46944695195361e-18,0,0,0,0,0.409110836577631,0,0,0,0,0,0,0,0,0,0,0.0525329051901814,0.121981815693567,0,0,0,0,0,0,0,0,0,0,0,0.0842579929057074,0,0,0,0.0583539278655333,0,0,0,0,0,0,0,0,0,0.261039941330605,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0877600594556086,0,0,0,0,0,0,0,0,0,0,0,0.162497098862323,0,0,0,0,0.108839215231967,0,0,0,0,0,0.108000164957437,0,0,0.0772373275500631,0,0,0.221767790917182,0,0,0,0,0,0,0,0,0.00909374701867537,0,0,0,0.17600856883933,0,0,0,0,0
X5.HK.EQUITY,0,-0.360693349433694,0,-0.00529867672200182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28403661695968,0.133322207982699,-0.873089547244455,0,0.363660753406346,0,0,0,0,0,0,0,0,0.0288395157477055,0,0,0,0,0.421450191397755,0,0,0,0,0,0,0,0,0,0,-0.106701341528646,-0.0694103356970351
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0853149289526916,0,0,0,0,0,0,0,-3.46944695195361e-18,0.250385918608451,6.93889390390723e-18,0,0,0,0.348015287026387,0,0,0.0649049708316603,0,0,0,0,0,0,0,0.00769500825442026,0,0,0,0,0,0,0.0144692020444848,0,0,0,0,0,0,0.0723418985741991,0,0
X601658.CH.Equity,0,0,-0.151306991669436,0.304622750199391,0,0,0,0.102918166701223,0,0,0,0,0,0,-0.222776649933801,0,0,0,0,0,0,0,0,0.014160866006235,0,0,0,0,0.776949121940828,0,0,0,-0.128932605395585,0,0,0,0,0,0,0,-0.134989735767027,0,0,0,0,0.720407997821192,0,0,0,-0.125110028673086,0,0,-0.0386642043151354
X601328.CH.EQUITY,0,0,0,0.169934243578439,0,0,0,0,0,-0.0826826437689596,0,0,0.256598602259005,0,0.0199502382760824,0,0,0,0,0,0,0.270147048186184,0,0,0,0,0,0,0,0.0576426517380291,0.203162819867616,0,0,0.108737959545088,0,0,0.0179221009926479,0,0,0,0,0,0,0,0,0,0,0,0,0.00211671674549265,0,0.0437738713836934,-0.0315078781561023
X601166.CH.EQUITY,0,0.114980585095992,0,0,0,0.212274371409503,0,0,0.0208518180500982,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0923592921658841,0,0,0,0,0,0,0,0.0429900805981157,0.205638457302205,0,0,0,0,0,0,0.0118769160661591,0,0.0204862249893092,0,0.0420766453234564,0.0709843075957262,0,0,0.0416972990765669,0.0952906319460633,0,0,0.0650994059376381,0.0108267838028046,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.144647102536214,0,0,0,0,0,0,0,0,0,0,0.416160520977073,0,0,0,0.195986361832249,0,0,0,0,0,0,0.0379229245532223,0.0821978661893153,0,0,0,0,0,0,0,0,0,0,0.0548774653767855,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049748453422752,0,0.452169085350367,0,0.184414353336522,0,0,0.137035941713316,0.0956602120491154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.196564159787533,0,0,0.00425256073019802,0.446617637001559,0,0,0,0,0,0,0,0,0,0,0,0.0359577607516791,0,0,0,0,0.0319731331988148,0,0,0,0,0,0,0,0,0,0,0,0.00931035722968966,0,0,0,0,0,0,0,0.0290719364476248,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880965270292428,0,0,0,0,0,0,0.0202658388324264,0,0.238485915660945,0.245539840437459,0,0,0,0,0,0,0,0,0,0.0020153806119078,0.297352721794491,0,0,0,0.127742573113778,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168301931020158,0,0,0,0,0,0,0.20723109014602,0,0,0,0,0.146628111161094,0,0,-0.0120340618814916,0,0,0,0,0.20400051485272,-0.100602077102623,0,0.310459762286652,0,0,0,0,0,0,0,0,0,0,0,0.104674577018024,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0.204264510118406,0,0,0.0537837761362824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15812235967781,0.370490295112614,0,0,0,0,0,0,0,0,0,0,0,-0.0525446265433393,0,0,0,0,0,0.147805665644076,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.499227890545881,0,0.0933308296010872,0,0,0,0,0.0964030638067786,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0771634106617364,0,0,0,0,0,0,0,0.0221082531445378,0,0,0,0.13375394277485,0,0,0,0,0.0290595730525582,0,0,0,0,0,0,0,0,0,0,-0.179749655790539,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0895014135414434,0,0.247604658603054,0,0.00353672631671744,0,0,0,0,0,0,0,0.166681632858284,0,0,0,0,0,0.0599356436979387,0,0,0,0,0,0,0.228501067504692,0,0,0.0116928130305142,0,0,0,0.0411144312911528,0.0925066823939365,0.0360373296029748,0,0.0083191516941217,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.0703743510242498,0.141851537239502,0,0,0.0777653014895459,0,0,0,0,0,0,0,0,0,0,0,0,0.340314180457823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100147720158665,0,0.0605753311791735,0,0,0,0,0.12018863344068,0,0,0,0,0
X600016.CH.EQUITY,0,0.122769065860859,0,0.033563725958149,0.16176800293358,0,0,0,0,0,0.214827464458623,0,0.0677233005232411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349019937155813,0,0,0,0,0,0,0,0,0,0,0.139129425504217,0,0,0,0.229704262485448,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.268881139378105,0.254246871112179,0,0.0308335135145185,0,0,0,-0.204214129356998,0,0,0,0,0,0,0,0,0,0,0.631121745066204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0626850569461463,0
