,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.679698383167869,0,0,0,0,0,0,0.0457331545565645,0,0,0.10442270697188,0,0,0,0,0.00725194109766279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270375225022954,0,0,0,0,0.0710287863738923,0,0,0,0,0,0,0,0,0,-0.00406422590498279,0.0167179607736552
X601318.CH.EQUITY,0,0,0.0649219728628454,0.179104681656589,0,0,0,0,0.0714779138309605,0,0,0,0,0,0,0.0488396085348232,0,0.161460088812198,0,0.0139504399413091,0,0,0,0,0,0,0,0,0.0994322237256789,0,0,0,0.0288860463419941,0,0,0,0,0,0,0,0.164300750323451,0,0,0,0.0249059567368857,0.0588633921773584,0.0612819778815801,0,-1.73472347597681e-18,0,0,0
X601939.CH.EQUITY,0.18272545530083,0,0,0.383838866318764,0,0.139352296349375,0,0,0,0,0,0,0,0,0,0,0,0,0.0255257498702476,0,0.019387311351386,0,0,0,0,0,0.00864567835861576,0,0.147383715578781,0,0,0,0.0502871675941912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0812186507289783
X601288.CH.EQUITY,0.164819189473819,0,0.0903176924069929,0,0,0,0,0,0,0.155253203045516,0,0,0,0,0,0,0,0.128161905834909,0,0,0,0.0277237680252836,0,0,0.0118157726415534,0.291769028303741,0,0.0427528007084831,0,0.0569937449779092,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.202581436191172,0,0,0,0.0413344053736076,0,0.366506709570937,0,0,0,0,0,0,0,0,0.245898983907287,0,0.11568512555991,-0.134657544926894,0,0,0,0,0.362447732340306,0,0,0,0,0.0571420351522335,0,-0.0114266648514782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637752520758456,-0.223408661668837,0,0,0,-0.183617525086251,0
X601988.CH.EQUITY,0,0,0.0601273490956017,0,0.0721317789734193,0,0,0,0.0239891886212178,0,0,0,0.0270683424419716,0,0,0,0,0,0,0,0,0,0.624016011419869,0,0,0,0,0,0,0.0866810632269684,0,0,0,0,0,0,0,0,0,0,0.0460451243787626,0,0,0,0,0,0,0,0.0662834586291469,0.104015394752406,0,0
X600036.CH.EQUITY,0,0.0098157283475608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784532559157282,0,0,0.00547506730612234,0.0704150644207145,0,0,0,0,0,0,0,0,0,0,0,0,0.0148276019797293,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.043139848188694,0,0,0,0.26106206229976,0,0,0,0.172330996282351,0,0,0,0.0744305622025148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.130730351506467,0,0.0921748890107955,0,0,0,0,0,0,0,0,0,0,0,0.0396371405274852,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.360316827927459,0,0,0.0456160253969148,0,0,0.0801793063501725,0,0.105936613628038,0,0,0,0.0339937780701398,0,0,0
X601328.CH.EQUITY,0,0,0.00357041259842781,0,0,0,0.18000634928706,0,0,0,0.0299494443110579,0,0,0.145978648010007,0,0,0,0,0,0,0,0.268033278550662,0,0,0,0,0,0,0.0329375159100451,0,0,0,0.0349133471669578,-0.00706906675944151,0,0,-1.73472347597681e-18,0,0,0.0709605023642512,0.251661153456386,0.0430886646258584,0,0,0,0,0,0,0,0,-0.00397169030795597,0
X601166.CH.EQUITY,0.0477384985994419,0,0.187279844828857,0,0,0,0.158920767819201,0,0,0.0794576220844062,0,0,0,0.236726410400809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060006663773078,0,0,0,0,0,0,0,0,0,0,0,0.0938306682970484,0,0,0,0,0,-0.0401290805235097,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.080234201494253,-0.16560567514408,0,-0.0410512005661793,0,-0.058268474446683,0,0,0,0,0,0,0,0,-0.0850914353627314,0,0,-0.0466995724128551,0,0.124238530779203,0,0,0.145046462649698,0.202289354994662,0.267129186651598,0,0.330256376621882,0,-0.064818422614315,0,0,0.0428617132400517,0,0,0,0,0,0.0668950442269313,0.205959470214321,0,0,0,0.0859163113866147,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.170318189890365,0,4.33680868994202e-19,0,0,0,0,-0.022713518798394,0,0.15992169070012,0.113128847543658,0.265933997816429,0.134695933247918,0,0,0,0,0,0,0.139578394257031,0,-0.178822577472167,0,0.0206332756584244,0,0,0.213002600440728,0,0,0,0,0,0,0,0.0729090975565692,0,0,0,0,0,0,0,0,0,0
