,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.281978187601454,0.0354756725205379,0,0,0,0.311579110787981,0,0,0,0.0795031317726027,0,0,0.0355648138336251,0,0,0,0,0,0,0,0,0.157611561883401,0,0,0.00927349576747478,0,0,0,0,0,0,0,0,0,0,0.120711158568053,0,0,0,0,0,0,0,0,0,0,0,-0.0274711587655117,0,0,0
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.400477600287434,0.266290577051484,0,0,0,0,0,0.408961236360088,0,0,0,0,0,0,0,0,0.0278837779570991,0,0,-0.0772466291378898,0,0,0,0,0,0,0,0,-0.00536813264662103,0.0857713853887167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160385193816556,0,0
X600036.CH.EQUITY,0,0.0828367919021512,0,0,0,0.117278128531381,0,8.67361737988404e-19,0,0,0,-0.0854456674949203,0.120189241273905,0,0.162081824083372,0,0,0.238488633836447,0,0,0,0,0,0,0.298898736593245,0.10788439104541,0,0,0,0.00764040895958633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13439938084539,0,0.0182480903343148
X601288.CH.EQUITY,0,0,0,0,0,0,0.0162609271658408,0.495894240411114,0,-0.0834550868459983,0,0.0934529397844992,0,0,0,0,0,0.0210881812909577,0,0,0,0,0.0638426781566164,0.123004594871103,0,0,0,0,0,0.0881705182852428,0,0,0.0404726538265363,0,0,0,0,0,0,0,0,0,0,0,0,0.04816326223821,0,0,0,0.0117790112739691,0,0,0
X1299.HK.EQUITY,0,0,-0.0476057951478186,0,0,0,0,0,0,0.110949517999695,0,0,0,0,0,0,0,0,0,0,0,0.037030867417999,0.133438439382584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136977639924816,0,0.230530513027009,0.155713271736302,0.0795696212731598,0,0,0,0,0,0,0.239847667312352,0,0,0
X601628.CH.EQUITY,0.145360455735473,0,0,-0.00857001362904412,0,0,0,0,0,0,0,0,-0.0266138716370061,0,-0.19426306922043,0,0,0,0,0.140004625336439,0,0,0,0,0,0,-0.108803800341076,0,0,0,0,0,0,0,0.590768969347442,0,0,0,0.0011571838061249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798722635334032
X601988.CH.EQUITY,0,0,0.0581883566424636,0.0218173053189636,0.477950588078341,0,0,0,0,0.0168265302953601,0,0,0.0802990098370287,0,0,0,0.209774571584743,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0359515873556665,0.0137141955794572,0.0615282255238073,0,0,0,0,0,0,0,0.0013111308202513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.204216021669715,0.0399569285207741,0,0,0,0,0,0,-0.00714566118428485,0,0.0140125812816765,0,0,0,0,0,0,0,-0.240770786058722,0,0,0.166366563077065,0,0,0.151872088604439,0.0453384901392005,0,0,0,0,0,0.0548627806634703,0,0,0,0,0,0,0,0,0.0903516504731778,0.190463824455769,0,0,0.0316081763949906,0,0,0,0,0.0712232113333098,0,-0.139408909979107
X388.HK.EQUITY,0,0,0,-0.081467621470226,0,0.229212659335504,0,0,0,0,0,-0.0435951005443891,0,0,0,-0.0562432475840934,0,0,0,0.502294069230522,0,-0.123041909325838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144798266821981,0,0,0,0,0.0795864422240174,0.0409769753119878,-0.176835574431236,0,0,0,0.165871933625614,0,0
