,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.211094349911677,0,0.0177818169088697,0,0,0.386779648751739,0,0,0,0.0205369429108065,0,0,0,0,0,0,0,0,0,0,0,0,0.237408905645162,0,0,0,0.0262103495522163,0,0,0,0.101011484789166,0,0.0668983327180848,0,0,0,0,0,0,0,0.0299878971075613,0,0,0,0,0,-0.101453626976058,0,0,0,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0,0,0,0
X601939.CH.EQUITY,0.540902898235557,0.0948640493856911,0,0,0,0,0,0,0.133723662722007,0,0.130934984402981,0,0,0,0,0,0,0.0542865619767074,0.148653233274042,0,0,0,0,0,0,0,0,0,0,0.187742769279537,0,0,0.0375085055880457,0,0,0,0,0,0.0767175365449195,0,0,-0.086346343085883,0,0,0,0,0,0,0,0,0.0137913824761516,0,0
X600036.CH.EQUITY,-0.0232515001633194,0,0,0,0,0.212102052799856,0,0,0,-0.127436304481149,0,-0.0356451843762003,0.108747504847806,0,0,0.137319344633841,0,0,0.153034166305511,0,0,0,0,0,0,0.425579687000815,0,0,0,0.0434031712464474,0,0,0,0,0,0,0,0,-0.0679173012022192,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0461372507693366,0,0,0,0,0.55201157835369,0,-0.0805487816991715,0,0,0,0,0,0,0,0,0.035889333676321,0,0,0,0,0.0881466701572197,0.104553782012044,0,0,0,0,0.112951169360396,0,0,0.0796521390311444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020098001374987,0.00122341796986856,0.00581079537646458,0.0388141202841988,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0624500120855852,0,0.127789168460728,0,0,-0.0216788423377564,0,0,0,0,0,0,0,0,0,0,0.212299753395606,0,0,0,0,0,0,0,0,0.0774818762522832,0,0,0,0,0,0.0566601095122401,0,0,0.106970638640348,0,0,0.14171545730418,0,0,0,0.210345096102597,0,-0.170516284576498,0,0
X601628.CH.EQUITY,0,0,0,-0.0204713539439947,0,0.0213006683776841,0,0,0,0,0,0,-0.00783079714648583,0,0,-0.0302958947143392,0.123602648153268,0,0,0.00132809431747165,0,0,-0.140247894523225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464273833876387,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0346504142005416,0
X601988.CH.EQUITY,0.0313178035368639,0,0,0,0.47901438729985,0,0,0,0,0,0,0.0425364035612846,-0.0479756400399175,0,0,0,0,0.229632327266401,0,0,0,0,0,0,0.0105317378091442,0,0,0,0,0,0,0,-0.104271979227755,0,0,0,0,0,0,0,0,0.116613904583103,0,0.146206529533161,0,-0.0411606780816077,0,0,0,0,0,0,-0.0675804086372328
X5.HK.EQUITY,0,0.14555235764832,0.00271689443553423,0,0,0,0,0,0,-0.18273168916414,0.0651658192591213,0.0890181835388253,0,0,0,0,0,0,0,0,0,0,0,0.222887601948213,0,0,0.152547217625704,0.0378973619404446,0,0,0.000292968846245338,0,0.132817823720562,0,0,0,0,0,0.254804626643416,0,0,0,0,0,0.218335033882563,0,0,0.0171035105558646,0,0,0,0,-0.0468366523567538
X388.HK.EQUITY,0,0,0,-0.069604691504154,0,0,-0.110828650535379,0,-0.210755901636025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835405631003796,0,0,0,0,0,0,0,-0.179208660123368,0,0,0,0,0.216763496019183,0,0,0,0,0.199326085257602,0.219920394615353,0,0,0,-6.93889390390723e-18,0.114799778913715,0,0.118891263001948,0,0
