,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.166992837882985,0,0,0,0,0,-0.192223840847691,0,0,0,0,0,0,0,0,0,0,-0.022096346687202,0,0,0.3845564068765,-0.0313546859118395,0,0,0,0.43070688843303,0,0,0,0,-0.069380060054249,0,0,0,-0.0344549983154801,0,0,0,0,0,0.0233499613068752,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0146774917792577,0,0,0,0,0,0.160958331604827,0,0,0,0.34811241603799,0,0,0,0,0,0,0.0217087560458633,0,0,0,0,0,0,0,0.206065209385994,0,0,0.0809749614686537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161853656897787
X601939.CH.EQUITY,0,0,0,0.764709996794439,0,0,0,0,0,0,0.116850005134502,0,0,0,0,0.101692587992222,0,0,0,0,0,0.00591947503677248,0,0,0.0111598396833799,0,0,0.0681688630708467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.971394178447225,0,0,0.0255458634625565,0,-0.0546514891306098,0,0.0207484143430648,0,0,0,-0.0277015075728493,0,0,0.01261881330171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248228606267525,0,0,0,0,0,0.0221398400035431,-0.0198798210477317,0.0113152292436535,0,-0.0616577972054515,0,0,0,0.0757436056299862,0,0,0,0,-0.12836842366558,0,-0.0259334399963884
X601628.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.243171761110248,0,0,0,0,0,0,0,0,0.445580966454185,0,0,0,0,0,0,0,0,-0.0559497809479718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105129902058167,0,0.373783538572978,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.371042193085552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157717813517616,0,0,0,0,0,0,0,0.160521446347305,0,0,0,0,0,0,0,0,0,0,0,0.0563121874528788,0,0,0,0,0,0,0.0493757719219875,0,0,0,0,0.0296413672203756,0,0,-0.0116928260132315
X601988.CH.EQUITY,0,0,0,0.0588020062277763,0,0.0230343271095906,0,0,-0.0624402470727158,-0.00902553236528672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070613877941477,0,0,0,0,0,-0.0272377638806889,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.128453981184712,0,1.00102461283435,0,0,0,0
X1299.HK.EQUITY,0,0.0325669257602825,0,0,0,0,0,0,0,0.201624382653139,0,0,0,0.182960160354706,0,0,0,0,0,0,0,0,0.313371673424873,0,0,0,0,0,-0.0562921046973594,0,0.0459335961378117,0,0,0,0,0,0.0649424800620276,0.0717846324497384,0,0,0,0,0.163137008764067,6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634240488467497,0,0,0,0,0,0,0,0,0.0311287119611776,0,0.531681492536299,-0.109433539682228,0,0,0,0,0,0,0.0556662199500584,0,0.137818534762589,0,0,0,0.185807484007036,0.201727579509262,0.28470656108818,0,0,0,0.339616793481003,0,0.0829688727033451,-0.104011388300592
X388.HK.EQUITY,0,0.212775281737025,0,0,0.170875471648165,0,0,0.0421625621976637,-0.0550681284611884,0,0,0,0,0,0,0,0,-0.072799065994132,0,0,0.0373504936780668,0,0.178701887690508,0,0.135865380076648,0,0,0,0,0,0,0,0,0,0,0,0,0.232625876342007,0,0,0,0,0,0,-0.145734966571036,0.0918251729681602,0,0,0,-0.0718907659003384,0,0,0.230248787905146
