,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.092846934876458,0,0.0417987859344547,0,0,0,-0.119543646683695,0,0,0,0.531716476868679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158984619973292,0,0,0,0,0,0.00661003938961575,0,0.077916320244592,0,0,0,0,0,0.238263238058126,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328674243959548,0,0,0.330421651558178,0,0.10367427220436,0,-0.0624539176802631,0,0,0,0,0,0,0.110026518166145,0.0665564120880483,0,0,0,0,0,0.00491221875797641,0,0,0,0,0,0,0,0,0,-0.00901127699606638,0,0,0,0,-0.130900691946092,0,0,0.338101169645375,0,0,0,0.017774448758861,0,0,-0.0424975769638525,0,0,0,0,0,0
X601288.CH.EQUITY,0.368303437279185,0,0.118024836969602,0,0,0.227195393915219,0,0,0.110924808137956,0,0,0,0,0,0,0,0.0512271883499652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864530625590327,0,0,0,0,0,0,0,0,0.173446825107804,0.0566252347355901,0,0,0
X5.HK.EQUITY,0,0,0.0550876316560614,0.230767526699617,0,0.137067055126384,0,-0.402169164857821,0,0,0,0,0.0978791339847228,0,0,0,0,0,0,0,0.415377287575066,0,0,0,0,0.488810753311339,0,0,0,0,0,0,0,0.0975742535780684,0,0,0,0,0,0,0,0,0,0,-0.179345117177481,0,0.122555037881123,0,-0.0090845974765917,0,0,0,0
X601988.CH.EQUITY,0.281517762712552,0.0693713609159153,0.318565555584371,0,0,0,0,0,0.137932398322801,0,1.73472347597681e-18,0.00622033978720403,0,-0.175024704006139,0,0,0,0,0,0,0,0,0.152588831306008,0,0,0,0,0.0238633515206063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801904400546792,0,0.154361381473668,0,0,0,0,-0.0183680366785916,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0971361032544673,0,0,0.245844380148677,-0.00772025380949935,-0.0377771440176447,0.015705274981357,0,0.280604179890532,0,0.258280760369943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921794563024715,0,0,0.0897267162613847,0,0,0,0.134740655010981,0,0.0105205417370449,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368135922735794,0,0,0,0.209816530281006,0,0,0,-0.179218956206993,0,0,0,0,0.36660429041947,0.17755928016287,-0.05020972893578,0,0,0,0.104772451473761,0,0.0721026019395085,0,0,0,0,0,0,0,0,0,0.00101282991456343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.212253772159793,0.264787808767597,0,0,0.154745798737631,0,0,0,0,0.027899676002962,0.000510192893928562,0,0,0,0,0,0,0.0716063593036219,0,0,-0.177529280446457,0,0,0,0,0,0,0.263468979237205,0,0,-0.32958473704961,0,0,0,0,0,-0.0846844757288845,0,0,0.0346130546883689,0,0,0,0,0,0,0,0,0,0,0,0,0.0511860293825798
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127896617603253,0,0,0,0,0,0,0,0,0.303315346196536,0,0,0,0,0,0.0131243537320374,-0.0123458485099361,0,0,0,0,0,0,0,0,0,-0.217413262875803,0,0,0,0.0444436246736754,0,0,0,0,0,0,0
