,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.387064133208184,0.0432979248576225,0.0677006891462409,0,0,0,0,0,0,0.208736912045777,0,0,0,0,0,0,0,0,0,0,0.0475822285873356,0.0584482492696234,0,0,-0.0198382860801137,0,0,0,0,0.00476539207880755,0,0,0,0,0,0,0,-0.0082312124199009,0,0,0,0,0,0.0256359392884821,0,0,0,0,0.0331637784607291,0.0577894388480203,-0.0797057520709645,0
X601939.CH.EQUITY,0.456335600198344,0,0,0,0,0,0,0,-0.0176725811886035,0,0.210723481331503,0,0,0.034665758348581,-0.0151414650880791,0,0,0,0,0,0,0,0.146031993787755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716590340573304,0,-0.049432829350257,0,0
X601318.CH.EQUITY,0,0,0,0,0.252355845920673,0,0,0,0,0,0,0.115781984042893,0,0,0,0,0,0,0,0,0,0.160068961956668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519153850815075,0,0,0,0.0608567480018397,0,0,0.181117288937941,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.404251269919782,0,0,0,0.257065524934649,0,0,0,0,0,0,0,0,0.0657107108088128,0,0,0,0.0775464667092173,0.0627607886887206,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0220438798032413,0,0.0613686222469127,0,0,0,0.0290931589246029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.372763223013338,0,0,0,0,0,0.249551151133723,0,0,0,0,3.46944695195361e-18,0.118026908734828,0.127655461269221,0,0.0477254915871383,0,0,0,0,0,0,0,0.0925188587455369,0,0,0,0,0,0,0,0,-0.514182238212592,0,0,0,0,0,0,0,0,0,0,0.0629178154435984,0,0,0,0,0,0.291870322544879
X600036.CH.EQUITY,0,0.0187962142955451,0.0340329790729665,0,0,0,0,0,0,0,0,0.0987595605285529,0,0,0,0,0.00895362314239994,0.0576841803350735,0,0,0,0.270275458450182,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.230532369880406,0,0,0,0,0,0,0,0,0.147247990874147,0,0,0,0.0787305718315608,0,0,0.103946261948767,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382648918168564,0,0,0.232395216360548,0,0,0,0,0,0,0.457957942494807,0,0,0,0,0.11233724494811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.109655851936372,0,0,0.0428096999977603,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0815714858107077,0,-0.30733755862431,0,0,0,0,0,0.132938113995166,0,-0.387330485135591,0.657312738817967,-0.140855174302478,0.755059121076265,0,0,3.46944695195361e-18,0,0,0,-0.107869883579752,0,0.235613034703127,0,-0.072082603864278,0,0,0,0,0,0,-0.00116651945301584,0,0.160917793312386,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.105477322077213,0,0,0,0,0,0,0,0.00241127423340141,0.381940466647393,0,0,0,0.0343515150371051,0,0,0,0,0,0.0014306858257762,0,0.0514637975403684,0,0,0,0.0853121735693166,0,0,0.21449376014553,0,0,0,0,0,0,0,0,0,0.166834826611649,0,0.0374369321993633
X601658.CH.Equity,0,0,0,3.46944695195361e-18,0.128092573295128,0,0,0,0,0,0,0,0,0.160371334947405,0,0,0,0,0,0,0,0,0,0,0,0,0.187309527263491,0,0.0894778274544976,0,0,0,0,0,0,0,0.157988674391081,0,0,0,0,0,0,0,0,0,0,0,0.410695958651197,0,0,0.0920485779675965,0
X601328.CH.EQUITY,0.182447636291918,0,0,0.458375033036323,0,0,0,0,0,0,0,0,0.0193285754018485,0,0.0392093786346939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159727165444549,0,0,0,0,0.100629247786806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06554171731398,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.392392175761948,0,0,0,0,0.075807787439923,0,0,0,0,0,0.0653292754799791,0,0,0,0,0,0,0,0,0,0,0,0,0.212369029861416,0,0,0,0,0,0,0,0,0.0492149462525361,0,0,0,0,0,0.0307588123853033,0,0,0.0601212352199823,0.114102922670084,0,0,0,0
