,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.465198752292393,0,0,0,0.0665840910391036,0,0,0.00887879628981642,0.117643880354142,0,0,0.16504245027705,0,0,0,0.0731281355870284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588762599917823,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0293819499637627,0.0982992457867919,0.265117138380099,0,0,0,0,0,0,0.0531210438831544,0,0.325176806934293,0.0889710900613006,0,0.064834591341192,0,0,0,0,0.0250941855825635,0,0,0,-0.0396394875886043,0,0,0,0,0,0,0,0,0,0.0508054306524646,0,0.0019488727351645,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.135618721182731,0,0,0.495802466173236,0.0910229268836572,0.0745377526971444,0,0,0,0.066855451028416,0,0,0,0,0,0,0,-0.0336645428608754,0,0,0,0,0,0,0,0,0,0.19933395953289,0,-0.0106404872081878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454158923621895
X601288.CH.EQUITY,0,0,0.15950240121137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288748927910282,0,0,0.124297652921164,0,0,0,0.0767806575515782,0,0,0,0.05330424043448,0,0,0,0,0,0,0.0855824689970631,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565581271197262,0,0,0.206145226017333,0,0.206671731903122,0,0,0,0.211970411143367,-0.00845769735360623,0,0,0,0,0,0.19545184407243,0,-0.242522976353865,0,0,0,0,0.0447033672139383,0,0,-0.0597766407004275,0,0,0,0,0,0.196411794438655,0,0,0,0,0.0805460408611197,0,0,0,0,0,0,0.171779393105594,-0.00758343280112624,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.321988964650899,0,0,0,0.107042262489627,0,0,0,0,0,0,0,0.0547484125845745,0,0,0,0,0,0,0,0.103755358846869,0,0,0,0,-0.230306336519736,0,0.0456669895995777,0.0739111725485707,0,0,0,0,0,0,0,0,0.0702304248775819,0,0,0,0,0,0,0,0.0791626375516214,-0.0685273864636098,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141732474175714,0,0,0.123309717772097,0,-0.106510484237026,0,0,0,0,0,0.502285522922184,0,0,0.0796212293481565,0,0,0.0932238284540789,0.124173181463057,-0.065579263646607,0,0,0,0.0596992805102167,0,0,0,0,0,0.264169010601329,0,0,0,0.129793357419905,0,0,0,0,0.0655196655004434
X1299.HK.EQUITY,0,0,0,0,0.133665251880663,0,0,0,0,0,0,0,0,0.0460779054471453,0,0,0.191469341497414,0,0,0,0,0,0,0,0,0.0375600884981921,0.159775487719441,0,0.153397182505597,0,0.0480921589521739,0,0,0,0.111367296762825,0,0,0,0,0,0,0,0,0,-0.0944450531254244,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.1825197077766,0,0.164822230090054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682302548767676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00755740477680524,0,0,0.386991275726162,0,0,0.0348748782408352,0.018713046507887,0,0.133402140640312,0,0.0563618581460735,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.370135792546844,0,0,0,1.35525271560688e-20,0,0,0,0,0.419248760862622,0,0,0,0,0,0,0,0,0,0.0103576029368449,0.150800403312707,0,0,0,0,0,0,0,-0.0179973986365735,0,0,0.027292766076676,0,0,0,0,0,0.0912796106279652,0,-0.0160594341295453,0.213209337137749,0,0,0,0.0808945788878954,0,0,0,0,0
