,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.00416832093332967,0,0.231550805404439,0.0831481262300029,0.00281694327056519,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.151335432124143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948737630410788,0.0235460319625143,0,0,0,0.0160892152121453,0,0.142443176329444,-0.0341868156499948,0.0386621769733285,0
X601318.CH.EQUITY,0,0,0,0.160158710862822,0,0,0,0,0.127782707202466,0,0.0524808625847051,0,0.115886475540979,0,0,0,0,0.0668052951075042,0,0.262128777735777,0,0,0,0,0,0,0,0.0216795398621213,0.00122413583915005,0,0.135555217903577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318644062724319,0,0,0,0.0784335810908894
X601939.CH.EQUITY,0,0,0,0,0.126100600192844,0,0,0,0,0,0.0955897603448622,0,0,0.101426680945743,0,0,0,0,0,0,0.00131693985876904,-0.0303329521679488,0.535920107688461,0,0,0,0.167154356440154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.201327588985516,0,0,0,0,0.135926099216085,0.108131032708548,0,0,0,0,0.18334958093906,0.0943933064744904,0,0,0,0,0,0,0,0,0,0,0.26192774764017,0,0,0,1.73472347597681e-18,0.0714054383523905,0,0,0,0,0,0,0,0,0,0.0251562978977446,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.108477545168942,0,0.0919432007650504,0,0,0.106481135504721,0,0.349089550562398,0,0,0.061968498323499,0,0,-0.0260945892136576,0,0.0221704163992394,0,0,0,0,0,0,0,0,0,0,0,0.1047833475088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596036865407517,0,0,0,0.0929473245533637,0,0,0,0,-0.0591653536681926,-0.064070511390774
X601628.CH.EQUITY,0,0,0,0,0.0680678547368,0,-0.040464091411658,0,0,0,0,0.0839778004111,0,-0.0483175272760045,0,0,0,0,0,0,-0.0384624874982192,0.00674962597238694,0,0,0,0,0,0,0,0,0,0,0,0,0.696019413498018,-0.0194377267229947,0,0,0,0,0,0,0.0818518241939148,0,0,0,0.175254880808282,0,0,0,0,0,0.244878733719503
X1299.HK.EQUITY,0,0,-0.00617416217417968,0,0,0,0,-0.0536106396738233,0,0,0,0.208166646227802,0,0,0,0.0101705552631775,0,0,0,0,0,0,0,0,0,0.150655355943961,0,-0.0669937745385959,0,0,0,0.10262351778339,0,0,0,0,0,0,0,0.10931362611932,0,0,0.120649924728383,0.272872950206021,0.0482851948676166,0,0,0,0,0,0,0.021656874377849,0
X601988.CH.EQUITY,0,0,0.030010268013802,0.207886150871181,0.21647601540997,0,0,0,0,0,0,0,0.0210261358240777,0,0,0,0,0.240247542484305,0,0,0.0159567874015186,0,0.0187822198202432,0,0.122887837376501,0.163684384717938,0,0,-0.00834796150304513,0,0.163323892173263,0,0,0,0,0,0.044023074773191,0,0,-0.028393440554846,-8.67361737988404e-19,0,0,0,0,0,0,0.0368183818065779,0,0,0,0,0
X5.HK.EQUITY,0,0.0522987066554236,0,0,0,0.0461854316046152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123940827404683,0,0,0,0.105091740603261,0,0.121686151945158,0,0,0.00767285985644709,0,0,0,0,0,0,0,0.0447212548510423,0,0.273727268732488,0,-0.0583749605005671,0,0,0.158561798529247,0,0,0,0,0.0959238533159576,0,0,0,0
X601166.CH.EQUITY,0,0,0.0447669071024591,0.0234897610139437,0,0.00837297853396201,0,0,0,0,0.0274583701778293,0,0.125524165121707,0.0835916306506242,0,0,0,0,0,0,0,0,0,0,0.165127631959754,0,0,0.400648882832567,0,0,0,0,0,0,0.0344735793253082,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
