,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0801309792614551,0,0,0,0.0463333884412464,0,0,0,0,0,0,0,0,0,0,-0.358534386976326,0,0,0,0,0,0,0,0,-0.119017380689012,0,0,0,-0.35340004890215,0,0.0890523849894301,0,0.773897944444989,-0.0932927459749907,0.400633522267605,0,0,0,0,0,0,-0.0414731234780718,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.180538214554885,0,0,-4.33680868994202e-19,0,0,0,0.0633721951965288,0,0,0,0,0,0,0,0,0,0,0.148394403325038,0,0,0,0,0,0,0,0.0606906174218031,0,0,0,0,0.465538418687169,0,0,-0.0538086510616297,0,0.0707836228315595,0,0,0,-0.0219980545160444,0,0.0290344028535011,0,0,-0.061684515798937
X601939.CH.EQUITY,0.319732088702638,0,0,0,0,0.0327217781964741,0,0,0,0.0100946374489322,0,0,0,0,0,0,0,0.186161651012202,0,0,0,0,0,0,0,0,0,0,0.0813125103183747,0,0,0.119735337427159,0,0,-0.0199427722665143,-0.148343720539721,0,0,0.433806047424102,0,0,0,-0.00617264230590714,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0836439689167324
X601288.CH.EQUITY,0,0,0,0,0,0.0090260139676015,0,-0.19036297173755,0.0777394063435851,0,0.36904576090322,0.190724735121775,0,0,0,0.105931860193477,0,0,0,0,-0.0461195684663649,0,0,0,0,0,0,0,0,0,-0.587927515935328,0,0,0,0,0,0,0,0,0,0,0.0760803531282084,0,0,5.19528249622504e-05,0,0.274350039433026,0,0,0,-0.110270791377229,0
X5.HK.EQUITY,-0.225887496214317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297188385666225,0,0.0701413596261621,0,0,0.259135739659281,0.0113350382713907,0,0.434644316088844,-0.0365591900590704,0,0,0.0710594691843383,0,0,0,0,0,-0.168595360000537,0,0,-0.00445637418062324,0,0,0,0,-0.118158398133281,0,0.268450578645615,0,0,0,-0.11652914474587,0,-0.110462980843191,0,0,0
X601988.CH.EQUITY,0.196461241318195,0,0,0.54474915292703,0,0,0,0,0,0,0.137431528473477,0,0.00119680921811995,0,0,0,0,0.0307895448594563,0,0,0,0,0,0,0,0,0,0.122721674299035,0,0,0,0,0,0,0,0,0,0,0.2259503126314,0,0,0,0,0,0,0,0,0,0.0125411353165777,0,0,0.115440021676406
X600036.CH.EQUITY,0,0.569980591588424,0,0,0,0,0,0,-0.0574552309332622,0.514893310330314,0,0,0,0,0,0,0,0,0,0,0.0845612468686461,0,0,0,0,0,0,0.0337480905204555,0,0,0,0,0.254870599244554,0,0,-0.181719088723241,0,0,-0.176982369379716,0,0,0,0.0804138745212523,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.111372475441522,0,0,0.0624349278369628,0,0,0,0.142033385565552,0,-0.0376009893500335,0,0,0.0642132649920222,0,0.25456902697362,0,0,0,0,0,0,0,0,0,0,-0.00255370001182434,0,0,0,0,0.0252173984377023,0,0.254543557315369,0,0,0,0,0,-0.0919647648268403,0,0,0,0,0,0.0288507613462662,0,0.0469628717683051,0,0,0,0
X601628.CH.EQUITY,0,0.039561522209443,0,0.054772632196921,0,0,0,0,0,0,0,0,0,0.328951846123071,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0969339107673375,0,0,0,0,0,0,0,0,-0.052243251053873,0,0,0,0.0461359928966954,0.223087162584919,0.014652853445558,0,0,0,0,0,0,0.133885471403872,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0495801744292919,0,0,0,0.133082609980704,0,0,0,0,0,0.307406377214505,0,0,0,0,6.93889390390723e-18,0,0,0.23486527110048,0,0,0,0,0.178933308941318,0,0.0388014029354382,0,-0.22328973154438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937950335106006,0,0,0,0,0,0,0,-0.294146258816893
