,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.392272529421209,0.0432287158971642,0.0703611628021871,0,0,0,0,0,0,0.201476298946497,0,0,0,0,0,0,0,0,0,0,0.0492668257583851,0.0627311070410326,-0.0219148910332667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00795305722294099,0,0,0,0.0177303629571567,0,0,0,0,0,0.0436674356452497,0.0624201296759653,-0.0991647054047327,0
X601939.CH.EQUITY,0.311374522950462,0,0,0.203513313329162,0,0,0,0,-0.0517332415077921,0,0.132693015357043,0,0,0.071060595617617,-0.0880282503785909,0,0,0,0,0,0,0,0.191771738041645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255736010203846,0,0,0,0.123753176874381,-2.16840434497101e-19,0,0,0
X601318.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.289110181247179,0.0484112315083218,0,0,0,0,0,0.0412515632722478,0,0,0,0,0,0,0,0,0,0.17520713407149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964311897802177,0,0,0.0731367870784822,0,0.153922647322588,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.360940235515013,0,0,0,0.332857830756334,0,0,0,0,0,0.0230820397817324,0,0,0,0,0,0,0,0,0.0744284101714901,0.0308694571115505,0,0,0,0,0,0,0,0,0,0,0,0.0438756991578886,0,0.0880239458918152,0,0,0,0,0.0418666691930241,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.510619204057436,0,0,0,0,0,0.199610439785859,0,0,0,0,0,0.0950344997037309,0.126599443235851,0,0,0,0,0,0,0,0,0,0.044713974741649,0,0,0,0,0,0,0,0,-0.510367669616102,0,0,0,0,0,0,0,0,0,0,0.146853178287985,0,0,0,0,0,0.270167449918422
X600036.CH.EQUITY,0,0.0244773790653902,0,0,0,0,0,0,0,0,0,0.207970823290868,-0.02624776116135,0,0,0,0.109725161009499,0,0,0,0,0.139022404372522,0,0,0,0,0,0,0,0,0,0.262408818216418,0,0,0,0,0,0,0,0,0.126438192214477,0,0.118014004548874,0.116422708745518,0,0,0,0,0,0,-0.0201432552454809,0,0
X1299.HK.EQUITY,0,0,0,0,0.0349797310191179,0,0,0,0,0,0,0,0,0.157355434231612,0,0,0.0502692097123276,0.502673472752054,0,0,0,0,0,0.13550810744632,0,0,0,0,0,0,0.0884253543421679,-0.0257277774470821,0,0,0,0,0,0,0,0,0,0,0.0777329690850494,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0319674375662908,0,0,0,0,0,0,0,0,0,-0.139855916778729,0,-0.121962217022816,0,0,0,0,0,0,0.389221804190096,-0.15274801566278,0,0,0.734656967374733,0,0,0,0,0,0,0,0,0,0.367315900152775,0,0,0,0,0,0,-0.242174954353401,0,0,-8.67361737988404e-19,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.114203238359997,0,0,0,0,0,0,0,0,0.381069112809055,0,0.020887871530175,0,0,0,0,0,0,0,0,0,0.0424700818786134,0,0,0.0876116595275948,0,0,0,0.229082194265302,0,0,0,0,0,0,0.0203269614113053,0,0,0.182726876536612,0,0.0312511609048788
X601658.CH.Equity,0,0,0,0.146158082646644,0.145249471123397,0,0,0,0,0,0,0,0,0.109447218248933,0,0,0,0,0,0,0,0,0,0,0,0,0.0632588526414617,0,0.100499152798602,0,0,0,0,0,0,0,0,0.256570892794084,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.380148958767468,0,0,0.0477835728587902,0
