,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.373964226927213,0.0101472159068834,0.0292587592090785,0,0,0,0,0,0,0.214839826957204,0,0,0,0,0,0,0,0,0,0,0.111051653908052,0,0,0,0.0808934838162259,0,0,0,0.0196436774245217,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256515139814256,0.00228776817674224,0,0,0,0,0,0.0439231053201279,0,-0.138078911371325,0
X601939.CH.EQUITY,0.478077679024416,0,0,0.114088835152487,0,0,0,0,0,0,0.139744653320823,0,0,0,-0.0809121034173895,0,0,0,0,0,0,0,0,0,0,0.177105929854333,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751851404193012,0,-0.014253269791677,0,0.0211158732433891
X601318.CH.EQUITY,0,0,0,-6.93889390390723e-18,0.2059524258561,0,0,0,0,0,0,0,0.133867200040975,0,0.0161119581469333,0,0,0,0,0,0,0.154318583806683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480662921150057,0,0,0,0,0,0,0.190158076239106,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299398676872064,0.0884255694728369,0,0,0.17989528324872,0,0,0,0,0,0,0,0,0.192468527167243,0,0,0,0,0,0.0484334305785414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123782188730235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.489120104421409,0,0,0,0,0,0.212807535295822,0,0,0,0,0,0.216981165659949,0,0.0896050744474787,0,0,0,0,0,0,0,0,0,0.0678017557466014,0,0,0,0,0,0,0,0,0,-0.566191777563617,0,0,0,0,0,0,0.105717692358794,0,0,0,0,0,0,0,0.170890077027329
X600036.CH.EQUITY,0,0.0666251523635886,0,0,0,0,0,0,0,0,0,0,0.199015477195619,0,0,8.67361737988404e-19,0,0.00727858070193107,0,0,0,0.272896022464144,0,0,0,0,0,0,0,0,0,0.282327512246139,0,0,0,0,0,0,0,0,0.071038627003615,0.0466631339455536,0,0.00573707934716878,0,0,0,0.0990285585636988,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.00267883714813525,0,0,0,0,0,0,0,0.134402478079964,0,0,0.18361781089857,0,0,0.239538551153601,0,0,0,0,0,0.207859116996248,0,0,0,0,0,0.0749536377180884,0,0,0,0,0,0,0,0,0,0.140797501900216,0,0,0,0,0,0,0,0,0,0,0,0.0369681390101552,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38729114815879,0,0,-0.238440416025428,0,0,0,0,0,0.347564985712639,0,0,0.748399060666101,-0.0356044570550439,0,0,0.241006671500682,0,0,0,0,0,0.37594420699487,0,0,0,0,0,0,0,0,-0.235627561603433,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.110545587308256,0,0,0,0,0.0256644055522085,0.0086221976262521,0,0,0.0377246804099892,0.36090183591998,0.1176840244383,0,0,0,0,0,0,0,0,0,0.00390605313771092,0,0.120707049607608,0,0,0,0,0,0.100115543626364,0.00746934043484806,0,0,0,0,0,0,0,0,0.171025034940822,0,0.0604306279315659
X601658.CH.Equity,0,0,0,0.133661329765054,0.165036622323019,0,0,0,0,0,0,0,0,0.118212919153864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496256016023753,0.114840882989963,0,0,0,0,0,0,0,0.256236194785356,0,0,0,0,0,0,0,0,0,0,0,0.376713176397459,0,0,0.0392589829324826,0
