,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.409906767246889,0.032297557700487,0.0633978972507687,0,0,0,0,0,0,0.188096427907607,0,0,0,0,0,0,0,0,0,0,0.0593724711695296,-0.0266274781963944,0.0590449492275121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926637759721129,0,0,0.00280945267734078,0,0,0.0628953321552049,0.0507792596546465,-0.100679591261117,0
X601939.CH.EQUITY,0.396353483090011,0,0,0.186430245372527,0,0,0,0,-0.0372819092313687,-5.42101086242752e-20,0.143197237712072,0,0,0,-0.0803407993310686,0,0,0,0,0,0,0,0,0.17853813358128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0059883123003458,0,0,0,0.0969407642124115,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377074696872707,0,0,0,0.214141910967874,0,0,0,0,0,0,0,0,0.146992801546892,0,0,0,0,0,0.0914016337859653,0.0343120684278326,0,0,0,0,0,0,0,0,0,0,0,0.0843589441939138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.47800837363226,0,0,0,0,0,0.18508052054057,0,0,0,0,0,0.0403920041684599,0.198984647837848,0,0,0,0,0,0,0,0,0,0.0119455477294929,0.0871747490016039,0,0,0,0,0,0,0,-0.579609145300991,0,0,0,0,0,0,0,0.176394975280584,0,0,0,0,0,0.0901802088032643,0,0,0.227064377048281
X600036.CH.EQUITY,0,0,0.0453335613819803,0,-0.036959601150115,0,0,0,0,0,0,0.286364588234508,-0.0497750020875296,0,0,0,0.0710647847289258,0,0,0,0,0.175753046731658,0.0114384718735373,0,0,0,0,0,0,0,0,0.208542062158225,0,0,0,0,0,0,0,0.109872238699954,0.00663158652838448,0.0865567229203256,0,0,0,0.074963538152649,0,0.0614110968723124,0,0,-0.0391720618290122,0,0
X1299.HK.EQUITY,0,0,0,0,0.0353275809970129,0,0,0,0,0,0.0348057008811463,0,0,0.18723704458089,0,0,0.0341624153136575,0.502059225541664,0,0,0,0,0.11553235247192,0,0,0,0,0,0,0.0173691510710925,0,0,0,0,0,0,0,0,0,0.0849990160236509,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.00791775689371591,0,0,0,0,0,0,0,0,0,0,0,0,-0.153382166860608,0,-0.185038205803866,0,0,0,0,0,0.515424372910133,0,-0.259004410531759,0,0,0.760371465082246,0,0,0,0,0,0,0,0,0,0.399913758328149,0,6.93889390390723e-18,0,0,0,0,-0.263940869978742,0,0,0,0,0,0,-0.0155458088970745,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.112755741550514,0,0,0,0,0,0,0,0,0.378369422956078,0.020584753917505,0,0,0,0,0,0,0,0,0,0,0.0418459988389982,0,0,0.0863893300494031,0,0,0,0,0.228665921894923,0,0,0,0,0,0.0200488735045551,0,0,0.179848977993006,0,0.0295033041409671
X601658.CH.Equity,0,0,0,0.135814828223078,0.15433198514184,0,0,0,0,0,0,0,0,0.125616699059996,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.175540634265062,0,0,0,0,0,0,0,0,0.219611134557944,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.352431206007337,0,0,0.0285834449654432,0
