,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601658.CH.Equity,0,0,0,0,0.234461575096672,0,0,0,-0.101139933907855,0.219645213452221,0,0,0.18718325302751,0,0,0.190646734600166,0.371020099861289,0,0,0,0,0.10082152843697,0,0,0,0,-0.116864918395415,0,0.0436694183544351,0,-0.385126661422709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485402098702514,0,0,0.0052834526309847
X388.HK.EQUITY,0,0,-0.0347123780387344,-0.109930661641775,0,0,0.131646384174283,0,0,0,0,0,0,0,0,-0.127921068741762,0,0,0,0,-0.110932179009442,0.545182920201001,0,0,0,0,0.177950507227844,0,0,0,0,0,-0.030739226528364,0,0,0,0,0,0.0954464139789749,0,0,0.133801459288432,0.0296864170379508,0,0,0,0,0,0,0,0.123019362532871,0,0
X000001.CH.EQUITY,0,0.21713360423018,0,0,0.0208750775649358,0,0,0.116442622919528,0,0.416022063708953,0,0.0529551847050488,0,0,0,0,0,0,0,0,0,0,0.513799326783642,0,0,0,0,0,0,0,-0.0506771958057146,-0.0778668379012567,-0.0973163674909379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102848371886778,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0505481999026244,0,0,0,0,0,0,0.409583221877482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246220620340435,0.0160881736474822,0.194827726792368,0.095183173478785,0,0,0,0,0.2125333011785,0,0.0600669117056846,0.0471376296076502,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0.0860737843701292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00396184881008617,0,0,0,0,0.243318550252472,0,0,0,0.398916253900718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115178384834129
X601601.CH.EQUITY,0,0.0651317039544385,0,0,0,0,0,0,0.0106218374581749,0,0,-0.0329452774318516,0.243029930940213,0,0,0,0,0.228309111693236,0,0.0725665331779138,0,0,0,0,0.168463262795816,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480282842987976,0.130820563201549,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.0396364540462851,0.0142569669172322,0,0,0.117794498699453,0,0,0,0,0.0670473408138036,0,0.339710789288854,0,0,0,0,0,3.46944695195361e-18,0,0.127945240510997,0,0,0,0,0,0,0,0,0,0.0552464353062534,0,0,0,0,0,0,0.0620857807222959,0,0,0,0,0.0524952331563129,0,0,0,0,0
X600000.CH.EQUITY,0,0.116281415876624,0,0.0387608855533035,0,0,0,0,0,0,0,0,0,0,0,0,0.435728905552821,0,0,0,0,0,0,0.030506997394364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445184200494886,0,0,0,0,0,0,0.0838024688454711,0,0,0,0.00533046149332416,0.0315633813825343,0,0,0
X601066.CH.EQUITY,0,0,0.0494068812985897,0,0,0,0,0,0,0,0,-0.00191186141932127,0,0.736073629165117,0.0716012397640445,0,0,0,0,0,0,0,0,0,-0.0327407195007352,0,-0.0926743670944512,0,0.0609086716652948,0,0,0,0,0,0,0,0,0,0.136523175098191,0,0,0.0099304356534158,0,0.0188554635556918,0,0,0,-0.12860574223715,0,0,-0.00441631314806312,0,0.124261927797425
X601319.CH.EQUITY,0,0.0317320186109444,0,0.0123331447237945,0,0,0,0,0,0,0,0,0.109942973519006,0,0,0,4.33680868994202e-19,0,0,0,-0.0366451893097937,0,0,0,0,0,0,0.0162858182922672,0,0,0,0,0,0,0.36007562809962,0.131567355755571,0,0,0,0,0,0.0378009465358022,0,0.0258034883303019,0,0,0.392876515635242,0,0,0,0.0474165574820295,0,0
X16.HK.EQUITY,0,0,0,0,0,0.0695613633490926,0,0.0732396691495251,0,-0.0577794319300724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239984664361856,0,0,0.0588535174272628,0,0,0,0,0,0,0.240495967405259,0.129262215800163,0,0,-0.0258487055375292,-0.53332901003211,0.0668511416647652,0,0.12033915912252,0,-0.0799431649527247,0,0,0
