,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0475474624048156,6.93889390390723e-18,0.127205529361533,0,0,0,0,0,0,0,0.379715691335824,0,0,0,0,0,0,0,0,-0.0592920843447217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141039559333021,0,0,0.143638594049477,0,0,0,0,0,0,0,0,0,0.186689302965935,0.0708838092501422,0,0,0,0.103210244416093
X601318.CH.EQUITY,0,0,-0.110355481761412,0,0,0.0718550246848606,0,0,0.167326077334253,0,0,0,0.112222861569686,-0.0257019963088924,0,0.282695147738135,0,0,0,0,0,0,0.0389622728792622,-0.00591790658440467,0,0,0,0,0,0,-0.189532056397644,0,0,0,0.312177609307096,0,0,0.031874164490874,0,0.233372835062229,-0.187409610516719,0,0.183243964797065,0.133462480866334,0,0,0,0,-0.0810720463541166,0,0,0,0
X601939.CH.EQUITY,0.617452570896897,0,0,0.0278773134196382,0.0341582892640934,0,0,-0.0754608705286842,0,0,0.173230252969574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370792899046613,0,0,0,0,0,0,0,0.274282053138998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.317037224461619,0,0.0721489441562705,0,-6.93889390390723e-18,0.34357826731175,0,0,0,0,0.0337735893752006,0,0,0,0,0,0,0.0482608804117172,0,-0.0536928409152906,0.0662895512290206,0.0646134048494651,0,0,0,-0.017688638475306,0,-0.0968072307940513,0,0,0,0,0,0,-0.102561402950578,0,0,0,0,0,0.200180680680224,0,0,0,0,0,0,0.159463391706654,0,0,0,0,-0.0298588208109419
X5.HK.EQUITY,0,-0.0506732248449948,0,0.0419939476052456,0,0.212698681904516,0,-0.164669609176155,0,0,0,-2.77555756156289e-17,0.224022929973412,0,0,0,0,0,0,0,0,0.534487132429188,0,0,0,0,0,0,0,0,0.235961653241816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101541380313823,0,0,0,-0.0223770493457576,0
X601988.CH.EQUITY,0.152804951085253,0.0866226753837977,0.362322949481991,0,0,0,0,0,0.163767475702022,0,0,0.0526912362195875,0,-0.132149135550589,0,0,0,0,0,0,0,0.112838230582691,0,0,0,0.00206841592912467,0,0,0,0,0,0,0,0,0,0,0,0.098761923771395,0,0,0,0,0,0.0892660588416621,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0471525487848765,-0.0738190872924992,0,0.291220731803787,0,-0.0541684144836494,0.0373702585043763,0,0.303271296150748,0,0.20080733600862,0,0,0,0,0,0.0519437306675576,0,0,0,0,0,0,0,0,0.0257430917691362,0,0.0088788991334652,0.0261726978483116,0,0.109008350530998,0,0,0,0.0543191417003999,0,0,0.0302828798394152,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0147238243541342,0,0,0,0,0.0107019712520281,0,0,0,0.137325505649898,0,0,-0.167553342086658,0,0.0681291799525854,0,0.210268215446272,0,0,0,0.00822289562168342,0,0,0.245305374320912,0.100663067313163,0.0541878536843042,0,0,0,0,0,0.0780482815966137,0.077343192219296,0,0.00810249082993087,0,0,0,0,0,0,0.0177670570207725,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.145933219257902,0.175147936238119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104525586186979,0,0,0,0,0.258968724072932,0,0.0319346493124208,0,-0.120651910329458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762080731008212,0,0,0,0,0.0305731669873684
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.0573151324539713,-0.339845605568475,0,0.216646204230828,0,0,-0.490044371578963,0,0,0,0,0,0.290927664955314,0,0,0,0.337197481973997,0,0,0,0,0.0848318833993522,0,0,0.10487548328515,0.180492960425634,-0.309951298859078,0,0,-0.532870636101847,0,0,0,0,0,0.763298475704923,0.145430180893589,0,0,-0.122380273957934,0,0,0.340782705282319
