,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.265710337325345,0.0561383786056092,0.00220391169756631,-0.0128246890823475,0,0.46084332096282,0,0,0,0.0546536095200132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903222487310675,0.0329250164777122,0,0,0,0,0,0,0,0,0,0,0.0856222422643863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.241622645473853,0,0,0,0,0,0.103160240243487,0,0,0,0.0601606661768911,0,0.0310566055519409,0,0,0,0,0,0.177517350997351,0,0,0,0,0,0,0,0,0,0,0,0.0437338364387705,0,0,0,0,0.109902305199333,0,0,0,0,0,0,0.0269656957506168,0,0,0,0,0,0,0,0.102049892460009
X601939.CH.EQUITY,0.457109750997454,0.131746654279078,0,0,0,0,0,0.244124231745187,0,0,0,0,0,0,0,0,0.0118156132949791,0,0,0,0,-0.142137387741906,0,0,0,0,0,0,0.159906246491175,0,0,0,0.118111644028123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117623869573798,0.162786285573824,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.246674117627273,0,0,0,0,-0.0827353707084843,0.208468809093562,0,0,0.14577802411131,0,0,0,0,0,0,0,0,0,0,0.174534731968372,0,0.0557701619916532,0.0542967273613876,0,0,0,0,0,0,0,0.0194947465600083,0,0,0,0,0,0,0,0,0,0,0,0.370820735453628,-0.113939006164458,0,0.000185462162313094
X601288.CH.EQUITY,0,0,0.0210642682490157,0,0,0.0857659427550598,0,0.471340234609764,0,0,-0.0902799633616874,0.145092832832321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376094729533328,0,0,0,0.0329608841501622,0,0,0,0,0,0,0,0,0,0,0,0.0731927538980097,0,0,0,0.0520810550986123,0,0,0,-0.0233168804877178
X601628.CH.EQUITY,0.0889481965069354,0,0,0,0.0457914575188458,0,0,0,0,0,0,0.0493996021517568,-0.0773266024641422,0,0,-0.229047292563957,0,0,0,0,0,0,0,0,0,0,-0.0201453927073228,0,0,0,0,0,0,0.105086489107436,0.602978643299434,0,0,0,0,0.00273762133035408,0,0,0,0,0,0,0,0,0,0,0,-0.00188892060289554,0.189158673548179
X1299.HK.EQUITY,0,0,-0.207158965738449,0,0,0,0,0,0,0,0.106516740481604,0,0,0,0,0,0,0,0,0.0197698649095997,0,0,0.112592966271686,0,0,0,0,0,0,0,0,0,0.171612763509869,0,0,0,0,0,0.0932147773525031,0.157447492563981,0.0651999740546287,0,0.296068449593074,0,0,0,0,0.298624877325749,0,0,0,0,0
X601988.CH.EQUITY,0.0404777520391708,0,0.0903209623897144,0,0.358107611187407,0,0,0,0,0,0,0,0.209641715404536,0,0,0,0.150738524151368,0,0.0179263981635864,0,0,0,0.00952923061703284,0,0,0.0265856268240164,0,0,0,0,0.125445056700216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.106377113438373,0,0,0,0,0,0,0,0,0,0,0,-0.120787905102997,0,0,0,0,0,0,0.228996820315513,0,0.179595375621816,0.130605493217356,0,0,0,0,0,0,-0.0101867662133657,0,0.0782864537450493,0,0,0,0,0,0.21719389786161,0.0670986029884938,0,-0.0391245415703234,0.247154577983621,0,0.00729036801350173,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0570970456764092,-0.0105978172588251,0,0,0,0,0.0785732680202765,0.111083570481268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186766428140065,0.0800099305487339,0.414126410680338,0,0,0,0,0,0.010520716030905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0824920975808454
