,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X600000.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.130595833518046,0,0,0,0,0,0,0,0,0,0,-0.121320707800896,0.58698947591194,0,0.843910580008501,0,0.0550104405992761,-0.113665440660365,0,0,-0.129936207771194,0,0,0.00432143632413085,0,0,-0.086497701349314,0,0,0,-0.345139034470855,-0.0628309988953788,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0.139965389443454,0,0,0,0,0,0,0,0,0.073753340173824,0,0,0,0.279841154771256,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0.118570926761155,0,0,0,0,0,0.260364463624904,0,0,0,0,0,0,0,0,0.0419259207032556,0,0,0,0,-0.0208157123563359,0,0.118971072111499
X601939.CH.EQUITY,0,0,0,0.787641153312134,0.0698133785735957,0,0.0588606871986221,-1.73472347597681e-18,0,0,0,0,0,0.0298454287469034,0,0,0,0,0,0,0,0,0.00385089720293025,0.00692729829022986,0,0,0,0,0,0,0,0.0753521835599293,0,0,0,0,0.00354783054115005,0,0,0,0,0,0,0,0,0,0,0,0.0341050025304435,0,0,0,0
X601288.CH.EQUITY,0.0103206241230353,0,0.897343449246482,0,-0.0656088748111004,0,0,0,0,0,0,0,0,0,0.00413585674699243,0,0.0428543983640067,0.115177233504314,0,0,0,0,0,0,0,-0.0627199672475469,0,0.0506577677466689,0,0,0,0,0,0,0,-0.0966948525795183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460225777467676,-0.0100009926386618,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.780176756585076,0,0,0,0.0537983110028666,0,0,0,0,0,-0.0113102608413552,0.123502068818515,0,0,0,0,0,0,-0.0343815459465742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339038135021173,0,0,0,0,0,0,0.104343027123823,0,0.14670439013351
X601988.CH.EQUITY,0,0,0,0,-0.14668023341668,0,0,0,0,0,0,0,0,1.1437154857563,0,0,0,0,0,-0.109350858003776,-0.025283140241288,0,0,0.0793425428759363,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.209781512253451,0,0,0,0,-0.176920120570051,0,0,0,0.0276393446094076,0,0,0.0809369216867877,0,0,0,0,0,0,0,0.218732543707208
X600036.CH.EQUITY,0,0,0.300551414843342,0.0739312412851572,0,0,0,0,0.0690236009347091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021362698156081,0.0661070644585642,0,0,0,0.43858460086398,0,0,0,0,0,0,0,0,0,0,-0.0272677757000664,0.0590282572225404,0,0.0658707991935042,0,0,0,0.0344745047749546,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.361884685829271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202051155725933,0,0,0,0,0.0451349335647889,0.231067827157011,0,0,0,0.114985235232918,0,0,0,0,0.0163972713164742,0,0,0,0,0,0,0,0.48557112059076,0,0.0225844318687779,0,0.0837824870955535,-0.0470906370216646,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0312577277854966,0,0,0,0,0,0,0.393169805217445,0,0,0,0,0,0,0,0.441727520766225,0,0,0.11708360683678,0.0190621668617943,0,0.291626449410087,0.0177009483095061,0,0,0,0,0,0,-0.357113478332538,0,0,0.139334256812207,0,-0.0599953669017844,0,0,-0.110777935642445,0,0,0,0.168526252899233,0,-0.107482311373319
X388.HK.EQUITY,0,0,0,0,0.474333436509095,0,0,0,0,0,-0.219462110707807,0,0,0,0,0,0,0,-0.242692531456562,0,0,0.0920298138219183,0,0,0,0.258159976060044,0,0,0,0,0,0,0,0,0,0,0,0.239765882218067,0,-0.0729682364898613,0,-0.237726231473268,0,0,-0.0514581813170632,0,0,0,0,0,-0.0688165873727873,0,0.0236047770436921
