,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.432632803643622,0,0.104924106653885,0.0469082371311887,0,0,0,0,0,0,0,0,0,0,0,0.114528425023321,0,0,0,-0.0291794137656945,0,0,0.0304585212054894,0,0,0,0,0,0,0,0,0.107788050154021,0.0392735045306883,0,0,0,0,0,0.0674028141857571,0,0.0402733666458807,0,0,0.0401729241369721,0.0284550837367466,0.137864131849969,0,-0.113663749383447,0,0
X601318.CH.EQUITY,0,0,0,0,0.0481373016162188,0,0,0,0.130480491934466,0,0.112413219262366,0,0,0.0966672240839735,0,0,0,0,0.0862197585270219,0,0.279517881697506,0,0,0,0,0,0,0.0802511355645663,0,0,0,0,0,0,0,0.0535905682765686,0,0,0,0,0,0,0,0,0,0.0385709318926128,0,0,0,0,0,0,0.0881292631534729
X601939.CH.EQUITY,0.0455683120893604,0,0,0.420865279496826,0,0,0,0.0170187293888462,0,0,0.181255696301424,0,0,0,0.0344596331975637,0,0,0,0,0.0612429668339445,-0.0953871477726709,0,0,0.156163724777803,0.313607693113669,0,-0.0760079782349768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903871020607881,0,0,0,0,0,0,0,0,0,0,0.0296975104021846
X601288.CH.EQUITY,0.17150398050984,0,0.0428508939700856,0,0,0.0610790067927539,0,0.374740473840285,0,0,0,0,0,0,0,0.103256163808338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204150845067597,0,0,0,0,0.0665916849186712,-0.00399630697331986,0
X600036.CH.EQUITY,0,0.117037017101576,0,0,0,0.0802990723813648,0.0735876956693219,0.128335738671791,0,0,0,0,0,0.167029903078579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342879213568876,0.0754593444830002,0,0,0,0,0,0,0,0,0,0,0.126272370626569,0,0,0,0,0,0,0,0,0,0,0,0.0420532502504287
X601628.CH.EQUITY,0.0025397254924496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143184566446089,0,0,0,0.107564316239449,0,0,0,0,0,0,-0.0797970736067221,0.0287330305661226,0,0,0.212927370408665,0,0.0770297979305985,0,0.506142471078026,0,0,0,-0.0203925611539405,0.0721700921585283,0,0,0,0,0,0,0,0,0,0,0.0737816794445218
X1299.HK.EQUITY,0,0,-0.208271788567914,0,0,0,0,0,0,0.143703549567301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105532018866495,0.050448879515999,0,0.0261859904480819,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.225365399064281,0.300326731703491,0.0407732269447841,0.170865323204856,0.129030582147444,0,0,0,0,0,0,0.0973425759989283,0
X601988.CH.EQUITY,0.165357556679307,0.117987159354935,0.0241733112342459,0.0688528446549746,0.336003620225531,0,0,0,0,0,0,0,0,0,0,0.159895508643334,0,0,0,0,0,0,0,0,0,0,0,0.07827075439178,0,0,0,0.0339540278092833,-0.131187246125917,0,0,0.179950893755923,0,0,-0.050117310347016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.00582391832049003,0,0,0,0,0,0,0,0,0,0,0,0.0928206401530248,0.0324839530125477,0,0,0,0,0,0,0.00436975106654032,0.100043853725091,0,0,0,0.0205267720061132,0,0,0,0,0,0,0,0,0,0,0,0.454963716309246,0,0,0.231308763402552,0,0.160573410112534,0,0,0,0,0,0,0,0.0079079485767353,0
X388.HK.EQUITY,0,0,-0.208819305910377,0,0,0,0.0479620061369057,0,0,0,0,0,0.345644030460472,0,0,0,0,0,0,-0.139903456379266,0,0.143464228718544,0,0,0,0,0.340435614867114,0,0,0.0280868606460343,-0.0362232079083834,0,0.220776762523172,0,0,0,0,0,0,0.103732055050819,0,0,0,0,0.0223325648263753,0,-0.288210879957472,-0.0349369874060868,0,0,0.206709344355514,0,0
