,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0289917719082521,0.224102336005287,0,0.0679719323099526,0,0.021365025419534,0,0,0,0,0,0,0,0,0,0.170456570128862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781869432934975,0.0286187791935219,0,0,0,0,0,0.130442239167093,-0.0445220722884316,0.0180065053352137,0.00425413814259484
X601318.CH.EQUITY,0,0,0.108300287253532,0,0,0,0,0,0.124930924377882,0,0.0448367261350792,0,0.0892751155538128,0,0,0.0184539635200288,0,0.0763843480479067,0,0.20043998483526,0,0,0,0,0,0,0,0,0,0,0.0566875147201294,0,0,0,0,0,0,0.111005852232289,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0842703387038475
X601939.CH.EQUITY,0,0,0,0.154646647138937,0,0,0,0,0,0,0.111805781927108,0,0,0,0,0,0,0,0,0,0,-0.0140668631220722,0,0,0.620361346415799,0,0.15359192666123,0.0251382553800536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.149463949033152,0,0.0610323587862077,0,0,0.118861754326967,0.328989913469122,0,0,0,0.0802209199199548,0,0,0,0,0.0158194276265867,0,0,0,0,0,0,0,0,0,0,0,0,0.112270132128623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413077025365747,0,0.0780709627771896,0,0,0,0,0,0,-0.0609591790718362,-0.0609899984171759
X600036.CH.EQUITY,0,0.0664974655248111,0,0,0,0,0.00944132311775672,0.247271195138058,0,0,0,0,0.234034295986279,0,0.16492626653876,0,0,0,0,0,0,0,0,0.27030376908075,0.168464710204909,0,0,0.0222892209125112,0,0.0239381706462464,0,0,0,0,0,0,0,0,0.0340027417467836,0.0487232567030108,0,0,0,0,0,0,0,0,0,0,-0.0465444809067119,0,0
X601628.CH.EQUITY,0,0,0,0.0802556795993786,0,0,0,0,0,0,0,0.104078551908654,-0.0327892462373088,0,-0.0980809129831444,0,0,0,0.0384772570909965,0,-0.0457707633144871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671185493739602,0,0,0,0,0,0,0,0.0488792721096199,0,0.187897651257607,0,0,0,0,0,0,-0.0185173297573606,0.19551543343672
X601988.CH.EQUITY,0,0,0.0420064595779827,0.279870117968906,0.205433162278275,0,0,0,0,0,0,0,0.10059176039511,0,0,0,0,0.207332134626841,0,0,0.0158409565157682,0,0,0.0515231484698504,0,0.0720483558710785,0,0,0,-0.0285689253228888,0.173410626015489,0,0,0,0,0,0,0.0759290945697643,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.154864649745673,0,0.114027039734187,0,0,0,0,0,0,0.20760592933374,0,0,0,0,0,0,0,0,0.00913001337381372,0,0,0,0,0.130455851016112,0,0,0,0,0,0.117329491713123,0,0,0,0,0,0,0.117590208748392,0.0988659901120141,0,0,0.0730014418452729,0.163605153735771,0,0,0.049751418637029,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0609949639798778,0,0,0,0.0289414629725232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161795046665926,0,0,0.0981468771613415,0,0,0.127208236919578,0,0.0110176745149688,0,0,0,0,0,0,0,0,0,0.0607541982082076,0,0.226670275172749,-0.0824335755805252,0,0.0443385016240059,0.173279624933065,0,0,0,0,0.0550415153096656,0,0,0,0
X601166.CH.EQUITY,0,0,0.0585236950949641,0,-3.46944695195361e-18,0.0575177763310208,0,0,0,0,0.0487878681605661,0,0.131154391879725,0,0.0696109110910797,0,0,0,0,0,0,0,0,0.169733024064809,0,0,0,0,0.414112561481677,0,0,0,0,-3.46944695195361e-18,0.00127996777679486,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028524243719339
