,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0449254773202634,0,0.0530919950664744,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33306696822333,0,-0.149543248281126,0,0,0,0,0,0,0,0.879364836303065,0,0,-0.0181765462148512,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.220748934237877,0.0173825498273915,0,0,0,0,0.0610284713210685,0,0,0,0,0,0.0249496000693715,0,0,0,0,0.0250558284767558,0,0,0.0763881371131931,0.0204454900721752,0,0,0,0,0,0.271718161060351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.136314938434056,0,0,0,0,0,0,0,0,0.261626467831914,0,0,-0.00632859706729516,0,0,0,0,0.12834368796757,0,0,0,0,0,0,0,0,0,0,0.00365355971250063,0.11450438354942,0,0,0,-0.209387591841602,-0.182770170169472,0,0,0.136133280554559,0,0.476513340752129,0,0,0.105690710643724,-3.46944695195361e-18,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.625754822059933,0.312618098643392,0.0641208066658803,0.507377845084983,0,0,0,0.186481593726267,0.347025937034767,0,0,0,0,0,0,0,0,-0.351576150303154,0,0,0,0,0,0,-0.675237046822767,0,0,0,0,0,0,0,-0.344228034956872,0,0.211276875944583,0,0,0,0,0.350943327705536,0,0,0,-0.141782958022802,0
X5.HK.EQUITY,-0.0652524596131372,-0.067078423580093,0,0,0,0,0,0,0,0,0,0,0,0,0.517135773799826,0,0,0,0.406366110405013,0,0,0,0,0.0663273080501782,0.169812349592531,0,0,0,-0.0794857376671959,-0.11133649646735,-0.0927230420370432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234902171666898,0,0,-0.110176570162915,0,0,0,0
X601988.CH.EQUITY,-0.410212282349665,0,0,-0.0256045726196781,0.466117206618482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83551176754672,0,0,-0.0572053872617782,0,0,-0.0438735720624869,0,-0.631674137730817,0,0,0,0,0,0,0,-0.0576677523636358,0,0,0.140064145913361,0,0.181813820070634,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.102041567001864,0.474354975178426,-0.041010676738871,0,0,0,0,-0.106786337222543,-0.0256486055344524,0.470310213614201,0,0.161109401139105,0,0,0,0,0,0,0,0,-0.105817027359238,0,0,0,0.27954193508401,0,0,0.0782039864904065,0,0,0.0945585569088972,0,0,-0.29412491106658,0,0,0,0,0,0,0,0.230691643670742,0,0,0.117575259512758,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0121920838654676,0,0,0.0807707166758152,0,0,-0.0892258715821443,0,0,0.0515489221130683,0.106120651118502,0,0,0.165513606163606,0,0,0,0,0,0,0.146048423904664,0,0,8.67361737988404e-19,0,0,0,0.181691736442491,0,0,0,0,-0.0405897338465606,0,0,0,0,0.149349997272784,0,0,0,0,0,0.0144887674783622,0,0,0
X601628.CH.EQUITY,0,0.0171982984169088,0.035625578907148,0,0,0,0,0,0,0,0.113456050343665,0,0.365672524065851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236634266784878,0,0,0,0,0.187558228203725,0.155729183156715,-0.00107451635664703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0943083923948243
X601328.CH.EQUITY,0,0,0,0,0,0,0.351420074650796,0,0,0,0,0.151138148829125,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.00340489563278123,0,0.25572865595353,0.223729237778124,0,0,0,-0.00636056318626126,0,0,0,0,-0.200093587409006,0,0,0,-0.0808055204731604,0,0,0,0,0.128011943009482,0,-1.73472347597681e-18,0,0,0,0,-0.0512474488340791,-0.238512086032557
