,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.191145350857818,0,0.204927857038728,0,0,0,0,0,0,0,0,0,0,0.100718146326977,0,0,-0.15012366593087,0,0,0,0,0,-0.27946019763219,0,0,0,-0.0775163371055176,-0.160091754082987,0.880297183209344,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.183026154798524,0,0,0,0,0,0.163691881811322,0,0.100087970684876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469565898764138,0,0,0,0,0.251485975465417,0,0,0,0,0.149902986766533,0,0,0,0,0,0,0,0,0,0,-0.11735439614042
X601939.CH.EQUITY,0.131596327165868,0,0,0,0.175379232016999,0,0,0,0,0.184981153017893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454834099371455,0,0,0,-0.233272477048906,0,0,0,0,0,0,0.379693820730261,0,0,0.109487097786911,0,0,0,0,0,0,0,0.0881787844478688
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.485306330043204,0.161690047197627,0.0419246028302776,0.474548212391012,0,0,0,0.0333432210393613,0.389918069012104,0,0,0,0,0,0,0,0,-0.297927908639817,0,0,0,0,0,0,0,-0.650586249052504,0,0,0,0,0,0,0,-0.132575230885421,0.344521650188779,0,0,0,0,0.240623866902278,0,0,0,-0.156400446420167,0
X5.HK.EQUITY,-0.0641065166644757,-0.0737133101163225,0,0,0,0,0,0,0,0,0,0,0,0,0.528365468128706,0,0,0.00873258770685557,0.406507615563304,0,0,0,0,0.0645765235776372,0.175592551099185,0,0,0,-0.0796420420926315,-0.112576162822942,-0.0888952867712455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238006896121236,0,0,-0.105821110274728,0,0,0,0
X601988.CH.EQUITY,-0.371791923083219,0,0,-0.0244092738556766,0.484799354942573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768451583373184,0,0,-0.0718827445567168,0,0,0,0,-0.555332752370639,0,0,0,0,0,0,0,0,0.117554947833103,-0.0489850336419053,0,0,0.138368045744169,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.104567216425179,0.462279522254355,-0.0432897389498537,0,0,3.46944695195361e-18,0,-0.0997352028437141,0,0.490291167480399,0,0.140107370571404,0,0,0,0,0,0,0,-0.0876722502207047,0,0,0,0,0.284314167902445,0,0,0.0822510139752803,0,0,0.0836499168070514,0,0,-0.310541090025171,0,0,0,0,0,0,0,0.227513970067274,0,0,0.124789884715271,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.109166311630124,0.0143831730372276,0,0,0.134753716486316,0,0,-0.0735782625735091,0,0,0.0271027878989121,0.138956322506916,0,0,0.0606985331477351,0,0,0,0,0,0,0.165528393666381,0,0,-6.93889390390723e-18,0,0,0.145087837525174,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0470270886011617,0.0257080820943458,0,0,0,0,0,0,0.0887983389886272,0,0.436969819169969,0,0,0,0,0,0,0.0132718354112993,0,0,0,0,0,0,0,0,0,0,-0.0612982711812622,0,0,0,0,0.216596546571736,0.113763872297508,0,0,-0.0295929719521869,0.0702992971635644,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.161106687734891
X601328.CH.EQUITY,0,0,0,0,0,0,0.392456067316492,0,0,0,0,0.1000306659476,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0217104824984728,0,0.234861267146733,0.218464685123162,0,0.0797250146244144,0,0,0,0,0,0,-0.234331713056273,0,0,-0.0584306026381723,0,0,0,0,0,0.114108233644843,0,8.67361737988404e-19,0,0,0,0,-0.0420274232929107,-0.254001089127462
X601166.CH.EQUITY,0.0198078895679926,0,0.0376074123652596,0.285963057681277,0,0,1.73472347597681e-18,0,0,0,0,0.210169560857422,0,-6.87028434551936e-05,0.0231722742254932,0,0,0,0.0237951321483325,0.0857859984775747,0,0,0,0,0.0396672630271148,0,0,0,0.172264097344008,0,0.0948523091064849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276590623837221,0
