,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.279561801820347,0.115043331785451,0,0.24557272026027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199721430704262,0,0,0,0,0,0,0.0147227374031711,0,0,0.0185887040707153,0.0962332719881193,0,0,0,0.0891606749621762,0,0,0,0,0,0,0,0,-0.000883590935727277,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.113363633701322,0,0,0,0,0.184321283957295,0,0,0,0.0342286198048801,0,0.0532004515028771,0.208606707738657,0,0.138027385021242,0,0,0,0.134013049186365,0,0.0203128279964363,0,0,0,0,0,0,0,0.0873679735764195,0,0,0,0,0.0496788051400433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0,0,0
X601939.CH.EQUITY,0.544805930236973,0.0152421651741951,0,0,0,0,0,0,0.132609850786424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130369452903297,0,0,0,0,0,0,0.012169880229447,0,0,0.085602752334627,0,0,0.137647122927686,0,0,0,0,0,0,0,0,0,0.138043412643766,0.193551438414544,0.0449634236708428,0,0
X601288.CH.EQUITY,0,0,0,0.197462871034927,0,0,0.4538175427605,0,0,0,0.0906052611856979,0,0,0,0,0,0.0691266198928494,0,0,0.0318794552657805,0,0,0.0444849630594906,0,0,0.0432176959079427,0,0,0,0,0,0,0.111631127562816,0,0,-0.0173929837522722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234798973149604,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0971810097535397,0.246449116068169,0,0,0,0.149167134343949,0,0,0,0,0,0,0.180583512741492,-0.231362277068557,0,0,0,0,0,0,-0.00981239450189257,0.130788313526768,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.145215085802072,0,0,0,0,0,0,0.248290994281691,0,0,0.0152191347191496,0,-0.0224483146965128,0
X601988.CH.EQUITY,0.191574098114308,0,0,0,0.349523741683192,0,0,0.0780957610002019,0,0,0,0.0603721192250435,0,0,0,0,0,0,0.120357297814121,0,0,0,0.0943829667915918,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.203884208264342,0,0,0,0,0,0,0.0535132746734942,0,0,0,0,0,0.0725033271309174,0,0,0,0,0,0,-0.0711090137140356
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184191129859842,0,0,0.277421232639652,0,0,0.0514897606145672,0,0,0.0340824384139679,0,0.00870035765996167,0,0,-0.0831574064367228,0,0.0381656667416716,0,0.102930333515535,0.213498384218075,0,0,0.0156326442052003,0,0,0,0,0,0,0,0.00106609982308908,0,0,0,0,0,0.0547336214216369,-0.0268668957222005
X5.HK.EQUITY,0,0.141291276180732,0,0.102492715096851,0,0,0,0,0,-0.139498962610253,0.0676638063748674,0.0763794247776991,0,0,0,0,0,0,0,0,0,0,0,0,0.204034682685175,0,0,0.166609169310449,0,0,0,0,0,0,0,0,0,0,0.266714204175866,0,0,0,0,0,0.0362986635628808,0,0,0,0,0,0,-0.0413826491720428,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197169673552099,0,0,0,0,0,-0.0857374342128298,0,-0.18859025147715,-0.149345646551278,0.0790636404374855,-0.105601078026779,0,0.0613986975661374,0,0,0,0,0.0523689712540354,0,0.265581637040399,0,0,0.359944871136086,0,0,-0.0640999141938456,-0.420235616773546,0
