,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.39724933487131,0,0.127753804716743,0.0487283723793724,0,0,-0.0356230977438791,0,0,0,0,0,0,0,0.0791621266696377,0,0,-0.024405718661654,0,-0.0127928516876845,0,0,0.0487064427637605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982272632081179,0.227418909763929,-0.0014912145911725,0,0,0,0,-8.67361737988404e-19,0.0459716546863467,-0.0609180368346192
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0126204522864126,0,0,0,0,0,0,0.123338193091382,0,0,0.383470053267977,0,0,0,0,0,0,0,0,0,0,0.0117297554094434,0,0,0,0,0.227623716204612,0,0.0346579460441136,0,0,0,0,0,0.0181580132123622,0,0,0,0,0,0.0250729339962951,0,0,0.155567227391688
X601939.CH.EQUITY,0,0,0,0.755658027267765,0,0,0,0,0,0,0.0739551458063843,0,0,-0.0326149776493771,0,0,0.138698096004838,0,0,0.0885769417305496,0,0.00922115951337974,0,0,0,0,0,0,0.0457838501114887,0,0,0,0,0,0,0.013220850660934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86235648911276e-05
X601288.CH.EQUITY,0.105636615407816,0,0.894531575967338,0,0,0.0415314071791624,0,-0.0468568007960179,0,0.0436272488509534,0,0,0,-0.00104334180322115,0,0.0263744303583375,0,0,0,0,0.0302106099202047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025916651788329,-0.043230300087616,0,-4.33680868994202e-19,-0.126744026119645,0,0,0,0.00475786995503916,0,0,0,0,-0.11193681570015,0,8.67361737988404e-19
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.164512280925475,0,0.212708843471305,0,0,0,0,0,0,0.220021352385812,0,0,0.00394452090058887,0,0,-1.38777878078145e-17,0,0,0,-0.135028400270356,0,0,0,0,0,0.0332861293002674,0.28670780796915,0,0,0,0,0,0,0,0,0,0.156242702278355,0,0.123479453986149,0,0,0,0.150755823725487,0
X600036.CH.EQUITY,0.0734815723307661,0,0.0325518537879684,0.309078639144365,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.164406037194165,3.08487255565364e-05,0,0,0,0,0,0,0.200438994598531,0,0,0,0,0,0,0,0,0,0,0,0.0710833571342228,0,0,0,0,0,0,0.0618680966800325,0,0,0,0,0.00489799672620555,0,0,0
X601988.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0.0886714435349761,0,0,0,-0.113883517947823,0,0,0.0142314955902366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282157298000496,0,0,0,0,0,0,0,-0.0366119392379105,0,0,0,0,-0.0466957870004874,0,0.981114385750399,0,0,0,0
X1299.HK.EQUITY,0,0.0443703851562568,0,0,0,0,0,0,0,0.158849897075276,0,0,0,0.177740323300901,0,0,0,0,0,0,0,0,0.324950144156597,0,0,0.0615787949343247,0,0,0,-0.0791597617875875,0.0537737403118385,0,0,0,0,0,0.0575322274240466,0.034315826505006,0,0,0,0,0.170632589985311,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233559403544494,0,0,0,0,0,-0.139545380102544,0,0.0276339278857503,0,0,0,0,0,0.349589812078842,0,0.0394043804114674,0.00682709143206021,0,0,0,0,-0.0230059087806054,0,0,0.259708226361646,0,0,0.1000931117536,0,0,0.111899251486732,0.230795287635869,0.0277681963833844,0,0,0,0.311798284258878,0,0,0
X388.HK.EQUITY,0,0.261328088117703,0,0,0.170910829071745,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.027235526276463,0,0.058340203721661,0,0.1022562160972,0,0,0,-0.0691504308997347,0,0,0,0,0,0,0,0,0.275210363189728,0.0575251363037853,0,0,-0.0461238240937074,0,0,-0.224966916905934,0.218206807652861,0,0,0,-0.0610582894267883,0,0,0.202091942504719
