,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.197552002876018,0,0.0211409505578096,0,0,0,0,0,0,0.344051866383182,0.16633756523391,0,0,2.16840434497101e-19,-0.129257268507704,0,0,0,0,0,0,0,0,0,0,0,0.00941372668376427,0.0274586959102945,0,0,0,0.221500094738505,-3.46944695195361e-18,0,0,0,0,0.0466113827481307,0,0,0.0834463462725985,0,0,0,0.0237941972319972,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0929878048352413,0,0,0.271267782779253,0,0,0.321186259974579,0,0,0,0.106174689547831,0,0,-0.0326887930229078,0,-0.0631071679961763,0,0.0482388512273397,0,0,0,0,0,0,0,0,0,0,0.110173185191321,0,0,0,0,-0.276574730727242,0,0.138213812297011,0.00940577490848778,0.127032493972942,0,0,0,0,0.0328523980084982,0,0,0,0
X601939.CH.EQUITY,0.485916842028359,0,0,0,0,0.180749957427429,0,0,0,0,0,0,0,0.0693232491297891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36802817620395,-0.110984938005779,0,0,0.0439847989203382,0,0,-0.0473909975913873,0,0,0,0,0,0
X601288.CH.EQUITY,0.534449706580059,0.0847524266242805,0.184570055060973,0,0.119361946696731,0.00451290716456705,0,0,0,0,0,0,0,0,0,-0.0591344689594407,0,0,0,0,0,0,-0.0823967679167328,0,0,0,0.0414445467550911,0,0,0,0,0.0800191576741174,0,0,0,0.0143327034409797,0,0.0854746294560473,0.176105623688388,0,0,0,0,0,0,0,0,0,0,-0.0195156834537845,0,-0.0284329646303419
X5.HK.EQUITY,0.0542493838647253,-0.0328909017090185,0.0443153048966791,1.73472347597681e-18,0,0.132749239633648,0,0,0,0,0.167986448351027,0,0,0,0,0,0,0.534334985270381,0,0,0,0,0,0,0,0,-0.253315935426397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155882222347025,0,0,0,0,0,0
X601988.CH.EQUITY,0.129606018984095,0,0.185395955045348,0.0813303620772517,0,0,0,0,0.0954618070588747,0.0912650750477058,0.138554173461311,0,-0.281170289694967,0,0,0,0,0,-0.030686431388198,0,0,0.224143983028491,0,0,0,0,0.168125803736401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.273182837055047,0,0,0,0,0,0,0,0,0,0.0873570354404138,0,0.174245624340209,0,0.103592773134579,0,0,0.0056441280019499,0,0,0,0,0.0816831798859355,0,0,0,0,0,0,0,0,0,0.161227303571681,0,0,0,0,0,0.0903944483867983,0.0010016230103314,0,0,0,0,0,0.0663973230741196,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0294969330449838,0.125581642410221,0,0,0,0,-0.00879209661888143,0,-0.0131873186572132,0,0,0.139134883814392,0.234364592471514,0,0,0,0,0.177162127851523,0,0,0,0.222966121178771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165985257092913,0,0,0
X601628.CH.EQUITY,0.237381692695802,0.289628369543644,0,0.0140292451593782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421498768448692,0,0,0,0,0,0,0,0.0608878774802487,0,0,0,0,0.0892224941602484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390309550532305,0,-0.177265056763073,0,0,0,0.214323699552833
X601166.CH.EQUITY,0.200706490933999,0,0,0,0,0.0257022278158418,0.345218519834296,0,0,0,0,0,0,0.023785439709093,0,0.510097988635009,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0335936915149792,0.0524036635453761,0,0,0,0.00933357603583469,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
